case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2022-0077,2022.0,2022-06-01,2022-12-01 18:54:26,0.0,2.0,0.0,0.0,1.0,20.0,0.0,0,0,0,0
C14-2022-0084,2022.0,2022-06-17,,0.0,9.0,0.0,5.0,0.35,15.0,2250.0,0,0,0,0
C14-2022-0095,2022.0,,,0.0,,,,,,,1,1,1,1
C14-2022-0114,2022.0,2022-08-17,2023-11-14 15:09:04,0.0,3.0,1.0,-25.0,-1.6,-55.0,0.0,0,0,0,0
C14-2022-0133,2022.0,2022-09-14,,0.0,1.0,1.0,25.0,0.65,20.0,2250.0,0,0,0,0
C14-2022-0150,2022.0,2022-08-19,2023-11-14 15:18:30,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2023-0004,2023.0,2022-11-21,,0.0,5.0,1.0,0.0,0.05,0.0,0.0,0,0,0,0
C14-2023-0006,2023.0,2022-11-21,,0.0,5.0,1.0,0.0,-0.0999999999999999,-10.0,3250.0,0,0,0,0
C14-2023-0007.SH,2023.0,2023-01-19,,0.0,2.0,,20.0,0.5,25.0,0.0,0,0,0,0
C14-2023-0014,2023.0,2022-11-29,,0.0,5.0,1.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2023-0032,2023.0,2023-03-13,,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2023-0034,2023.0,2023-03-14,,0.0,,1.0,25.0,1.65,55.0,0.0,0,0,0,0
C14-2023-0035,2023.0,2022-12-01,2024-03-01 13:46:16,0.0,4.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2023-0077,2023.0,2023-06-12,,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2023-0083,2023.0,2023-04-25,,0.0,10.0,1.0,0.0,0.05,0.0,0.0,0,0,0,0
C14-2023-0114,2023.0,2023-09-21,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2023-0119,2023.0,2023-09-22,2024-04-22 15:45:57,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2023-0126,2023.0,2023-10-12,,0.0,10.0,0.0,0.0,0.05,5.0,2250.0,0,0,0,0
C14-2023-0141.SH,2023.0,2023-10-19,2024-08-29 17:15:48,0.0,1.0,,5.0,0.1999999999999999,10.0,2250.0,0,0,0,0
C14-2023-0153,2023.0,2023-12-06,2024-11-21 15:49:02,0.0,3.0,1.0,,,,,1,1,1,1
C14-2023-0154,2023.0,2023-12-04,,0.0,6.0,1.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2024-0019.SH,2024.0,2024-02-21,2024-08-30 13:20:31,0.0,3.0,,,,,,1,1,1,1
C14-2024-0051,2024.0,2024-03-25,,0.0,10.0,1.0,25.0,0.6,20.0,0.0,0,0,0,0
C14-2024-0059,2024.0,2024-04-12,,0.0,10.0,1.0,,,,,1,1,1,1
C14-2024-0070,2024.0,2024-04-24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2024-0071,2024.0,2024-04-26,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2024-0080,2024.0,2024-04-30,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2024-0104,2024.0,2024-06-13,,0.0,1.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2024-0109,2024.0,2024-06-14,,0.0,1.0,1.0,,,,,1,1,1,1
C14-2024-0122,2024.0,2024-08-09,,0.0,1.0,1.0,25.0,0.6,20.0,0.0,0,0,0,0
C14-96-0003,,1996-01-08,,0.0,,,,,,,1,1,1,1
C14-99-0069,,1999-04-29,,0.0,9.0,,,,,,1,1,1,1
C14H-2010-0006,2010.0,2010-02-10,,0.0,9.0,1.0,,,,,1,1,1,1
C14H-2010-0019,2010.0,2010-04-29,,0.0,9.0,1.0,,,,,1,1,1,1
C14H-2014-0014,2014.0,2014-10-28,,0.0,9.0,1.0,,,,,1,1,1,1
C14H-2015-0006,2015.0,2015-06-02,,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14H-2018-0013,2018.0,2018-01-29,2018-09-06 12:13:55,0.0,9.0,1.0,,,,,1,1,1,1
C14H-2018-0084,2018.0,2018-07-17,,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14H-2019-0077,2019.0,2019-05-03,2019-06-28 14:32:50,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14H-2021-0164,2021.0,2021-10-06,,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
