case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2010-0204,2010.0,2010-12-09,2012-08-28 10:33:11,22.231,,1.0,-25.0,-1.55,-50.0,-2150.0,0,0,0,0
C14-2010-0206,2010.0,2010-12-29,2011-12-16 13:38:40,0.512,9.0,1.0,20.0,0.3,10.0,0.0,0,0,0,0
C14-2011-0032,2011.0,2011-04-04,,0.45,9.0,1.0,,,,,1,1,1,1
C14-2011-0054,2011.0,2011-05-18,,3.88,10.0,1.0,,,,,1,1,1,1
C14-2011-0058,2011.0,2011-05-27,2012-01-19 10:38:53,0.44,9.0,1.0,0.0,1.0,35.0,0.0,0,0,0,0
C14-2011-0133,2011.0,2011-10-04,2013-02-05 12:02:32,2.16,9.0,1.0,20.0,0.3,10.0,0.0,0,0,0,0
C14-2011-0134,2011.0,2011-10-04,,0.83,9.0,1.0,20.0,0.3,10.0,0.0,0,0,0,0
C14-2011-0141,2011.0,2011-10-20,,9.51,,1.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2012-0020,2012.0,2012-02-15,,6.399,,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2012-0052,2012.0,2012-05-14,2013-01-07 08:22:31,0.0,7.0,1.0,55.0,2.6,40.0,2250.0,0,0,0,0
C14-2012-0067,2012.0,2012-06-25,,10.65,3.0,1.0,-20.0,-1.25,-40.0,2250.0,0,0,0,0
C14-2012-0083,2012.0,2012-07-12,,1.8398,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2012-0097,2012.0,2012-08-03,,0.1,7.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2012-0100,2012.0,2012-08-15,,1.465,,0.0,0.0,1.0,20.0,0.0,0,0,0,0
C14-2012-0109,2012.0,2012-08-31,,2.297,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2012-0116,2012.0,2012-09-17,,0.387,9.0,1.0,0.0,0.0,15.0,0.0,0,0,0,0
C14-2012-0130,2012.0,2012-10-17,,0.811,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2012-0140,2012.0,2012-11-01,,2.59,,1.0,,,,,1,1,1,1
C14-2013-0022,2013.0,2013-02-28,2014-05-19 15:23:48,0.9513,9.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2013-0031,2013.0,2013-03-14,,1.06,5.0,1.0,0.0,0.0999999999999999,15.0,0.0,0,0,0,0
C14-2013-0034,2013.0,2013-03-18,,0.3277,,1.0,20.0,0.5,25.0,0.0,0,0,0,0
