case_number,year,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,signers,signer_pct,staff_friction_index
C14-2007-0131,2007.0,0.746,1.0,1,25.0,1.6,55.0,0.0,14.0,41.62348877374784,0.0
C14-2007-0144,2007.0,1.265,9.0,1,340.0,7.0,40.0,-5750.0,8.0,12.044913235794487,0.0
C14-2007-0259,2007.0,38.84,0.0,1,0.0,0.0,0.0,0.0,3.0,11.429582448690727,0.0
C14-2008-0025,2008.0,0.615,5.0,1,25.0,0.65,20.0,0.0,11.0,43.03261329944939,0.0
C14-2008-0031,2008.0,108.0,0.0,1,0.0,0.0,0.0,0.0,1.0,46.38209697472027,0.0
C14-2008-0052,2008.0,0.517,5.0,1,25.0,1.65,55.0,0.0,4.0,22.75594371664241,0.0
C14-2008-0057.SH,2008.0,0.0,4.0,0,5.0,0.35,15.0,2250.0,0.0,0.0,0.0
C14-2008-0060,2008.0,124.83,0.0,1,0.0,0.0,0.0,0.0,1.0,12.247557003257327,0.0
C14-2008-0066,2008.0,5.99,8.0,1,0.0,0.25,25.0,-37810.0,14.0,39.067206814168486,0.0
C14-2008-0088,2008.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,57.92855792855792,0.0
C14-2008-0099,2008.0,1.0,1.0,1,25.0,0.6,35.0,0.0,13.0,100.0,0.0
C14-2008-0112,2008.0,0.19,5.0,1,25.0,0.6,35.0,0.0,6.0,22.008862629246675,0.0
C14-2008-0113,2008.0,0.1147,3.0,1,0.0,1.0,35.0,0.0,8.0,24.205607476635507,0.0
C14-2008-0115,2008.0,2.15,8.0,1,5.0,0.15,10.0,0.0,16.0,44.02266288951841,0.0
C14-2008-0131,2008.0,7.4,7.0,1,20.0,0.5,10.0,0.0,38.0,29.238160603980777,0.0
C14-2008-0151,2008.0,0.0,10.0,1,25.0,0.65,35.0,0.0,4.0,22.994652406417117,0.0
C14-2008-0154,2008.0,1.44,1.0,1,30.0,2.0,5.0,2250.0,1.0,100.0,0.0
C14-2008-0156,2008.0,0.0,0.0,1,0.0,0.0,0.0,0.0,17.0,22.956145100162427,0.0
C14-2008-0162,2008.0,0.957,9.0,1,5.0,0.35,15.0,2250.0,7.0,44.00422609614368,0.0
C14-2008-0166,2008.0,0.746,1.0,1,25.0,0.6,35.0,0.0,13.0,41.62348877374784,0.0
C14-2008-0171,2008.0,0.2,9.0,1,5.0,0.2999999999999999,10.0,0.0,4.0,14.118139924591537,0.0
