base_rate,brier_score,ece,elapsed_s,eval_year,f1,fn,fp,horizon,lift@1%,lift@5%,model,n_positive,n_total,pr_auc,precision,recall,roc_auc,run_id,scenario_chain,timestamp,tn,tp,train_end
0.000688453913089277,0.003978404994124218,0.004032770518449812,16.89,2020,0.18920916481892092,55,1042,1,71.58820058633181,14.426935079993587,LogReg,183,265813,0.0982013429807379,0.1094017094017094,0.6994535519125683,0.7634229913049273,20260219_125720,False,2026-02-19T13:01:15.588465,264588,128,2019
0.000688453913089277,0.25708843553959815,0.497356556674101,36.69,2020,0.001491300745650373,75,144549,1,25.13784142726155,9.180776869086827,CVAE,183,265813,0.008153490209006523,0.0007465936663970634,0.5901639344262295,0.5896430056269979,20260219_125720,False,2026-02-19T13:01:52.794864,121081,108,2019
0.000688453913089277,0.0776129429310568,0.25357061729041835,12.57,2020,0.016021200987773293,50,16287,1,71.58820058633181,14.53623004272081,Diffusion,183,265813,0.04245746981937268,0.00809987819732034,0.726775956284153,0.7489700431739865,20260219_125720,False,2026-02-19T13:02:08.504310,249343,133,2019
0.0011709514817182876,0.016912010668481102,0.04385986010342755,4.57,2021,0.08134715025906736,158,3388,1,49.843493243641944,9.96869864872839,LogReg,315,269012,0.05134974753267559,0.04428772919605078,0.4984126984126984,0.5135628016947869,20260219_125720,False,2026-02-19T13:02:15.136433,265309,157,2020
0.0011709514817182876,0.25929279678274164,0.4958209565231084,11.17,2021,0.0031691641932707544,118,123811,1,35.239667197734114,10.60364760724612,CVAE,315,269012,0.023790716849684777,0.0015886071866331205,0.6253968253968254,0.6225672913804898,20260219_125720,False,2026-02-19T13:02:26.573377,144886,197,2020
0.0011709514817182876,0.08508976067723513,0.2759163392826274,3.36,2021,0.07488622258998759,134,4338,1,56.82793178733699,11.492576149170945,Diffusion,315,269012,0.03641363757895208,0.04005310909493251,0.5746031746031746,0.5780958205652192,20260219_125720,False,2026-02-19T13:02:30.107999,264359,181,2020
0.0009209392106445838,0.01151488949735683,0.03090778590495652,6.83,2022,0.14780600461893764,26,2557,1,89.62046868091377,19.920146761953877,LogReg,250,271462,0.11619629310503538,0.08054656598345919,0.896,0.9956629573912659,20260219_125720,False,2026-02-19T13:02:37.424055,268655,224,2021
0.0009209392106445838,0.25380224313528965,0.4961168507797585,15.63,2022,0.0022718540667858275,114,119340,1,29.206670596904935,8.320061298165475,CVAE,250,271462,0.010534934761394407,0.0011383039271485487,0.544,0.5453444906567556,20260219_125720,False,2026-02-19T13:02:53.315158,151872,136,2021
0.0009209392106445838,0.10107514002940346,0.30761468757536814,4.27,2022,0.05913660555884092,0,7955,1,98.02238761974945,20.000147351359317,Diffusion,250,271462,0.09747534369340993,0.030469226081657527,1.0,0.9956774110290106,20260219_125720,False,2026-02-19T13:02:57.761317,263257,250,2021
0.00041616947304842295,0.010987476319273881,0.02670477178797391,8.83,2023,0.08,0,2599,1,100.00883977900553,20.000294637595758,LogReg,113,271524,0.04460016276932113,0.041666666666666664,1.0,0.9946537829200224,20260219_125720,False,2026-02-19T13:03:07.060031,268812,113,2022
