Test_Year,Horizon,Model,Model_Family,ROC_AUC,PR_AUC,Naive_PR_AUC,Train_Samples,Test_Samples
2018,1_Year,CatBoost,Tree,0.6556122448979591,0.035325767971698854,0.002520478890989288,11109,351
2018,1_Year,RandomForest,Tree,0.4803206997084548,0.03187293627532091,0.002520478890989288,11109,351
2018,1_Year,LogisticL2,Linear,0.5105685131195336,0.034524394538714046,0.002520478890989288,11109,351
2018,1_Year,LogisticL1,Linear,0.4974489795918367,0.031737274095079454,0.002520478890989288,11109,351
2018,1_Year,Linear,Deep,0.5116618075801749,0.0363406260417007,0.002520478890989288,11109,351
2018,1_Year,MLP,Deep,0.6301020408163266,0.04016019590947347,0.002520478890989288,11109,351
2018,2_Years,CatBoost,Tree,0.6556122448979591,0.035325767971698854,0.002520478890989288,11109,351
2018,2_Years,RandomForest,Tree,0.4803206997084548,0.03187293627532091,0.002520478890989288,11109,351
2018,2_Years,LogisticL2,Linear,0.5218658892128281,0.033086524274870355,0.002520478890989288,11109,351
2018,2_Years,LogisticL1,Linear,0.5280612244897959,0.03226012577545727,0.002520478890989288,11109,351
2018,2_Years,Linear,Deep,0.5408163265306122,0.03580570971878064,0.002520478890989288,11109,351
2018,2_Years,MLP,Deep,0.6902332361516035,0.0578983740489392,0.002520478890989288,11109,351
2018,3_Years,CatBoost,Tree,0.6556122448979591,0.035325767971698854,0.002520478890989288,11109,351
2018,3_Years,RandomForest,Tree,0.4803206997084548,0.03187293627532091,0.002520478890989288,11109,351
2018,3_Years,LogisticL2,Linear,0.5072886297376094,0.03427867154640593,0.002520478890989288,11109,351
2018,3_Years,LogisticL1,Linear,0.5061953352769679,0.03324397360501328,0.002520478890989288,11109,351
2018,3_Years,Linear,Deep,0.5127551020408163,0.029233043532394358,0.002520478890989288,11109,351
2018,3_Years,MLP,Deep,0.6840379008746356,0.05872686068151411,0.002520478890989288,11109,351
2019,1_Year,CatBoost,Tree,0.8477425552353506,0.04061112012645522,0.0031413612565445027,11460,350
2019,1_Year,RandomForest,Tree,0.5720461095100864,0.012810621324553214,0.0031413612565445027,11460,350
2019,1_Year,LogisticL2,Linear,0.6090297790585975,0.04554866661091798,0.0031413612565445027,11460,350
2019,1_Year,LogisticL1,Linear,0.5898174831892411,0.05559625559625559,0.0031413612565445027,11460,350
2019,1_Year,Linear,Deep,0.606147934678194,0.07502376631233255,0.0031413612565445027,11460,350
2019,1_Year,MLP,Deep,0.6234390009606148,0.016752788071750437,0.0031413612565445027,11460,350
2019,2_Years,CatBoost,Tree,0.8477425552353506,0.04061112012645522,0.0031413612565445027,11460,350
2019,2_Years,RandomForest,Tree,0.5720461095100864,0.012810621324553214,0.0031413612565445027,11460,350
2019,2_Years,LogisticL2,Linear,0.579250720461095,0.030158730158730156,0.0031413612565445027,11460,350
2019,2_Years,LogisticL1,Linear,0.5907780979827089,0.045160945004182156,0.0031413612565445027,11460,350
2019,2_Years,Linear,Deep,0.6071085494716619,0.04172888842149543,0.0031413612565445027,11460,350
2019,2_Years,MLP,Deep,0.659942363112392,0.017183123837691293,0.0031413612565445027,11460,350
2019,3_Years,CatBoost,Tree,0.8477425552353506,0.04061112012645522,0.0031413612565445027,11460,350
2019,3_Years,RandomForest,Tree,0.5720461095100864,0.012810621324553214,0.0031413612565445027,11460,350
2019,3_Years,LogisticL2,Linear,0.5926993275696445,0.07479893636111519,0.0031413612565445027,11460,350
2019,3_Years,LogisticL1,Linear,0.6416906820365034,0.09301270417422867,0.0031413612565445027,11460,350
2019,3_Years,Linear,Deep,0.5859750240153698,0.035782556750298684,0.0031413612565445027,11460,350
