case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-04-0090,1,882090.0,882090.0,0.0,0.0,1640637.0,1640637.0,2987015.0,2987015.0,2000.0,,88209.0,88209.0,subject,,
C14-04-0091,1,319444.0,319444.0,0.0,0.0,1920456.0,1920456.0,1543197.0,1543197.0,1997.0,,0.0,0.0,subject,,
C14-04-0093,1,0.0,0.0,14915911.0,14915911.0,275570.0,275570.0,5270825.0,5270825.0,,,210833.0,210833.0,subject,,
C14-04-0095,1,13898284.0,13898284.0,0.0,0.0,226716.0,226716.0,15397969.0,15397969.0,1979.0,,380124.0,380124.0,subject,,
C14-04-0104,1,937515.0,937515.0,0.0,0.0,1375673.0,1375673.0,3394145.0,3394145.0,2008.0,,62501.0,62501.0,subject,,
C14-04-0105,1,3254977.0,3254977.0,0.0,0.0,1360385.0,1360385.0,13700000.0,13700000.0,2009.0,,271248.12,271248.12,subject,,
C14-04-0111,1,224928.0,224928.0,0.0,0.0,491229.0,491229.0,224928.0,224928.0,,,28116.0,28116.0,subject,,
C14-04-0113,1,901710.0,901710.0,0.0,0.0,1267038.0,1267038.0,1199504.0,1199504.0,1956.0,,20038.0,20038.0,subject,,
C14-04-0118,1,423269.0,423269.0,0.0,0.0,1771249.0,1771249.0,488163.0,488163.0,1988.0,,21163.47,21163.47,subject,,
C14-04-0119,1,265500.0,265500.0,0.0,0.0,1926081.0,1926081.0,467145.0,467145.0,1973.0,,13275.0,13275.0,subject,,
C14-04-0120,1,4865367.0,4865367.0,0.0,0.0,1694006.0,1694006.0,42000000.0,42000000.0,2001.0,,706149.0,706149.0,subject,,
C14-04-0122,1,834231.0,834231.0,0.0,0.0,2012146.0,2012146.0,1613368.0,1613368.0,1910.0,,0.0,0.0,subject,,
C14-04-0123,1,759681.0,759681.0,0.0,0.0,1525912.0,1525912.0,1914183.0,1914183.0,2007.0,,74043.0,74043.0,subject,,
C14-04-0124,1,0.0,0.0,45516.0,45516.0,100073.0,100073.0,500.0,500.0,,,455163.0,455163.0,subject,,
C14-04-0127,1,893542.0,893542.0,0.0,0.0,2007376.0,2007376.0,1425000.0,1425000.0,2013.0,,68734.0,68734.0,subject,,
C14-04-0128,1,942268.0,942268.0,0.0,0.0,1261727.0,1261727.0,4260016.0,4260016.0,2005.0,,209392.92,209392.92,subject,,
C14-04-0133,1,0.0,0.0,0.0,0.0,1702150.0,1702150.0,2478000.0,2478000.0,,,293245.92,293245.92,subject,,
C14-04-0134,1,0.0,0.0,1681799.0,1681799.0,1358683.0,1358683.0,1648965.0,1648965.0,,,75358.8,75358.8,subject,,
C14-04-0135,1,20603750.0,20603750.0,0.0,0.0,1559806.0,1559806.0,49500000.0,49500000.0,2007.0,,82415.0,82415.0,subject,,
C14-04-0137,1,5036756.0,5036756.0,0.0,0.0,1398638.0,1398638.0,62950000.0,62950000.0,2006.0,,1259188.92,1259188.92,subject,,
C14-04-0138,1,1342980.0,1342980.0,0.0,0.0,1586449.0,1586449.0,1597000.0,1597000.0,1974.0,,22383.0,22383.0,subject,,
C14-04-0139,1,605172.0,605172.0,0.0,0.0,1691013.0,1691013.0,10750000.0,10750000.0,2017.0,,151293.0,151293.0,subject,,
C14-04-0142,1,237561.0,237561.0,0.0,0.0,1862489.0,1862489.0,298563.0,298563.0,2009.0,,0.0,0.0,subject,,
C14-04-0146,1,89741876.0,89741876.0,0.0,0.0,1323077.0,1323077.0,85500000.0,85500000.0,,,1994263.92,1994263.92,subject,,
C14-04-0149,1,1566663.0,1566663.0,0.0,0.0,1932143.0,1932143.0,4208057.0,4208057.0,1918.0,,0.0,0.0,subject,,
C14-04-0149.02,1,738149.0,738149.0,0.0,0.0,1328288.0,1328288.0,1374930.0,1374930.0,1912.0,,0.0,0.0,subject,,
C14-04-0149.03,1,1117176.0,1117176.0,0.0,0.0,107740.0,107740.0,2058224.0,2058224.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.04,1,800916.0,800916.0,0.0,0.0,1655353.0,1655353.0,989957.0,989957.0,1926.0,,0.0,0.0,subject,,
C14-04-0149.05,1,993684.0,993684.0,0.0,0.0,107896.0,107896.0,1675730.0,1675730.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.06,1,1010963.0,1010963.0,0.0,0.0,1695578.0,1695578.0,1637077.0,1637077.0,1916.0,,0.0,0.0,subject,,
C14-04-0149.07,1,796661.0,796661.0,0.0,0.0,1830867.0,1830867.0,1365187.0,1365187.0,1900.0,,0.0,0.0,subject,,
C14-04-0149.08,1,854925.0,854925.0,0.0,0.0,2043290.0,2043290.0,1223814.0,1223814.0,1915.0,,0.0,0.0,subject,,
C14-04-0149.09,1,809471.0,809471.0,0.0,0.0,1559971.0,1559971.0,1032420.0,1032420.0,1925.0,,0.0,0.0,subject,,
C14-04-0149.10,1,789467.0,789467.0,0.0,0.0,1519276.0,1519276.0,1136863.0,1136863.0,1925.0,,0.0,0.0,subject,,
C14-04-0149.11,1,851033.0,851033.0,0.0,0.0,2013698.0,2013698.0,1550922.0,1550922.0,1922.0,,0.0,0.0,subject,,
C14-04-0149.12,1,895281.0,895281.0,0.0,0.0,1893639.0,1893639.0,1751439.0,1751439.0,1935.0,,0.0,0.0,subject,,
C14-04-0149.13,1,810548.0,810548.0,0.0,0.0,108564.0,108564.0,1051115.0,1051115.0,1930.0,,0.0,0.0,subject,,
C14-04-0149.14,1,742745.0,742745.0,0.0,0.0,1501187.0,1501187.0,1145490.0,1145490.0,1928.0,,0.0,0.0,subject,,
C14-04-0149.15,1,834791.0,834791.0,0.0,0.0,108636.0,108636.0,1361244.0,1361244.0,1931.0,,0.0,0.0,subject,,
C14-04-0149.16,1,736881.0,736881.0,0.0,0.0,1850101.0,1850101.0,1078480.0,1078480.0,1929.0,,0.0,0.0,subject,,
C14-04-0149.17,1,828530.0,828530.0,0.0,0.0,1994010.0,1994010.0,1500000.0,1500000.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.18,1,1221863.0,1221863.0,0.0,0.0,1844458.0,1844458.0,2196667.0,2196667.0,1900.0,,0.0,0.0,subject,,
C14-04-0149.19,1,790563.0,790563.0,0.0,0.0,1869095.0,1869095.0,1632587.0,1632587.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.20,1,828188.0,828188.0,0.0,0.0,1839723.0,1839723.0,1054462.0,1054462.0,2022.0,,0.0,0.0,subject,,
C14-04-0149.21,1,773416.0,773416.0,0.0,0.0,1890481.0,1890481.0,1298252.0,1298252.0,1948.0,,0.0,0.0,subject,,
C14-04-0149.22,1,821569.0,821569.0,0.0,0.0,2039606.0,2039606.0,1195727.0,1195727.0,1947.0,,0.0,0.0,subject,,
C14-04-0149.23,1,778420.0,778420.0,0.0,0.0,1838126.0,1838126.0,1647818.0,1647818.0,1929.0,,0.0,0.0,subject,,
C14-04-0149.24,1,825734.0,825734.0,0.0,0.0,105767.0,105767.0,1259731.0,1259731.0,1935.0,,0.0,0.0,subject,,
C14-04-0149.25,1,813527.0,813527.0,0.0,0.0,2026518.0,2026518.0,1632746.0,1632746.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.26,1,828771.0,828771.0,0.0,0.0,2001981.0,2001981.0,1558372.0,1558372.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.27,1,807621.0,807621.0,0.0,0.0,1849812.0,1849812.0,1100000.0,1100000.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.28,1,808700.0,808700.0,0.0,0.0,2003317.0,2003317.0,1514136.0,1514136.0,1930.0,,0.0,0.0,subject,,
C14-04-0149.29,1,845325.0,845325.0,0.0,0.0,1898271.0,1898271.0,1059000.0,1059000.0,1946.0,,0.0,0.0,subject,,
C14-04-0149.30,1,795040.0,795040.0,0.0,0.0,108544.0,108544.0,989132.0,989132.0,1930.0,,0.0,0.0,subject,,
C14-04-0149.31,1,853969.0,853969.0,0.0,0.0,105941.0,105941.0,1561090.0,1561090.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.32,1,854348.0,854348.0,0.0,0.0,105843.0,105843.0,1015300.0,1015300.0,1955.0,,0.0,0.0,subject,,
C14-04-0149.33,1,710380.0,710380.0,0.0,0.0,1970797.0,1970797.0,1184423.0,1184423.0,2003.0,,0.0,0.0,subject,,
C14-04-0149.34,1,854885.0,854885.0,0.0,0.0,1956803.0,1956803.0,1889030.0,1889030.0,1900.0,,0.0,0.0,subject,,
C14-04-0149.35,1,809119.0,809119.0,0.0,0.0,1706356.0,1706356.0,1200789.0,1200789.0,1955.0,,0.0,0.0,subject,,
C14-04-0149.36,1,771408.0,771408.0,0.0,0.0,1979393.0,1979393.0,1270624.0,1270624.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.37,1,772421.0,772421.0,0.0,0.0,1268005.0,1268005.0,1583522.0,1583522.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.38,1,780000.0,780000.0,0.0,0.0,108647.0,108647.0,840732.0,840732.0,,,0.0,0.0,subject,,
C14-04-0149.39,1,836419.0,836419.0,0.0,0.0,107775.0,107775.0,1280000.0,1280000.0,1939.0,,0.0,0.0,subject,,
C14-04-0149.40,1,834231.0,834231.0,0.0,0.0,2012146.0,2012146.0,1613368.0,1613368.0,1910.0,,0.0,0.0,subject,,
C14-04-0149.41,1,805645.0,805645.0,0.0,0.0,1667197.0,1667197.0,1167219.0,1167219.0,1917.0,,0.0,0.0,subject,,
C14-04-0149.42,1,786126.0,786126.0,0.0,0.0,1955032.0,1955032.0,1440114.0,1440114.0,1935.0,,0.0,0.0,subject,,
C14-04-0149.43,1,901165.0,901165.0,0.0,0.0,1324553.0,1324553.0,1722855.0,1722855.0,1920.0,,0.0,0.0,subject,,
C14-04-0149.45,1,810545.0,810545.0,0.0,0.0,1917090.0,1917090.0,1377197.0,1377197.0,1952.0,,0.0,0.0,subject,,
C14-04-0149.46,1,731506.0,731506.0,0.0,0.0,1657702.0,1657702.0,948792.0,948792.0,1925.0,,0.0,0.0,subject,,
C14-04-0149.47,1,740464.0,740464.0,0.0,0.0,107662.0,107662.0,1577250.0,1577250.0,1926.0,,0.0,0.0,subject,,
C14-04-0151,1,44805163.0,44805163.0,0.0,0.0,1520174.0,1520174.0,48327901.0,48327901.0,1979.0,,527119.56,527119.56,subject,,
C14-04-0152,1,1079199.0,1079199.0,0.0,0.0,1500425.0,1500425.0,1882000.0,1882000.0,1960.0,,23167.96,23167.96,subject,,
C14-04-0154,1,0.0,0.0,0.0,0.0,1975332.0,1975332.0,4000000.0,4000000.0,,,45912.24,45912.24,subject,,
C14-04-0158,1,3671250.0,3671250.0,0.0,0.0,1851175.0,1851175.0,8140480.0,8140480.0,2015.0,,33375.0,33375.0,subject,,
C14-04-0159,1,3772000.0,3772000.0,0.0,0.0,1787327.0,1787327.0,4700000.0,4700000.0,1963.0,,37720.0,37720.0,subject,,
C14-04-0161,1,2565129.0,2565129.0,0.0,0.0,1955465.0,1955465.0,10100000.0,10100000.0,2011.0,,16241.0,16241.0,subject,,
C14-04-0167,1,824113.0,824113.0,0.0,0.0,1678963.0,1678963.0,3098297.0,3098297.0,2000.0,,65929.0,65929.0,subject,,
C14-04-0170,1,1170893.0,1170893.0,0.0,0.0,271850.0,271850.0,1207763.0,1207763.0,2004.0,,8363.52,8363.52,subject,,
C14-04-0172,1,265500.0,265500.0,0.0,0.0,239968.0,239968.0,521237.0,521237.0,1973.0,,13275.0,13275.0,subject,,
C14-04-0173,1,6027697.0,6027697.0,0.0,0.0,1936615.0,1936615.0,46000000.0,46000000.0,2016.0,,17663.58,17663.58,subject,,
