case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-2012-0144,1,0.0,0,2370482.0,2370482,127100.0,127100,2371202.0,2371202,,,78.253,78.253,subject,,
C14-2012-0145,1,0.0,0,0.0,0,1975332.0,1975332,4000000.0,4000000,,,45912.24,45912.24,subject,,
C14-2012-0146.SH,1,0.0,0,37976530.0,37976530,1596469.0,1596469,38652552.0,38652552,,,545440.0,545440.0,subject,,
C14-2012-0147,1,12256320.0,12256320,0.0,0,1733991.0,1733991,47880000.0,47880000,2014.0,,81708.8,81708.8,subject,,
C14-2012-0149,1,13220450.0,13220450,0.0,0,1830210.0,1830210,21421000.0,21421000,1981.0,,264409.0,264409.0,subject,,
C14-2012-0150,1,420000.0,420000,0.0,0,1605528.0,1605528,1459802.0,1459802,2013.0,,0.0,0.0,subject,,
C14-2012-0151,1,0.0,0,56862498.0,56862498,1300164.0,1300164,54154760.0,54154760,,,1194850.0,1194850.0,subject,,
C14-2012-0153,1,1410560.0,1410560,0.0,0,1593677.0,1593677,14551786.0,14551786,2014.0,,156728.88,156728.88,subject,,
C14-2012-0155,1,281046.0,281046,0.0,0,1816826.0,1816826,450662.0,450662,1960.0,,0.0,0.0,subject,,
C14-2012-0156,1,3916910.0,3916910,0.0,0,518096.0,518096,6537672.0,6537672,1987.0,,391691.0,391691.0,subject,,
C14-2012-0157,1,1316029.0,1316029,0.0,0,1622407.0,1622407,1164638.0,1164638,1967.0,,101233.0,101233.0,subject,,
C14-2012-0158,1,0.0,0,27259083.0,27259083,100073.0,100073,20042899.0,20042899,,,296.758,296.758,subject,,
C14-2012-0162,1,410989.0,410989,0.0,0,1570647.0,1570647,1520000.0,1520000,1984.0,,27399.24,27399.24,subject,,
C14-2012-0165,1,32152507.0,32152507,0.0,0,1751705.0,1751705,94280000.0,94280000,2013.0,,259526.12,259526.12,subject,,
C14-2013-0003,1,30702150.0,30702150,0.0,0,2013984.0,2013984,42560000.0,42560000,2006.0,,68227.0,68227.0,subject,,
C14-2013-0010,1,97304.0,97304,0.0,0,1527782.0,1527782,279754.0,279754,1997.0,,54057.96,54057.96,subject,,
C14-2013-0011,1,457171.0,457171,0.0,0,1638810.0,1638810,644769.0,644769,1969.0,,0.0,0.0,subject,,
C14-2013-0013,1,360009.0,360009,0.0,0,1886066.0,1886066,828407.0,828407,2014.0,,0.0,0.0,subject,,
C14-2013-0017,1,617600.0,617600,0.0,0,1956614.0,1956614,626407.0,626407,1972.0,,30880.0,30880.0,subject,,
C14-2013-0018,1,275000.0,275000,0.0,0,1873776.0,1873776,250000.0,250000,,,0.0,0.0,subject,,
C14-2013-0019,1,53193.0,53193,0.0,0,1627536.0,1627536,66700.0,66700,,,0.0,0.0,subject,,
C14-2013-0020,1,10244114.0,10244114,0.0,0,1779455.0,1779455,9945796.0,9945796,1970.0,,215665.56,215665.56,subject,,
C14-2013-0021,1,381745.0,381745,0.0,0,573221.0,573221,381745.0,381745,,,10907.18,10907.18,subject,,
C14-2013-0022,1,0.0,0,32712020.0,32712020,253890.0,253890,32454594.0,32454594,,,87610.0,87610.0,subject,,
C14-2013-0024,1,0.0,0,7034940.0,7034940,120801.0,120801,7034940.0,7034940,,,370260.0,370260.0,subject,,
C14-2013-0025,1,1958507.0,1958507,0.0,0,325259.0,325259,2840701.0,2840701,1961.0,,0.0,0.0,subject,,
C14-2013-0026,1,3216024.0,3216024,0.0,0,1685727.0,1685727,20100000.0,20100000,2000.0,,536004.0,536004.0,subject,,
C14-2013-0027,1,287520.0,287520,0.0,0,1996346.0,1996346,621995.0,621995,2017.0,,0.0,0.0,subject,,
C14-2013-0028,1,2113074.0,2113074,0.0,0,1732413.0,1732413,57000000.0,57000000,,,29311.52,29311.52,subject,,
C14-2013-0030,1,0.0,0,2034463.0,2034463,1648211.0,1648211,2015052.0,2015052,,,388250.28,388250.28,subject,,
C14-2013-0031,17,399545.0,16998941,0.0,0,1727571.0,22088392,853958.0,98971475,1964.0,,0.0,1247237.33,buffer,,
C14-2013-0034,1,342624.0,342624,0.0,0,2028879.0,2028879,860000.0,860000,1968.0,,14276.0,14276.0,subject,,
C14-2013-0037,1,1132212.0,1132212,0.0,0,1560845.0,1560845,2340270.0,2340270,2015.0,,125801.28,125801.28,subject,,
C14-2013-0039,1,1679674.0,1679674,0.0,0,1613241.0,1613241,1680674.0,1680674,1972.0,,83983.68,83983.68,subject,,
C14-2013-0041,1,2000.0,2000,0.0,0,1753598.0,1753598,10137.0,10137,1940.0,,0.0,0.0,subject,,
C14-2013-0044,1,6077143.0,6077143,0.0,0,1597224.0,1597224,124160000.0,124160000,2016.0,,2025714.24,2025714.24,subject,,
C14-2013-0045,1,539136.0,539136,0.0,0,1655622.0,1655622,1123200.0,1123200,,,234.0,234.0,subject,,
C14-2013-0046.SH,1,1150657.0,1150657,0.0,0,1883226.0,1883226,1350000.0,1350000,,,0.0,0.0,subject,,
