Horizon,Window,Event_Rate,PR_AUC,ROC_AUC
14_Days,1,0.0012783795748371534,0.09825110649814725,0.9592662653696548
3_Months,6,0.006626794474509202,0.19839510284768772,0.9509726229637905
6_Months,13,0.012006830070378635,0.4259237893990765,0.9440362868772099
1_Year,26,0.016682175865277767,0.5503627737915949,0.9402025339574553
1.5_Years,39,0.01863814178720175,0.6481742604154148,0.9188575849901455
2_Years,52,0.019790038577249362,0.724754062291646,0.9476153006539856
3_Years,78,0.02031855592797709,0.6679659659104598,0.9466556619645176
4_Years,104,0.02067090082846224,0.7372809320079701,0.9474889976560363
