case_number,tcad_id,protested
C14-2010-0143,0308160328,0
C14-2010-0143,0308160412,0
C14-2010-0143,0308160331,0
C14-2010-0143,0308160801,0
C14-2010-0143,0308160333,0
C14-2010-0143,0308160420,0
C14-2010-0143,0308160413,0
C14-2010-0143,0308160422,0
C14-2010-0143,0308160314,0
C14-2010-0199,0424070228,0
C14-2010-0199,0424070205,0
C14-2010-0199,0424070204,0
C14-2010-0199,0424070208,0
C14-2010-0199,0424070209,0
C14-2010-0206,0211010807,0
C14-2010-0206,0211010704,0
C14-2010-0206,0211010708,0
C14-2010-0206,0211010730,0
C14-2010-0206,0211010707,0
C14-2010-0206,0211010806,0
C14-2010-0206,0211010703,0
C14-2010-0206,0211010711,0
C14-2023-0154,0172210315,0
C14-2023-0154,0172210216,0
C14-2023-0154,0172210310,0
C14H-2010-0019,0220061401,0
C14H-2010-0019,0220060911,0
C14H-2010-0019,0220060910,0
C14H-2010-0019,0220061304,0
C14H-2010-0019,0220060905,0
C14H-2010-0019,0220060904,0
C14H-2010-0019,0220060909,0
C14H-2010-0019,0220060906,0
C14H-2010-0019,0220061402,0
C14H-2010-0019,0220060908,0
C14H-2010-0019,0220061306,0
C14H-2010-0019,0220060907,0
C14H-2010-0019,0220061001,0
C14H-2010-0019,0220061305,0
C14H-2021-0164,0234030612,0
C14H-2021-0164,0234030617,0
C14H-2021-0164,0234030705,0
C14H-2021-0164,0234030614,0
C14H-2021-0164,0234030706,0
C14H-2021-0164,0234030611,0
C14H-2021-0164,0234030903,0
C14H-2021-0164,0234030905,0
C14H-2021-0164,0234030904,0
C14H-2021-0164,0234030619,0
C14H-2021-0164,0234030618,0
C14H-2021-0164,0234030613,0
C14H-2021-0164,0234030610,0
C14H-2021-0164,0234030902,0
C14H-2021-0164,0234030615,0
