iter	Logloss
0	0.2059459253
1	0.09021840158
2	0.0695075533
3	0.04456020797
4	0.03389794909
5	0.02900018544
6	0.02596569859
7	0.02452468644
8	0.02277197433
9	0.02154014159
10	0.02021678346
11	0.0198478995
12	0.0197571808
13	0.01943344654
14	0.01811076179
15	0.01804605208
16	0.01745265929
17	0.01727475744
18	0.01724167052
19	0.01697762124
20	0.01694955906
21	0.01593427077
22	0.01542968249
23	0.01487627565
24	0.01439812477
25	0.01391290621
26	0.01365221586
27	0.01336399771
28	0.01330961663
29	0.01286847788
30	0.01214021024
31	0.01204689144
32	0.01193865795
33	0.01169529668
34	0.01148346476
35	0.01127599559
36	0.01107564195
37	0.01053147903
38	0.01044149752
39	0.01031918566
40	0.0100571041
41	0.009957050337
42	0.009900282218
43	0.009757471483
44	0.009492866739
45	0.009442989117
46	0.009238982571
47	0.009230521417
48	0.009097267365
49	0.008819629072
50	0.008809709492
51	0.008747961644
52	0.008740206346
53	0.00842300766
54	0.008268597305
55	0.00811362295
56	0.008072105645
57	0.00802973835
58	0.007998084794
59	0.007515313662
60	0.007425978192
61	0.007346108823
62	0.007316949405
63	0.007308343548
64	0.007090070057
65	0.00706948801
66	0.007065144064
67	0.007060163765
68	0.006988699718
69	0.006811328829
70	0.006727039173
71	0.006510413818
72	0.00633566183
73	0.006275456154
74	0.006231903887
75	0.00608734418
76	0.006073053877
77	0.006021891016
78	0.005904727512
79	0.005877285733
80	0.005874617838
81	0.005871526657
82	0.005802895148
83	0.005518850602
84	0.0054047196
85	0.005390864547
86	0.00529101815
87	0.005288884061
88	0.005287231938
89	0.005277305521
90	0.005237395903
91	0.00523591184
92	0.00517914657
93	0.005174365665
94	0.005163481016
95	0.005130345106
96	0.005058491387
97	0.005019916571
98	0.005000966709
99	0.004969331384
