iter	Logloss
0	0.6766769615
1	0.6595221786
2	0.64108904
3	0.6219322251
4	0.6068860321
5	0.5931253989
6	0.5771828854
7	0.5620987422
8	0.5519156894
9	0.5401412553
10	0.5290326751
11	0.5198351764
12	0.5091460379
13	0.4972400554
14	0.4884273839
15	0.48040984
16	0.4737592155
17	0.4682995367
18	0.4644973352
19	0.4556692624
20	0.4493396657
21	0.4416906125
22	0.4317245837
23	0.424294561
24	0.417629657
25	0.4136058232
26	0.409079149
27	0.4046755477
28	0.398826591
29	0.3924524928
30	0.3867825675
31	0.3828272476
32	0.3800431896
33	0.3761834319
34	0.3705922305
35	0.3672919203
36	0.3636202574
37	0.3600657377
38	0.3541884128
39	0.3506607841
40	0.3478595007
41	0.3456879609
42	0.3430361646
43	0.3405272152
44	0.3381677891
45	0.3336800068
46	0.3306210245
47	0.3258104514
48	0.3246102373
49	0.3218794917
50	0.3208762023
51	0.3202073191
52	0.3184064466
53	0.315714209
54	0.312987439
55	0.3103324419
56	0.3087575321
57	0.307011237
58	0.3052193756
59	0.3032493958
60	0.3002458799
61	0.2985413669
62	0.2972846106
63	0.2957034365
64	0.2939220238
65	0.2928168554
66	0.2914039596
67	0.2893088422
68	0.2881526903
69	0.28718515
70	0.2853923558
71	0.2837914094
72	0.2826986097
73	0.2817752717
74	0.2808289577
75	0.2805947706
76	0.279454329
77	0.2778444198
78	0.2771788865
79	0.2758434844
80	0.2739913153
81	0.2729225794
82	0.2718789812
83	0.2713858348
84	0.2708112823
85	0.2698543266
86	0.2689463787
87	0.2681344444
88	0.2674652095
89	0.2658508411
90	0.2645395539
91	0.2630861022
92	0.2629267096
93	0.2618759853
94	0.261424921
95	0.2603592393
96	0.2596704197
97	0.2587383468
98	0.2579048101
99	0.2560986199
100	0.2548948409
101	0.2540660868
102	0.2529462265
103	0.2514813283
104	0.2508118307
105	0.2499923173
106	0.2483662957
107	0.2465387064
108	0.2454513195
109	0.2450974568
110	0.2437543745
111	0.2435949231
112	0.2423965922
113	0.2419650411
114	0.2413728476
115	0.2408631293
116	0.2404510919
117	0.2399848146
118	0.2390739562
119	0.2387156729
120	0.237907786
121	0.2375180472
122	0.2369402455
123	0.2366023429
124	0.236185278
125	0.2357192924
126	0.2350672994
127	0.2347184254
128	0.2342388066
129	0.2338535426
130	0.2333858266
131	0.2329448043
132	0.2326039414
133	0.2319122257
134	0.2313533277
135	0.2311922277
136	0.2299218822
137	0.228743503
138	0.2286654746
139	0.2278042905
140	0.2268744848
141	0.2259157465
142	0.2252413439
143	0.224947672
144	0.2226548237
145	0.2223417319
146	0.2205251715
147	0.2199884326
148	0.2196692679
149	0.2191098655
150	0.2185050799
151	0.2178993553
152	0.2174108404
153	0.2168034561
154	0.2153624754
155	0.2151651659
156	0.2150748081
157	0.2141162274
158	0.2139610432
159	0.2131748786
160	0.2128653801
161	0.2121619231
162	0.212082837
163	0.2113861783
164	0.2112035793
165	0.2105979921
166	0.210513231
167	0.2101548078
168	0.2100200345
169	0.2096267521
170	0.2091501943
171	0.2086286835
172	0.2082498521
173	0.2080345597
174	0.20762409
175	0.2073616017
176	0.2066709557
177	0.2064227723
178	0.2055024275
179	0.204892221
180	0.2043429625
181	0.2034904735
182	0.2015602566
183	0.2011012762
184	0.2005684223
185	0.2003183161
186	0.2002034327
187	0.1998675316
188	0.1997851583
189	0.1982231903
190	0.1980526795
191	0.1977311278
192	0.1975220474
193	0.19714911
194	0.1970410307
195	0.1962092266
196	0.1952748525
197	0.1946227242
198	0.1930405738
199	0.1923401113
