pid,year,pcat,lr,diff,adaptive_ens,actual
0212102101,2021,,0.0,0.50779,0.081246,1.0
0218240101,2021,XV,0.99645,0.79413,0.79939,1.0
0218240104,2021,XV,0.99996,0.32296,0.340562,1.0
0219230403,2021,A,0.99941,0.99672,0.99931,1.0
0219230404,2021,A,0.99941,0.99673,0.999311,1.0
0219230405,2021,A,0.99692,0.79757,0.989544,1.0
0219230408,2021,A,0.99692,0.69262,0.985661,1.0
0219230409,2021,F1,0.99097,0.49841,0.49841,1.0
0221240918,2021,D1,0.98994,0.49697,0.98994,1.0
0221241401,2021,,0.99936,0.579,0.932102,1.0
0242020461,2021,B,0.0,0.00088,0.000461,1.0
0242020463,2021,F1,0.0,0.1021,0.1021,1.0
0243030103,2021,F1,0.0,0.01213,0.01213,1.0
0303170519,2021,A,0.99635,0.99687,0.996369,1.0
0303170520,2021,A,0.99635,0.89819,0.992718,1.0
0303170521,2021,A,0.99634,0.99681,0.996357,1.0
0303170522,2021,C1,0.99946,0.98217,0.99104,1.0
0303170523,2021,A,0.99632,0.99688,0.996341,1.0
0303170524,2021,A,0.99636,0.99626,0.996356,1.0
0303170529,2021,A,0.99634,0.99683,0.996358,1.0
0303170530,2021,A,0.99632,0.99682,0.996338,1.0
0303170531,2021,A,0.99635,0.89865,0.992735,1.0
0303170532,2021,A,0.99635,0.99681,0.996367,1.0
0303170533,2021,A,0.99633,0.99682,0.996348,1.0
0303170534,2021,A,0.99635,0.9967,0.996363,1.0
0303170535,2021,A,0.99635,0.99687,0.996369,1.0
0303170539,2021,XV,0.99871,0.99547,0.995554,1.0
0303170547,2021,A,0.99636,0.99677,0.996375,1.0
0303170548,2021,A,0.99633,0.99633,0.99633,1.0
0303170549,2021,A,0.99634,0.99668,0.996353,1.0
0303170550,2021,A,0.99632,0.90654,0.992998,1.0
0303170553,2021,A,0.99632,0.79761,0.988968,1.0
0303170557,2021,A,0.99634,0.99686,0.996359,1.0
0303170560,2021,A,0.9993,0.99674,0.999205,1.0
0303170561,2021,A,0.99634,0.89806,0.992704,1.0
0303170563,2021,XV,0.99488,0.99652,0.996477,1.0
0303170564,2021,A,0.98557,0.99685,0.985987,1.0
0303170566,2021,A,0.99634,0.99686,0.996359,1.0
0303170567,2021,A,0.99632,0.99685,0.99634,1.0
0303170620,2021,A,0.99633,0.99686,0.99635,1.0
0303170621,2021,A,0.99633,0.99598,0.996317,1.0
0303170701,2021,,0.99901,0.3396,0.893504,1.0
0304160306,2021,A,0.99124,0.5487,0.974866,1.0
0304200402,2021,C1,0.99947,0.997,0.998267,1.0
0305180202,2021,XV,0.99304,0.86555,0.868865,1.0
0305180406,2021,A,0.99635,0.92226,0.993609,1.0
0305180407,2021,A,0.9973,0.99649,0.99727,1.0
0305180408,2021,A,0.99634,0.99659,0.996349,1.0
0305180409,2021,A,0.99635,0.99684,0.996368,1.0
0305180410,2021,A,0.99634,0.99414,0.996259,1.0
0305180411,2021,A,0.99634,0.99688,0.99636,1.0
0402030101,2021,F1,0.99976,0.99688,0.99688,1.0
0402030105,2021,XV,0.99901,0.19929,0.220083,1.0
0402030235,2021,A,0.99635,0.99672,0.996364,1.0
0402030236,2021,A,0.99635,0.99685,0.996368,1.0
0402040218,2021,B,0.99991,0.56789,0.773532,1.0
0402040406,2021,B,0.99991,0.60278,0.791814,1.0
0402040410,2021,F1,0.99976,0.99688,0.99688,1.0
0402040412,2021,B,0.9999,0.59517,0.787821,1.0
0402040413,2021,B,0.99991,0.58401,0.781978,1.0
0402040414,2021,C1,0.99946,0.89726,0.949689,1.0
0402040707,2021,A,0.99634,0.99684,0.996358,1.0
0402040708,2021,A,0.99633,0.99682,0.996348,1.0
0402040709,2021,A,0.99634,0.89731,0.992676,1.0
0402040721,2021,B,0.99988,0.99672,0.998224,1.0
0402040722,2021,B,0.99988,0.99692,0.998329,1.0
0402040727,2021,B,0.99988,0.9968,0.998266,1.0
0402040728,2021,B,0.99987,0.99676,0.99824,1.0
0402040729,2021,B,0.99987,0.9968,0.998261,1.0
0402550101,2021,A,0.0,0.79218,0.029311,1.0
0402550201,2021,A,0.0,0.79705,0.029491,1.0
0402550724,2021,A,0.0,0.79505,0.029417,1.0
0404040717,2021,XV,0.99992,0.10662,0.129846,1.0
0404550107,2021,C1,0.0,0.59908,0.291752,1.0
0404550108,2021,C1,0.0,0.79751,0.388387,1.0
0404550113,2021,A,0.0,0.7972,0.029496,1.0
0404550123,2021,A,0.0,0.99613,0.036857,1.0
0404550125,2021,A,0.0,0.78981,0.029223,1.0
0404550130,2021,F1,0.0,0.99594,0.99594,1.0
0404550131,2021,A,0.0,0.80013,0.029605,1.0
0404550132,2021,A,0.0,0.89673,0.033179,1.0
0404550134,2021,A,0.0,0.51691,0.019126,1.0
0404550301,2021,XV,0.0,0.19426,0.189209,1.0
0419130501,2021,A,0.98661,0.83578,0.981029,1.0
0419130502,2021,A,0.98662,0.9954,0.986945,1.0
0419130507,2021,A,0.98664,0.99592,0.986983,1.0
0419130508,2021,A,0.98658,0.99612,0.986933,1.0
0419130509,2021,A,0.98665,0.99555,0.986979,1.0
0419130510,2021,A,0.9865,0.99621,0.986859,1.0
0419130511,2021,A,0.98654,0.99589,0.986886,1.0
0419130512,2021,A,0.98656,0.99633,0.986921,1.0
0419130513,2021,A,0.98654,0.89357,0.9831,1.0
0419130514,2021,A,0.98654,0.79621,0.979498,1.0
0419130515,2021,A,0.98655,0.77367,0.978673,1.0
0419130516,2021,A,0.98656,0.89652,0.983229,1.0
0419130517,2021,C1,0.96022,0.89411,0.928024,1.0
0419150606,2021,A,0.98654,0.99609,0.986893,1.0
0419150607,2021,A,0.98654,0.93843,0.98476,1.0
0419150608,2021,A,0.98654,0.9959,0.986886,1.0
0419150609,2021,A,0.98654,0.99623,0.986899,1.0
0419150610,2021,A,0.98653,0.89647,0.983198,1.0
0419151001,2021,A,0.98653,0.77859,0.978836,1.0
0419151002,2021,A,0.98654,0.89667,0.983215,1.0
0419151023,2021,A,0.98654,0.996,0.98689,1.0
0419151024,2021,A,0.98654,0.99605,0.986892,1.0
0419151025,2021,A,0.98653,0.99587,0.986876,1.0
0422130401,2021,A,0.98657,0.99587,0.986914,1.0
0422130402,2021,A,0.98662,0.98604,0.986599,1.0
0422130403,2021,A,0.9866,0.99603,0.986949,1.0
0422130409,2021,A,0.98663,0.99622,0.986985,1.0
0423150301,2021,F1,0.96181,0.84777,0.84777,1.0
0423150805,2021,XV,0.0,0.10532,0.102582,1.0
0424000410,2021,A,0.0,0.7974,0.029504,1.0
0424000411,2021,A,0.0,0.70471,0.026074,1.0
0424000412,2021,A,0.0,0.79723,0.029498,1.0
0424000413,2021,A,0.0,0.89416,0.033084,1.0
0424000414,2021,A,0.0,0.59813,0.022131,1.0
0424000415,2021,A,0.0,0.89642,0.033168,1.0
0424000416,2021,A,0.0,0.80046,0.029617,1.0
0424000417,2021,A,0.0,0.89676,0.03318,1.0
0424000418,2021,A,0.0,0.8762,0.032419,1.0
0424000419,2021,A,0.0,0.79778,0.029518,1.0
0424000420,2021,A,0.0,0.50058,0.018521,1.0
0424000422,2021,A,0.0,0.8425,0.031173,1.0
0424000423,2021,A,0.0,0.61147,0.022624,1.0
0424000734,2021,XV,0.0,0.00089,0.000867,1.0
0424000735,2021,A,0.0,0.69488,0.025711,1.0
0424000736,2021,A,0.0,0.95557,0.035356,1.0
0424130301,2021,C1,0.0,0.69956,0.340686,1.0
0424130375,2021,A,0.0,0.79097,0.029266,1.0
0424130376,2021,A,0.0,0.59718,0.022096,1.0
0424130377,2021,A,0.0,0.89284,0.033035,1.0
0424130378,2021,A,0.0,0.92251,0.034133,1.0
0424130601,2021,C1,0.0,0.60225,0.293296,1.0
0424130701,2021,A,0.0,0.83262,0.030807,1.0
0424170601,2021,A,0.0,0.59859,0.022148,1.0
0424170602,2021,A,0.0,0.86344,0.031947,1.0
0424170603,2021,A,0.0,0.59803,0.022127,1.0
0424170604,2021,A,0.0,0.63627,0.023542,1.0
0424170605,2021,A,0.0,0.62951,0.023292,1.0
0424170606,2021,A,0.0,0.8966,0.033174,1.0
0424170607,2021,A,0.0,0.79659,0.029474,1.0
0424170608,2021,A,0.0,0.65826,0.024356,1.0
0424170609,2021,A,0.0,0.89243,0.03302,1.0
0424170610,2021,A,0.0,0.69787,0.025821,1.0
0424170611,2021,A,0.0,0.68981,0.025523,1.0
0424170612,2021,A,0.0,0.63362,0.023444,1.0
0424170621,2021,A,0.0,0.8231,0.030455,1.0
0424170622,2021,A,0.0,0.79839,0.02954,1.0
0424170623,2021,A,0.0,0.79705,0.029491,1.0
0424170624,2021,A,0.0,0.63873,0.023633,1.0
0424170625,2021,A,0.0,0.7976,0.029511,1.0
0424170626,2021,A,0.0,0.68897,0.025492,1.0
0424170627,2021,A,0.0,0.99603,0.036853,1.0
0424170708,2021,A,0.0,0.99635,0.036865,1.0
0424170810,2021,A,0.0,0.79746,0.029506,1.0
0424170811,2021,A,0.0,0.61148,0.022625,1.0
0424170812,2021,A,0.0,0.71368,0.026406,1.0
0424170813,2021,A,0.0,0.89809,0.033229,1.0
0424170814,2021,A,0.0,0.69966,0.025887,1.0
0424170815,2021,A,0.0,0.92987,0.034405,1.0
0424210301,2021,A,0.0,0.99634,0.036865,1.0
0424210302,2021,A,0.0,0.89819,0.033233,1.0
0424210303,2021,A,0.0,0.99614,0.036857,1.0
0424210304,2021,A,0.0,0.99608,0.036855,1.0
0424210325,2021,A,0.98664,0.99389,0.986908,1.0
0424210326,2021,A,0.98685,0.89702,0.983526,1.0
0424210327,2021,A,0.98669,0.99616,0.98704,1.0
0424210328,2021,A,0.98656,0.99615,0.986915,1.0
0424210329,2021,A,0.98662,0.99609,0.98697,1.0
0424210426,2021,A,0.0,0.99512,0.036819,1.0
0424210427,2021,A,0.0,0.89658,0.033173,1.0
0424211743,2021,A,0.98653,0.99581,0.986873,1.0
0424211745,2021,A,0.98667,0.89656,0.983336,1.0
0424211746,2021,A,0.98665,0.99599,0.986996,1.0
