parcel_id_10,ears_account_number,source
0100032001,100221,LUI_property_id
0100032002,100222,LUI_property_id
0100032101,100223,LUI_property_id
0100032102,100224,LUI_property_id
0100050103,100226,LUI_property_id
0100050106,100228,LUI_property_id
0100050107,100229,LUI_property_id
0100050110,100231,LUI_property_id
0100050111,100232,LUI_property_id
0100050118,100235,LUI_property_id
0100050120,100236,LUI_property_id
0100050121,100237,LUI_property_id
0100050122,100238,LUI_property_id
0100050123,100239,LUI_property_id
0100050124,100240,LUI_property_id
0100050126,100241,LUI_property_id
0100050127,100242,LUI_property_id
0100050128,100243,LUI_property_id
0100050129,100244,LUI_property_id
0100050130,100245,LUI_property_id
0100050131,100246,LUI_property_id
0100050132,100247,LUI_property_id
0100050203,100248,LUI_property_id
0100050210,100249,LUI_property_id
0100050212,100250,LUI_property_id
0100050216,100251,LUI_property_id
0100050231,100255,LUI_property_id
0100050238,100257,LUI_property_id
0100050242,100258,LUI_property_id
0100050244,100259,LUI_property_id
0100050245,100260,LUI_property_id
0100050246,100261,LUI_property_id
0100050247,100262,LUI_property_id
0100050248,100263,LUI_property_id
0100050249,100264,LUI_property_id
0100050250,100265,LUI_property_id
0100050252,100267,LUI_property_id
0100050253,100268,LUI_property_id
0100050256,100269,LUI_property_id
0100050257,100270,LUI_property_id
0100050258,100271,LUI_property_id
0100050259,100272,LUI_property_id
0100050260,100273,LUI_property_id
0100050264,100276,LUI_property_id
0100050265,100277,LUI_property_id
0100050266,100278,LUI_property_id
0100050303,100279,LUI_property_id
0100050304,100280,LUI_property_id
0100050305,100281,LUI_property_id
0100050308,100282,LUI_property_id
0100050309,100283,LUI_property_id
0100050316,100287,LUI_property_id
0100050317,100288,LUI_property_id
0100050318,100289,LUI_property_id
0100050319,100290,LUI_property_id
0100050320,540277,LUI_property_id
0100050321,540278,LUI_property_id
0100050322,540279,LUI_property_id
0100050401,100291,LUI_property_id
0100050406,100295,LUI_property_id
0100050407,100296,LUI_property_id
0100050409,100298,LUI_property_id
0100050412,100299,LUI_property_id
0100050413,100300,LUI_property_id
0100050414,100301,LUI_property_id
0100050415,100302,LUI_property_id
0100050416,100303,LUI_property_id
0100050417,100304,LUI_property_id
0100050419,100305,LUI_property_id
0100050420,100306,LUI_property_id
0100050421,100307,LUI_property_id
0100050422,100308,LUI_property_id
0100050423,837133,LUI_property_id
0100050501,100309,LUI_property_id
0100050702,100314,LUI_property_id
0100050703,100315,LUI_property_id
0100050704,100316,LUI_property_id
0100050707,100317,LUI_property_id
0100050713,100321,LUI_property_id
0100050715,100323,LUI_property_id
0100060104,100327,LUI_property_id
0100060107,100328,LUI_property_id
0100060108,100329,LUI_property_id
0100060110,100330,LUI_property_id
0100060111,100331,LUI_property_id
0100060112,100332,LUI_property_id
0100060113,100333,LUI_property_id
0100060114,100334,LUI_property_id
0100060115,100335,LUI_property_id
0100060116,100336,LUI_property_id
0100060117,100337,LUI_property_id
0100060120,100339,LUI_property_id
0100060123,100342,LUI_property_id
0100060124,100343,LUI_property_id
0100060125,100344,LUI_property_id
0100060129,100347,LUI_property_id
0100060131,100349,LUI_property_id
0100060136,520804,LUI_property_id
0100060150,883285,LUI_property_id
0100060202,100353,LUI_property_id
0100060205,100354,LUI_property_id
0100060207,100355,LUI_property_id
0100060209,100356,LUI_property_id
0100060210,100357,LUI_property_id
0100060211,100358,LUI_property_id
0100060213,100359,LUI_property_id
0100060214,100360,LUI_property_id
0100060215,100361,LUI_property_id
0100060216,100362,LUI_property_id
0100060217,100363,LUI_property_id
0100060219,100365,LUI_property_id
0100060221,100367,LUI_property_id
0100060222,100368,LUI_property_id
0100060226,100369,LUI_property_id
0100060228,100370,LUI_property_id
0100060231,100373,LUI_property_id
0100060232,100374,LUI_property_id
0100060233,100375,LUI_property_id
0100060234,100376,LUI_property_id
0100060235,100377,LUI_property_id
0100060236,100379,LUI_property_id
0100060237,100386,LUI_property_id
0100060238,711857,LUI_property_id
0100060239,711858,LUI_property_id
0100060303,100406,LUI_property_id
0100060304,100407,LUI_property_id
0100060305,100408,LUI_property_id
0100060306,100409,LUI_property_id
0100060307,100410,LUI_property_id
0100060308,100411,LUI_property_id
0100060309,100412,LUI_property_id
0100060310,100413,LUI_property_id
0100060311,100414,LUI_property_id
0100060312,100415,LUI_property_id
0100060313,100416,LUI_property_id
0100060316,100418,LUI_property_id
0100060317,100419,LUI_property_id
0100060318,100420,LUI_property_id
0100060320,100421,LUI_property_id
0100060321,100422,LUI_property_id
0100060328,100423,LUI_property_id
0100060329,100424,LUI_property_id
0100060332,100427,LUI_property_id
0100060338,100435,LUI_property_id
0100060339,100436,LUI_property_id
0100060340,772453,LUI_property_id
0100060402,100438,LUI_property_id
0100060403,100439,LUI_property_id
0100060404,100440,LUI_property_id
0100060405,100441,LUI_property_id
0100060406,100442,LUI_property_id
0100060407,100443,LUI_property_id
0100060408,100444,LUI_property_id
0100060409,100445,LUI_property_id
0100060410,100446,LUI_property_id
0100060411,100447,LUI_property_id
0100060412,100448,LUI_property_id
0100060413,100449,LUI_property_id
0100060414,100450,LUI_property_id
0100060415,100451,LUI_property_id
0100060416,100452,LUI_property_id
0100060417,100453,LUI_property_id
0100060418,100454,LUI_property_id
0100060419,100455,LUI_property_id
0100060420,100456,LUI_property_id
0100060421,100457,LUI_property_id
0100060422,100458,LUI_property_id
0100060423,100459,LUI_property_id
0100060424,100460,LUI_property_id
0100060425,100461,LUI_property_id
0100060426,100462,LUI_property_id
0100060427,100463,LUI_property_id
0100060428,100464,LUI_property_id
0100060502,100465,LUI_property_id
0100060503,100466,LUI_property_id
0100060504,100467,LUI_property_id
0100060505,778281,LUI_property_id
0100060602,100468,LUI_property_id
0100060603,100469,LUI_property_id
0100060604,100470,LUI_property_id
0100060605,100471,LUI_property_id
0100060606,100472,LUI_property_id
0100060607,100473,LUI_property_id
0100060608,100474,LUI_property_id
0100060609,100475,LUI_property_id
0100060611,100476,LUI_property_id
0100060613,100477,LUI_property_id
0100060614,100478,LUI_property_id
0100060615,100479,LUI_property_id
0100060616,100480,LUI_property_id
0100060617,100481,LUI_property_id
0100060618,100482,LUI_property_id
0100060619,100483,LUI_property_id
0100060701,100484,LUI_property_id
0100060702,100485,LUI_property_id
0100060703,100486,LUI_property_id
0100060704,100487,LUI_property_id
0100060705,100488,LUI_property_id
0100060706,100489,LUI_property_id
0100060707,100490,LUI_property_id
0100060708,100491,LUI_property_id
0100060709,100492,LUI_property_id
0100060710,100493,LUI_property_id
0100060711,100494,LUI_property_id
0100060712,100495,LUI_property_id
0100060713,100496,LUI_property_id
0100060714,100498,LUI_property_id
0100060715,100500,LUI_property_id
0100060716,100501,LUI_property_id
0100060717,100502,LUI_property_id
0100060718,100503,LUI_property_id
0100060720,100505,LUI_property_id
0100060801,100506,LUI_property_id
0100060802,100507,LUI_property_id
0100060803,100508,LUI_property_id
