Test_Year,Target,Threshold,N_Train,N_Train_Treated,N_Test,N_Test_Treated,OOT_Mean_CATE,OOT_R_Scorer
2018,Binary_Upzone,0.001,2400,72.0,134,8.0,-0.03195211140263091,0.04804845417054137
2018,Continuous_Attrition,0.001,2400,72.0,134,8.0,-2.5871916968282527,454.7192837630459
2018,Continuous_Time_Delay,0.001,2400,72.0,134,8.0,0.26736029340730655,507674.64204247127
2018,Binary_Withdrawal,0.001,2400,72.0,134,8.0,-0.045744361284372904,0.04428107790255835
2018,Binary_Denial,0.001,2400,72.0,134,8.0,0.05172753582306271,0.021963164939374877
2018,Binary_Upzone,0.05,2400,40.0,134,6.0,-0.0024280625984850193,0.05091367568885695
2018,Continuous_Attrition,0.05,2400,40.0,134,6.0,-2.2287284206910214,435.4029888841433
2018,Continuous_Time_Delay,0.05,2400,40.0,134,6.0,22.686026280061796,522182.4135432308
2018,Binary_Withdrawal,0.05,2400,40.0,134,6.0,0.005889459358401499,0.03835209290170334
2018,Binary_Denial,0.05,2400,40.0,134,6.0,0.049856027860770966,0.01853255625326493
2018,Binary_Upzone,0.1,2400,28.0,134,4.0,-0.013745626771100864,0.05235276747724413
2018,Continuous_Attrition,0.1,2400,28.0,134,4.0,-3.1659295890589303,588.0147671823598
2018,Continuous_Time_Delay,0.1,2400,28.0,134,4.0,96.64513117092316,511194.89129719493
2018,Binary_Withdrawal,0.1,2400,28.0,134,4.0,0.116681341040863,0.04282475447964269
2018,Binary_Denial,0.1,2400,28.0,134,4.0,0.11962533812631214,0.017803050275595797
2018,Binary_Upzone,0.15000000000000002,2400,18.0,134,3.0,-0.08442314116898325,0.05328480233954802
2018,Continuous_Attrition,0.15000000000000002,2400,18.0,134,3.0,-3.041261512511195,643.7935391139765
2018,Continuous_Time_Delay,0.15000000000000002,2400,18.0,134,3.0,38.990371537968564,501113.1390366807
2018,Binary_Withdrawal,0.15000000000000002,2400,18.0,134,3.0,-0.004146847157758187,0.04674930087521169
2018,Binary_Denial,0.15000000000000002,2400,18.0,134,3.0,-0.10142291333617928,0.021285777925284476
2018,Binary_Upzone,0.2,2400,11.0,134,3.0,0.006888779326950241,0.05122692789219645
2018,Continuous_Attrition,0.2,2400,11.0,134,3.0,-1.3584924540051215,411.6483365962368
2018,Continuous_Time_Delay,0.2,2400,11.0,134,3.0,30.219672754757863,500460.5126155383
2018,Binary_Withdrawal,0.2,2400,11.0,134,3.0,0.17994556980709958,0.04364077333088146
2018,Binary_Denial,0.2,2400,11.0,134,3.0,-0.038845096242540386,0.022968705233972216
2018,Binary_Upzone,0.25,2400,9.0,134,1.0,0.02902960872399794,0.049206982252990396
2018,Continuous_Attrition,0.25,2400,9.0,134,1.0,-1.2044417978096396,431.0166754564599
2018,Continuous_Time_Delay,0.25,2400,9.0,134,1.0,-44.257788802615266,500323.0199328068
2018,Binary_Withdrawal,0.25,2400,9.0,134,1.0,-0.14731503301031837,0.052731426373924216
2018,Binary_Denial,0.25,2400,9.0,134,1.0,0.11428343645305582,0.019022492584640244
2018,Binary_Upzone,0.3,2400,8.0,134,1.0,0.037916089222816154,0.051831660215239606
2018,Continuous_Attrition,0.3,2400,8.0,134,1.0,-1.0672169941490746,580.0061165110573
2018,Continuous_Time_Delay,0.3,2400,8.0,134,1.0,279.96660048304426,501973.1213200159
2018,Binary_Withdrawal,0.3,2400,8.0,134,1.0,0.010566268874288891,0.043732227856798665
2018,Binary_Denial,0.3,2400,8.0,134,1.0,0.015867241663123605,0.021110621957218172
2018,Binary_Upzone,0.35000000000000003,2400,5.0,134,1.0,0.08209136143487625,0.05440457313600027
2018,Continuous_Attrition,0.35000000000000003,2400,5.0,134,1.0,-2.16194591713708,505.1488874367531
2018,Continuous_Time_Delay,0.35000000000000003,2400,5.0,134,1.0,335.1441163819318,507412.25669862377
2018,Binary_Withdrawal,0.35000000000000003,2400,5.0,134,1.0,-0.21242571582871722,0.05115157876861075
2018,Binary_Denial,0.35000000000000003,2400,5.0,134,1.0,-0.052413871169078814,0.020548864582359216
2019,Binary_Upzone,0.001,2534,80.0,131,5.0,0.035198815602367185,0.04332769028273297
2019,Continuous_Attrition,0.001,2534,80.0,131,5.0,-2.258257525686244,206.60223068066256
2019,Continuous_Time_Delay,0.001,2534,80.0,131,5.0,136.09192614633702,164941.0816858707
2019,Binary_Withdrawal,0.001,2534,80.0,131,5.0,-0.0014050964327394415,0.04121455332995427
2019,Binary_Denial,0.001,2534,80.0,131,5.0,0.13482769485544294,0.024135598157929983
2019,Binary_Upzone,0.05,2534,46.0,131,3.0,0.03521979194842145,0.04314803710103076
2019,Continuous_Attrition,0.05,2534,46.0,131,3.0,-2.8687891941830945,332.63017302881207
2019,Continuous_Time_Delay,0.05,2534,46.0,131,3.0,46.93902384065369,169087.57959458506
2019,Binary_Withdrawal,0.05,2534,46.0,131,3.0,0.059735243316829376,0.037723150559209925
2019,Binary_Denial,0.05,2534,46.0,131,3.0,0.142017167623705,0.026590690382738466
2019,Binary_Upzone,0.1,2534,32.0,131,2.0,-0.010563674115315383,0.041692603095237174
2019,Continuous_Attrition,0.1,2534,32.0,131,2.0,-1.4583149675009728,279.5997901551646
2019,Continuous_Time_Delay,0.1,2534,32.0,131,2.0,100.36892544422626,176844.60861674466
2019,Binary_Withdrawal,0.1,2534,32.0,131,2.0,0.031768488486683996,0.04056245281104822
2019,Binary_Denial,0.1,2534,32.0,131,2.0,0.18398197830461901,0.025468357572253936
2019,Binary_Upzone,0.15000000000000002,2534,21.0,131,2.0,0.051457160755581405,0.04321187092291241
