Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2019,XGBoost,Default,2023,0.8577777777777778
Pre-2019,RandomForest,Default,2023,0.8132034632034633
Pre-2019,TabNet,Default,2023,0.6672718947718947
Pre-2019,CatBoost,HighCap,2023,0.807008547008547
Pre-2019,XGBoost,HighCap,2023,0.8602272727272727
Pre-2019,RandomForest,HighCap,2023,0.7936752136752137
Pre-2019,TabNet,HighCap,2023,0.049853631526790544
Pre-2019,CatBoost,Regularized,2023,0.8004151404151404
Pre-2019,XGBoost,Regularized,2023,0.840103785103785
Pre-2019,RandomForest,Regularized,2023,0.7381990231990231
Pre-2019,TabNet,Regularized,2023,0.3980884022208291
Pre-2019,CatBoost,Default,2024,0.5644444444444444
Pre-2019,XGBoost,Default,2024,0.7277777777777779
Pre-2019,RandomForest,Default,2024,0.5783333333333333
Pre-2019,TabNet,Default,2024,0.6116666666666666
Pre-2019,CatBoost,HighCap,2024,0.8583333333333332
Pre-2019,XGBoost,HighCap,2024,0.8528571428571428
Pre-2019,RandomForest,HighCap,2024,0.5783333333333333
Pre-2019,TabNet,HighCap,2024,0.014203979305655085
Pre-2019,CatBoost,Regularized,2024,0.8392857142857142
Pre-2019,XGBoost,Regularized,2024,0.731111111111111
Pre-2019,RandomForest,Regularized,2024,1.0
Pre-2019,TabNet,Regularized,2024,0.09572444626050793
Pre-2020,CatBoost,Default,2021,0.3953952978072227
Pre-2020,XGBoost,Default,2021,0.5688983020263808
Pre-2020,RandomForest,Default,2021,0.6904183520526608
Pre-2020,TabNet,Default,2021,0.4624062287080253
Pre-2020,CatBoost,HighCap,2021,0.5156885898265209
Pre-2020,XGBoost,HighCap,2021,0.5428244874415745
Pre-2020,RandomForest,HighCap,2021,0.6318756920017424
Pre-2020,TabNet,HighCap,2021,0.2472666654728031
Pre-2020,CatBoost,Regularized,2021,0.4633217767454221
Pre-2020,XGBoost,Regularized,2021,0.48578640581540633
Pre-2020,RandomForest,Regularized,2021,0.42944642683607026
Pre-2020,TabNet,Regularized,2021,0.37300592979037805
Pre-2020,CatBoost,Default,2022,0.23637473637473638
Pre-2020,XGBoost,Default,2022,0.29851190476190476
Pre-2020,RandomForest,Default,2022,0.44358974358974357
Pre-2020,TabNet,Default,2022,0.22641594516594515
Pre-2020,CatBoost,HighCap,2022,0.34794372294372294
Pre-2020,XGBoost,HighCap,2022,0.30668498168498165
Pre-2020,RandomForest,HighCap,2022,0.4583333333333333
Pre-2020,TabNet,HighCap,2022,0.05237891737891738
Pre-2020,CatBoost,Regularized,2022,0.27976190476190477
Pre-2020,XGBoost,Regularized,2022,0.2519230769230769
Pre-2020,RandomForest,Regularized,2022,0.37976190476190474
Pre-2020,TabNet,Regularized,2022,0.3207117925704313
Pre-2020,CatBoost,Default,2023,0.8757783882783882
Pre-2020,XGBoost,Default,2023,0.7966117216117216
Pre-2020,RandomForest,Default,2023,0.8548523698523698
Pre-2020,TabNet,Default,2023,0.7142596292596292
Pre-2020,CatBoost,HighCap,2023,0.8230341880341879
Pre-2020,XGBoost,HighCap,2023,0.8303030303030302
Pre-2020,RandomForest,HighCap,2023,0.8438736263736263
Pre-2020,TabNet,HighCap,2023,0.17023661333476628
Pre-2020,CatBoost,Regularized,2023,0.8243578643578643
Pre-2020,XGBoost,Regularized,2023,0.8043894993894993
Pre-2020,RandomForest,Regularized,2023,0.8315323565323564
Pre-2020,TabNet,Regularized,2023,0.26391949921960983
Pre-2020,CatBoost,Default,2024,0.4720634920634921
Pre-2020,XGBoost,Default,2024,0.7753968253968253
Pre-2020,RandomForest,Default,2024,0.696190476190476
Pre-2020,TabNet,Default,2024,0.7277777777777779
Pre-2020,CatBoost,HighCap,2024,0.7753968253968253
Pre-2020,XGBoost,HighCap,2024,0.8444444444444443
Pre-2020,RandomForest,HighCap,2024,0.5453968253968253
Pre-2020,TabNet,HighCap,2024,0.11666666666666667
Pre-2020,CatBoost,Regularized,2024,0.7783333333333333
Pre-2020,XGBoost,Regularized,2024,0.8444444444444443
Pre-2020,RandomForest,Regularized,2024,1.0
Pre-2020,TabNet,Regularized,2024,0.18149230709532216
Pre-2021,CatBoost,Default,2022,0.25270562770562766
Pre-2021,XGBoost,Default,2022,0.25270562770562766
Pre-2021,RandomForest,Default,2022,0.4665334665334665
Pre-2021,TabNet,Default,2022,0.24377705627705626
Pre-2021,CatBoost,HighCap,2022,0.3374542124542124
Pre-2021,XGBoost,HighCap,2022,0.24232711732711731
Pre-2021,RandomForest,HighCap,2022,0.5685897435897436
Pre-2021,TabNet,HighCap,2022,0.016309649882866404
Pre-2021,CatBoost,Regularized,2022,0.23707542457542458
Pre-2021,XGBoost,Regularized,2022,0.25766594516594515
Pre-2021,RandomForest,Regularized,2022,0.35119047619047616
Pre-2021,TabNet,Regularized,2022,0.19458551398849908
Pre-2021,CatBoost,Default,2023,0.7449891774891775
Pre-2021,XGBoost,Default,2023,0.750605228105228
Pre-2021,RandomForest,Default,2023,0.8410958485958485
Pre-2021,TabNet,Default,2023,0.83507215007215
Pre-2021,CatBoost,HighCap,2023,0.9073260073260072
Pre-2021,XGBoost,HighCap,2023,0.7667957042957042
Pre-2021,RandomForest,HighCap,2023,0.8391117216117215
Pre-2021,TabNet,HighCap,2023,0.2064912335535363
Pre-2021,CatBoost,Regularized,2023,0.8493578643578642
Pre-2021,XGBoost,Regularized,2023,0.8514757464757464
Pre-2021,RandomForest,Regularized,2023,0.7081990231990233
Pre-2021,TabNet,Regularized,2023,0.44868753254112376
Pre-2021,CatBoost,Default,2024,0.711111111111111
Pre-2021,XGBoost,Default,2024,0.7453968253968253
Pre-2021,RandomForest,Default,2024,0.5644444444444444
Pre-2021,TabNet,Default,2024,0.8261904761904761
Pre-2021,CatBoost,HighCap,2024,0.5644444444444444
Pre-2021,XGBoost,HighCap,2024,0.7753968253968253
Pre-2021,RandomForest,HighCap,2024,0.6587301587301588
Pre-2021,TabNet,HighCap,2024,0.03486939644708679
Pre-2021,CatBoost,Regularized,2024,0.7392857142857143
Pre-2021,XGBoost,Regularized,2024,0.7753968253968253
Pre-2021,RandomForest,Regularized,2024,0.9666666666666666
Pre-2021,TabNet,Regularized,2024,0.14770387236977756
Pre-2022,CatBoost,Default,2023,0.7442307692307691
Pre-2022,XGBoost,Default,2023,0.7586247086247085
Pre-2022,RandomForest,Default,2023,0.8098151848151848
Pre-2022,TabNet,Default,2023,0.6308982683982683
Pre-2022,CatBoost,HighCap,2023,0.7504220779220778
Pre-2022,XGBoost,HighCap,2023,0.7355844155844155
Pre-2022,RandomForest,HighCap,2023,0.8078860028860029
Pre-2022,TabNet,HighCap,2023,0.3346260595458448
Pre-2022,CatBoost,Regularized,2023,0.8361294261294261
Pre-2022,XGBoost,Regularized,2023,0.8014818514818515
Pre-2022,RandomForest,Regularized,2023,0.7321503496503495
Pre-2022,TabNet,Regularized,2023,0.2680440829050539
Pre-2022,CatBoost,Default,2024,0.5911111111111111
Pre-2022,XGBoost,Default,2024,0.6253968253968254
Pre-2022,RandomForest,Default,2024,0.5253968253968254
Pre-2022,TabNet,Default,2024,0.5783333333333333
Pre-2022,CatBoost,HighCap,2024,0.6644444444444444
Pre-2022,XGBoost,HighCap,2024,0.711111111111111
Pre-2022,RandomForest,HighCap,2024,0.711111111111111
Pre-2022,TabNet,HighCap,2024,0.09979796773275035
Pre-2022,CatBoost,Regularized,2024,0.7253968253968255
Pre-2022,XGBoost,Regularized,2024,0.6444444444444444
Pre-2022,RandomForest,Regularized,2024,1.0
Pre-2022,TabNet,Regularized,2024,0.18146815703972516
