Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2018,TabNetVREx,ExtDeep,2021,0.10552961060730898
Pre-2018,CatBoost,Default,2022,0.27275641025641023
Pre-2018,XGBoost,Default,2022,0.2506604506604506
Pre-2018,RandomForest,Default,2022,0.33809523809523806
Pre-2018,LightGBM,Default,2022,0.2700757575757576
Pre-2018,Logistic,Default,2022,0.31799242424242424
Pre-2018,TabNet,Default,2022,0.4394230769230769
Pre-2018,TabNetVREx,Default,2022,0.2763888888888889
Pre-2018,CatBoost,HighCap,2022,0.26726190476190476
Pre-2018,XGBoost,HighCap,2022,0.28154761904761905
Pre-2018,RandomForest,HighCap,2022,0.475
Pre-2018,LightGBM,HighCap,2022,0.2638888888888889
Pre-2018,Logistic,HighCap,2022,0.33819444444444446
Pre-2018,TabNet,HighCap,2022,0.12107023411371237
Pre-2018,TabNetVREx,HighCap,2022,0.04210479966634541
Pre-2018,CatBoost,Regularized,2022,0.2422161172161172
Pre-2018,XGBoost,Regularized,2022,0.2505952380952381
Pre-2018,RandomForest,Regularized,2022,0.25535714285714284
Pre-2018,LightGBM,Regularized,2022,0.261038961038961
Pre-2018,Logistic,Regularized,2022,0.29166666666666663
Pre-2018,TabNet,Regularized,2022,0.26957070707070707
Pre-2018,TabNetVREx,Regularized,2022,0.27976190476190477
Pre-2018,CatBoost,ExtShallow,2022,0.23769841269841266
Pre-2018,XGBoost,ExtShallow,2022,0.25270562770562766
Pre-2018,RandomForest,ExtShallow,2022,0.2790334665334665
Pre-2018,LightGBM,ExtShallow,2022,0.27827380952380953
Pre-2018,Logistic,ExtShallow,2022,0.2701048951048951
Pre-2018,TabNet,ExtShallow,2022,0.16295080340165904
Pre-2018,TabNetVREx,ExtShallow,2022,0.16291266115209777
Pre-2018,CatBoost,ExtDeep,2022,0.36442307692307696
Pre-2018,XGBoost,ExtDeep,2022,0.2854437229437229
Pre-2018,RandomForest,ExtDeep,2022,0.5333333333333333
Pre-2018,LightGBM,ExtDeep,2022,0.2640151515151515
Pre-2018,Logistic,ExtDeep,2022,0.29924242424242425
Pre-2018,TabNet,ExtDeep,2022,0.09132412398921833
Pre-2018,TabNetVREx,ExtDeep,2022,0.1319976076555024
Pre-2018,CatBoost,Default,2023,0.9332467532467531
Pre-2018,XGBoost,Default,2023,0.7998809523809522
Pre-2018,RandomForest,Default,2023,0.8499342324342324
Pre-2018,LightGBM,Default,2023,0.795103785103785
Pre-2018,Logistic,Default,2023,0.8326911976911977
Pre-2018,TabNet,Default,2023,0.8354501054501055
Pre-2018,TabNetVREx,Default,2023,0.3331257482640274
Pre-2018,CatBoost,HighCap,2023,0.7657864357864358
Pre-2018,XGBoost,HighCap,2023,0.8234920634920635
Pre-2018,RandomForest,HighCap,2023,0.8177228327228327
Pre-2018,LightGBM,HighCap,2023,0.6939177489177489
Pre-2018,Logistic,HighCap,2023,0.8193578643578643
Pre-2018,TabNet,HighCap,2023,0.2323149686231082
Pre-2018,TabNetVREx,HighCap,2023,0.31588095735110655
Pre-2018,CatBoost,Regularized,2023,0.8322546897546897
Pre-2018,XGBoost,Regularized,2023,0.8308225108225108
Pre-2018,RandomForest,Regularized,2023,0.7925929625929626
Pre-2018,LightGBM,Regularized,2023,0.8046142746142746
Pre-2018,Logistic,Regularized,2023,0.7152669552669552
Pre-2018,TabNet,Regularized,2023,0.47173872180451126
Pre-2018,TabNetVREx,Regularized,2023,0.5780655455655456
Pre-2018,CatBoost,ExtShallow,2023,0.7242957042957041
Pre-2018,XGBoost,ExtShallow,2023,0.8671717171717171
Pre-2018,RandomForest,ExtShallow,2023,0.7991197691197692
Pre-2018,LightGBM,ExtShallow,2023,0.7735031635031634
Pre-2018,Logistic,ExtShallow,2023,0.7603418803418803
Pre-2018,TabNet,ExtShallow,2023,0.5537720458553792
