,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive
Rigid Density Boundaries (Acreage/Scale),26.198565991963385,28.226142133663163,26.530944980081557,25.928908192101897,25.121848042421153,35.41446264082144,27.983989847040874,32.884249513886346,27.678127961084293,25.926477300940505,22.02183003518429,22.376938336225415,25.652888617113973,20.00917958729486,24.13542530945517,19.261247459359645,23.553878595139434,25.69525487623274,17.826209435339898,19.63733975648589,23.588415524149074,18.747331994115697,18.71037716162215,15.980167721438509
Administrative Artifacts & Agenda Text,15.08497452369838,17.41701084419905,11.078324846477814,16.02656405390471,14.11569263192575,14.882876033365458,10.747356204881136,10.232743576714453,18.287031221772885,15.546712123034876,10.244704543191622,15.709664878199042,17.04170315195544,13.557689194098582,12.907397636539397,12.574538764149592,17.683045216283485,18.27325474901031,11.741758562848835,13.352845375039093,17.881664615008223,15.030355936683884,12.552719251525223,11.280111879521693
Absolute Geographic Lat/Long Coordinates,17.35632695721938,16.76755321795604,18.443600295594653,19.8774382813272,13.437722590063341,12.9268886754139,17.402708130604804,18.955118498654116,9.38054993056342,14.706550235438042,16.902408996442926,18.57083864872259,11.206010328884869,16.465585039858176,12.358341686360555,15.659930681689172,7.88000260747122,10.255051476178071,12.732828783269293,13.203932639562026,6.864469579689045,9.41525487640192,12.780098191148657,13.926706017444882
Current Valuation Gradients,22.654977902204482,11.448417821132738,19.976493552851572,9.97049621621101,26.158856412190996,14.182523276366792,17.801199351384696,8.56876348558137,17.216610509270417,8.34140094550852,11.705468086724412,8.32045973614002,19.717938562893107,11.973517321011373,14.36983885895035,7.749548108371021,19.257967892785736,11.711884666881044,15.951092042168286,12.490236940882864,15.701156032766372,14.449600896536158,15.423913017307598,14.546364362614861
Macro-Historical Base Geometries,4.839876909774957,7.379369826468661,5.841435540540747,7.817432970940942,5.937805570278293,5.270499731186104,7.660704276660171,8.95627228323514,4.7920008370001845,6.161067775770614,10.539027588984744,10.745064569963846,5.963851245616709,6.878598997271869,8.603387796018314,10.02016720882703,8.117543595413759,5.935159130910516,10.961158919467834,9.641644975352612,9.2862715807949,7.283283118617209,12.437121584715445,12.606401923717225
Immediate Structural Demographics,4.804366965961656,5.111304995375148,3.584268972371364,5.210572015018039,6.97505418267346,6.481646898147178,5.320886815318526,6.380571288502031,9.772957651889264,10.993418631099546,12.838994639731318,9.248742421065412,10.025790003523229,14.023022549318743,12.98779794019032,18.12196804698725,13.650551869109428,16.035635463110765,14.628382069427218,14.525486870287002,13.314584834976653,16.0564111055432,13.17580187428449,12.553161878538221
Historical Valuation Momentum Lags,5.832480536328196,7.451188063214994,6.721230295969516,6.863810480366578,5.228633648758029,5.789129504729695,7.791946271482167,6.7696156121429345,8.30208924091315,8.09463285790417,6.735281513001466,6.474572740435586,5.917050399964293,9.025973635522789,6.019591051100494,7.480596557647081,6.782063038708475,6.624562669348016,7.339421061026472,6.535123278377432,9.043707194691779,12.16711571396225,7.74394868311698,8.417497342099834
Lagged Demographic Shift (1-6 Yr),3.228430212849562,6.199013097990207,7.823701516112777,8.30477779012963,3.024386921688981,5.051973239969426,5.291209102627628,7.252665741283609,4.570632647506404,10.229740130303732,9.012284596739232,8.553718669248092,4.474767690048374,8.066433675623607,8.618219721385408,9.132003172969215,3.074947185088459,5.469196968328534,8.819149126452155,10.613390164013065,4.319730637923938,6.850646358139659,7.176020236279459,10.68958887462478
