,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive
gross_site_area_acres,22.46000749391634,14.323439702228205,20.077690520542667,11.516253414981323,20.55414577721809,16.90987262468312,28.08618874584684,15.547776749933673,22.3437228024141,12.625646941166721,22.49284109041078,15.947183701569237,20.843871721022747,12.390850373063886,26.12814082938888,14.550646742306578,14.78051190607555,10.576760282365528,18.94011679849479,10.393170521656677,14.541495988776976,11.114591652939103,19.7739651420201,13.534782577186515
delta_max_height_ft,1.4577910412994728,1.6373404332851373,1.751247382940553,1.708987849748766,2.528278123486352,1.3223617562072103,1.6332655133921923,1.9811472155326846,0.6133364324272217,1.4883971070567463,0.7887627031293966,1.2307680829720962,0.4763138944830334,1.1291481363419609,1.1074242948147444,1.102329343086213,0.33091069706040077,0.8245602725500469,1.8324819083013446,1.1200605932392411,0.9644597973531798,0.908815058070377,1.200926921938442,1.5465308646765563
delta_max_far,3.784053417258531,3.1963192449593536,2.774321240771779,4.405625713515551,2.42283398914095,4.798360567352473,1.6714775098461432,6.005271580200276,2.5085137586791086,3.2047307172023047,1.9724690916388559,3.1003568433616167,2.6264642612639197,3.465260881601912,2.3371366301224676,3.618940906565894,1.7097999417709633,2.8280091533867107,2.6855747923614173,3.331833465312121,1.3906226072793841,3.6388192195149314,2.5698829865453074,2.913555580213449
delta_max_bldg_cov_pct,7.516964691311488,5.577213668198301,5.254996413093209,5.23648670449176,8.035222578686128,7.855600714823413,5.776457726745631,5.677511911149578,7.504142387504868,7.2027845758538644,5.14480051836925,5.420475564870636,6.871099671978885,6.562548843543471,4.950859283838863,5.835598885951336,7.701291834751725,10.594324551151265,6.321781570838521,7.683905386696327,7.710046541033153,7.8492627180713095,7.592113992969766,8.536260353827362
delta_min_lot_sqft,0.9039734850150437,1.9402869462418222,0.5606823580153695,1.5454134595001465,0.6010061252748815,1.0484982237717413,0.7700218330172464,0.9672669013410762,0.35280547165961196,1.2826133111665785,0.6258178252944419,0.7286269203752673,0.7767829649771905,0.5691837276167144,0.49972962989635217,0.5444065768665944,0.5736156478073771,0.48973299965235684,0.16753552654744885,0.5865409763008549,0.10753637548902709,0.7314165532024184,0.3035621693209277,0.472480671482955
latitude,11.481537772303824,13.659831289498078,19.46514495085202,17.664389131447553,9.913853219146318,9.792391902015025,16.340527205253494,13.69379275565357,9.802547784159678,11.956977732443313,16.204250370497718,15.198962565063677,7.985898732011664,11.403179337279662,14.782900946509553,12.611365416314838,6.692569776365807,10.177622623155894,12.63425987016997,14.146906762204623,6.097038392167513,8.479230466857926,12.447248824609517,11.052998130884305
longitude,5.718918143721941,9.949460778303216,11.718723549495671,13.195128363746258,5.766211013710339,12.543534842544688,10.177869507763178,12.41138021931792,4.988893341503834,10.273420934888943,12.250839880267296,14.629628622583482,6.31667750157932,10.095377039415046,10.020105511466488,11.433587362117093,5.735913596036101,8.098013478559361,8.885675771176253,10.88747478537601,3.488145247647857,7.519979769352027,8.878096142369436,9.420965054766238
lui_land_use,0.12761738624231092,0.3476508607282351,0.19133764604330866,0.3417772720957482,0.05800623402650553,0.20248555807569432,0.04549956458125892,0.2531031707103535,0.33067145840526113,0.36212880743778647,0.16988090994950272,0.24663532364743493,0.042958477381359904,0.44299486006841754,0.21161972883903418,0.3103989444853285,0.0,0.3474343186740581,0.17611761334057058,0.30771923696366676,0.16023603541630513,0.36750648680493186,0.07876745245204622,0.26852946591605936
lui_general_land_use,0.03917256955395187,0.08491583266078111,0.036416780694736035,0.03425041700827734,0.038210914064477026,0.01044869949546032,0.056280560122829205,0.06686274895676056,0.018979159958886143,0.01364285859886308,0.04872495538938769,0.03383375877611795,0.14914824273598198,0.011165084097566549,0.0,0.010159241010470138,0.0,0.009241594383745052,0.0,0.007385715429360153,0.0,0.01326419047922164,0.0,0.041949193890738964
lui_shape_area,0.4462823090316509,0.4058485532454043,0.02308694669169581,0.20685024260593082,0.5725647298995549,0.22569377979226762,0.06400561518433431,0.3155721650245464,0.1307868117806587,0.19992936466457803,0.021042616120102525,0.11034621132280957,0.3113654456890477,0.12747221454353055,0.08791739032583368,0.0735356713716689,0.7203757755195798,0.10165250950353233,0.2302035201904723,0.090024450963014,0.4978088257825902,0.16525356670482072,0.6730187857027302,0.09912654285977807
