,CatBoost_YetiRank_Depth6_Base_Ranker,CatBoost_YetiRank_Depth6_Meta_Ranker,CatBoost_YetiRank_Depth10_Base_Ranker,CatBoost_YetiRank_Depth10_Meta_Ranker
gross_site_area_acres,21.765228321658835,9.039709504838514,25.884624605931013,11.400744437565942
delta_max_height_ft,1.1385238028566942,1.2363738084116578,1.795797798424534,1.1419966318500403
delta_max_far,2.239831219953484,1.8695312667621748,2.319370434262048,1.912029254542414
delta_max_bldg_cov_pct,9.03598298563429,4.970978561092014,6.80564696383035,5.248198202448354
delta_min_lot_sqft,0.4696954944388672,1.8773866916501716,0.4234758107232478,1.081762210305217
latitude,9.935669625169472,6.287182537528511,19.212758084336595,14.443280044579721
longitude,6.478117605170783,5.276781487849786,11.463864249789205,9.391465592116194
lui_land_use,0.0730542067938281,0.0006289619209578634,0.13772459321542163,0.01290683520300559
lui_shape_area,0.3529323157629177,0.10516751811834059,0.15378873019434935,0.04421914376648413
council_district_y,0.04297463797451563,0.11553643807827108,0.05875357871408166,0.15392886904176964
acs_median_age,0.09477990479596689,0.011695416532275271,0.11009901098295372,0.010432215335867528
acs_median_household_income,0.2473368617630695,0.01814106693730153,0.11032776971787168,0.005662845883409047
acs_owner_occupied_units,0.3632751376925934,0.08165310323462248,0.012838104247508569,0.02724302666216769
acs_renter_occupied_units,0.18007549506467682,0.012876050754472741,0.016780788883929438,0.003580449632857617
acs_vintage,0.240648020702634,0.016589305824170567,0.08746879781527493,0.012048731517666162
ldb_yr_built,0.11621705334399136,0.025119465709901007,0.061913207886187156,0.022626512204644077
ldb_imprv_sqft,1.050051665734265,0.0019278782443545184,0.3710488498382463,0.0064619406791657594
ldb_market_val,0.15905894405433615,0.008837527750578836,0.07517190723706654,0.028896556352357154
ldb_land_use,0.09080861978365029,0.04484750146149377,0.1019855009022227,0.016697395690784354
lui_land_use_tv,0.10640305366583083,0.009999316828238309,0.13604038630767457,0.03757484228450099
median_appraised_value,1.157915896078669,0.7384799507691683,0.631899774811051,0.8217825893530681
mean_appraised_value,1.3584737618624494,0.7052736704396376,1.0427435657921913,1.1226104888355186
std_appraised_value,21.069569100411815,11.600734956601293,14.236985034718547,8.00656569779985
median_sqft,6.4516525128260795,2.641185789344661,4.690934122039881,2.214233862995556
median_structure_age,2.778287473608144,1.3543382018816557,2.071210201793682,1.364881553366675
median_neighbor_acreage,0.8007979997067025,0.32608553302074533,0.7101207735309366,0.30697178467744846
median_neighbor_far,0.9627443661510773,1.5058797810369338,1.213245868715445,1.8763210015012126
owner_occupancy_share,1.8568129160392417,1.5600724747873524,1.768362895036256,1.0113801314302906
median_household_income,7.608433909584088,3.406127974578711,3.0606013292128265,2.370778374648875
renter_share,1.0501242150543413,0.6810407175304594,0.6321050237261628,0.6441359639738431
META_Probability_Discrete_Cliff,0.0,34.166265792275006,0.0,23.727690112867833
META_Regression_Continuous_Float,0.0,9.883207163369663,0.0,11.2117761199565
