,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive
gross_site_area_acres,25.445463506209553,13.275845537324166,20.25559609956958,14.678974814050791,23.53491319987046,14.106486459858186,25.362806127465802,16.099064619737337,21.89188057086642,15.14067043377473,24.45873646811971,13.002683259065165,18.340399853534457,15.382528146176485,25.64699011643269,16.61887418701245,16.304039020121046,9.72321061801056,19.751064101305694,13.334338019691513,18.48883933227611,7.037735637619019,18.310831172104546,10.192004746755075
delta_max_height_ft,1.1936885222368454,1.6643564379782185,0.8814591911311154,1.4533169307907081,1.5273381145392455,1.6546315668567864,0.8868291081078424,1.4236930700533919,0.46709121361276035,1.672432009407242,1.1871555697108092,1.6539409431595395,1.4567125176527878,1.5267076956617218,0.9412398014666881,1.5932468649531466,0.9550711352530047,1.4915197251609467,1.7738763487720415,0.8458723612736694,1.132309377431241,0.5450606438461023,1.6442958725744472,1.5194392816957345
delta_max_far,3.6666697419205434,4.186960980423588,3.5719530685604353,3.8597026128849796,3.9368659473135996,5.16409302075411,3.1436997008872667,4.432501156868933,2.2986209911158313,3.2291827162801607,2.4406819444657417,2.740201079567889,3.190775414441128,2.787271265307777,2.9770119519134544,2.4806172459645963,1.6420260892438605,3.2841308842261863,2.08387965148999,3.2845537001669873,1.8983354468320248,3.8685059810358515,2.317785534443026,2.432029535566996
delta_max_bldg_cov_pct,7.558380449773974,3.5177882065814696,4.825517950595228,2.0585097769355127,8.995136648804698,4.39567706932314,5.217992090920744,3.4784884083212884,8.970857404123556,4.494496016533591,5.074965534776018,3.271343180396803,6.878746808469568,4.527756677878008,3.774719861967398,3.3995214044381257,7.718509953972494,4.784670557566238,5.267109273676266,4.580435680316298,8.111645976431598,6.0590587941007765,7.252974482904379,4.591222513833651
delta_min_lot_sqft,1.813173837608287,1.163572371279058,0.2820325906142449,0.5011289277492158,1.3066140445960348,0.723242066993402,0.33773275802806074,0.6451671274927321,1.0912246523441242,0.6046376087075126,0.21715359730127445,0.3110478449462115,1.1322680819565576,0.3768695487793804,0.39979624141209846,0.6743667124497046,0.6179003478539614,0.5489172429308965,0.18754484525769463,0.7989655927823023,0.6205001727789534,1.2642488976020407,0.30900560100835295,0.8922810000442881
latitude,5.087317045790747,7.22560814081098,15.291657392192038,13.278889933163432,5.598006429481442,9.052190722188442,13.61197007835146,13.69952427461523,5.1197016236279165,7.248016653538383,11.616646684783833,13.937669478960684,6.467561156224007,8.387491012699215,8.83960985501124,8.419937989954205,6.512520973482766,6.461606476159831,8.164867506304022,9.782200275517553,4.013591238999813,6.217707261584588,7.281806891290063,7.950151617304319
longitude,4.627581286217749,7.790809658130121,13.569759327362377,13.257230502907769,3.7083974736595846,6.4885876939483955,10.440523134212002,10.87394427378891,4.119066287295572,6.726719579306763,11.76589476892422,11.503514588220057,4.740861945788547,7.343927291345334,10.215008608743997,10.476575675498696,5.261866697813737,7.679277137325223,9.90555600868015,9.526902698614455,4.6494750953193105,5.891657563594532,10.214633923025344,8.967669970615203
lui_land_use,0.29342964918751796,0.4191045236602551,0.21775563254987423,0.22207107190619413,0.039002428243972334,0.5052103149164788,0.1145156376281318,0.40999091350635997,0.11350295021153119,0.42845185224025856,0.14321243701724576,0.3081534282355692,0.018294720670646202,0.45022183473203625,0.0,0.39087313310455074,0.0,0.4359794808915089,0.11599318233502447,0.3212129684048854,0.0,0.4569131056096084,0.08608771042591278,0.3733585426190302
lui_shape_area,0.08494424260480342,0.3579805408185965,0.08210504206348712,0.1911426132831607,0.8922238878354241,0.460461450981143,0.16806229877704842,0.40247998886800496,0.32943598383339734,0.2371773647567106,0.18044486486664982,0.21030108069898262,0.3962347330713639,0.24824514862047414,0.33598037891313953,0.27937532773504753,0.8026360088079039,0.3528104719541096,0.5513892953613811,0.502531885090029,1.000204804143636,0.2550343112989744,0.9703515710232103,0.3290548860166446
nearby_GEOID,0.16525963978389677,0.7870234670445589,0.0,0.2348808205362565,0.0,0.2811418959678177,0.0,0.23363474832914,0.4516784345551925,0.5026508822820095,0.04484461019576838,0.25252701753697737,0.0,0.29228300667794443,0.05554875636999692,0.15060216929571876,0.0,0.28960822601944936,0.0,0.1712056933877363,0.0,0.4305141475427651,0.0,0.25295702202827847
acs_owner_occupied_units,1.2542725367036054,0.9514479503355511,0.010913536029285178,0.21925155554311115,0.9176913853990257,0.2674712142808855,0.030262263846099664,0.1707424871902363,0.6112819575461069,0.5483003409193077,0.04026699992841645,0.2510025117583649,0.9143350028301038,0.2348985451286274,0.12586892962524995,0.1341666940110671,0.3272480592151615,0.19641983738670526,0.054469786991418356,0.10743107895360068,0.21715938634366827,0.13160015969132952,0.0,0.05258090036346937
acs_renter_occupied_units,0.14742303688100789,0.4551076962543466,0.06492841349202387,0.01880866635774682,0.0,0.08866815479488063,0.0,0.06079892744644389,0.0,0.039939544356407716,0.0,0.02063483219447842,0.0,0.031206683438516146,0.05841379309124902,0.018180805529864143,0.6362823472814926,0.025807862188490297,0.21615141398498477,0.014335162671370881,0.09881086276162378,0.096191793951594,0.05166634116899866,0.04710614147360437
acs_vintage,0.2249855172499437,0.22797607939338732,0.0,0.0472809778752312,0.11115001262560552,0.07699240914518757,0.0,0.05152697427200848,0.0908164693567196,0.13884172880224951,0.005352836702674997,0.0623218491950401,0.5063651838030673,0.02193568141201921,0.0,0.009201407069357452,0.0,0.11612974061963176,0.0,0.038666208983690636,0.0,0.03789644391771418,0.0,0.03248687817270121
ldb_ilr,0.060509020855505344,0.4789234690750402,0.04341066760327988,0.03612506692087976,0.12175872335611083,0.1550848807125578,0.0,0.09431322718219548,0.556227817385949,0.5329993839348477,0.0,0.1138693603738875,0.2490683529839335,0.18639125832357945,0.018692396437441947,0.08366995943402651,1.0598874768323818,0.8083976349153442,0.16189786986875093,0.2029431956324541,0.3007520656676111,0.38078251053294354,0.00837265710061969,0.2095604385983736
ldb_imprv_sqft,0.0,0.2795001175891529,0.0,0.1418349828643722,0.0630378502729354,0.5480849241077075,0.059188379439616745,0.3391026324058126,0.12849164873960814,0.5564403009721078,0.0,0.2793489398150955,0.0,0.4665518851946585,0.1533391644102716,0.28551515481217,1.1532716314175997,0.4246827072804239,0.02681137959363818,0.31390741891546825,1.6916015671164737,0.5987390791852595,0.13128211142114085,0.3051364347027328
spatial_contagion_1yr,1.4588373158963337,0.8645188801770669,1.6213383463203612,0.9313823325259988,2.366901184597575,2.3039577436743572,2.011919182222393,2.241020668955262,3.459414373774085,1.1437607320917536,1.477225140549447,1.637536222581367,3.4949899132821525,1.0010859377846812,1.8751194206941495,1.216592900680137,4.051988146721492,1.1402894909447732,2.2373852359084023,0.6894904452268616,3.5816441060501596,0.9660685927974743,2.564887262906297,1.1568360137642861
spatial_contagion_3yr,1.6469056853916955,2.625671568207492,3.065141205468554,4.201913360926299,1.8800973881858942,1.7030739925367016,2.7941377659308877,2.535782158353093,1.5655965447042504,2.505926653522301,3.154089289262306,2.8193289314404417,3.027031382650485,2.07841603980776,1.9804112443139312,3.3216686805413604,2.794397979689587,1.8711325469728657,3.622952307940837,3.869976031294653,1.4348703124890603,2.6774629894459325,2.745275825243152,3.294558194961593
median_appraised_value,10.639350068562088,3.44209545190117,4.9319735916565035,4.484604822823068,6.572433592612755,2.4537331408245255,3.628911751814233,2.4314571915273078,3.406262462660295,1.8705266729183692,2.4131006212244266,1.584787261036153,4.249564270659304,3.7187463353925656,1.7820417714462597,2.744462585741599,3.048002141017521,2.6490425334063796,2.726033929462908,2.9891479230322258,2.900127833954537,1.8581500045227315,2.354036068519693,1.8916539789634983
mean_appraised_value,0.7507019930995357,0.8670233178307402,0.2829406970606548,1.0179518945591597,1.80726805318052,1.9931251809589643,0.15213955146858557,0.8005231096223225,7.054931050184998,1.9819096552587931,1.2350675816057652,1.1617727108634772,2.6819573646503545,1.7325508870046635,2.24430365419885,1.7997714216357652,5.338514317953176,1.7893619467099058,3.923854282936738,1.5635349982614777,11.545265060841137,3.1052849934382976,4.673331117466638,1.2853878214804342
std_appraised_value,0.4491971519283939,0.590128437102633,0.3265310140765823,0.21303376170983632,0.9813021077795272,0.9555360018905578,0.1255579085434693,0.4456884945076568,0.4139613595214411,0.6205688254538207,0.19489917023974426,0.4423802732533267,0.1387143946434604,0.6641836671042167,0.45910517625129066,0.9244780683925818,1.4427847234027795,2.5360110157921465,0.957174449887982,1.5858261246376466,1.169070920932763,1.4648091137354575,1.252081157093048,1.013300275661037
median_sqft,1.7506142143392776,1.5077446221136765,1.3532859960633479,1.0193601032044852,2.4226084534377113,0.8601803729844207,3.848730321108257,0.5328649409577546,1.6541493097295565,0.8665196375502969,2.070403216378253,1.2640904486900273,1.0019617802064764,1.105328167275678,1.105715666977813,1.0880413274260214,0.4206817453172736,2.058665577921653,0.874094670067469,0.5032136370839568,0.283986492485678,0.8141232799532888,0.617125382780081,0.9039990542390799
median_structure_age,2.377479595775456,0.7230619339392094,0.6109663334312277,0.663883337394571,1.5421819838608304,1.5620767621043596,1.774417744669387,0.8868856817069513,2.2400354288513267,1.5426694005101158,1.5571296104778156,2.0685515526479166,4.714147235551561,2.3424725926269874,2.060357456520163,1.4312808752374946,1.5094448651696906,4.017105751871345,2.7144403575616285,2.050500098617971,1.7939892103872788,2.6397593920161864,1.3970513497546597,1.7892153063572287
median_neighbor_far,2.3936754144516548,6.929646950657537,1.615904643849441,4.565939421535949,2.219860471603403,5.744528557654751,1.1989314671012614,4.6830882780630825,1.3706561631558627,2.2998863782111725,0.7864231543025657,2.0956156517531936,1.454503945105148,2.4238871070497656,0.6225716104868029,2.936821502789306,2.207454532148386,1.9342507680785954,1.822599356097206,2.061291169767242,1.5120127291790177,5.995045530426046,2.8933885735995983,6.891594972258189
