CASE_NUMBER,has_transcribed_opposition,prob_frame_traffic,prob_frame_infrastructure,prob_frame_displacement,prob_frame_neighborhood,prob_frame_procedural
C14-2018-0002,0,0.49851639981765195,0.45509026653292856,0.5129618842634226,0.29056229610288126,0.22839838761516282
C14-2018-0017,0,0.45349737782128424,0.4038455203064573,0.45120864010850686,0.29373479688011156,0.25714069842030174
C814-2009-0094,0,0.5872125465246455,0.491386321372462,0.4241442102241126,0.3951427301626002,0.5271675403093949
C14-2016-0077,0,0.4963735014589819,0.5964840444464061,0.40325859363131705,0.43321544173311094,0.475120893759144
C14-2014-0085,0,0.5898373998664217,0.6137504321711389,0.42948169739543235,0.4248249217337014,0.49975185584591836
NPA-2012-0021.01,0,0.4481594946891855,0.38523686802018847,0.3800277287233305,0.37348978582765413,0.43131841260580756
C14-2018-0064,0,0.443881104524817,0.43943058210355,0.5422632487539072,0.2884665504470888,0.22544575974591316
C14-2016-0106,0,0.3365147418524926,0.3817972731656132,0.3720557616043447,0.4835309454244472,0.3651621962818965
C14-2013-0149,0,0.3979573716212476,0.5012590209895482,0.4646441359815433,0.5551797056600526,0.385342355862067
C14-2010-0135,0,0.3659537097023858,0.5243352133000245,0.3450386249091102,0.34468523877504553,0.35433701267466694
C14H-2010-0016,0,0.33284933466003974,0.38241818620600865,0.5575360487037464,0.6076643895350244,0.34827619544461874
C14-2014-0099,0,0.53654818724726,0.6385397075227931,0.4249466587979037,0.422917485134354,0.5084626725412588
C14H-2018-0105,0,0.46392149085996537,0.40763342312387474,0.41605616504748755,0.4320041422440671,0.4232510801027398
C14-2015-0127,0,0.3186736983409629,0.5285497262532468,0.5059388134777362,0.6747131793818081,0.3313398610876454
C14-2012-0165,0,0.3347167650512617,0.4442196451062028,0.436145195846892,0.5571181255620604,0.33581039324949397
NPA-2016-0016.02,0,0.3332820623513198,0.35877644673495745,0.6513916582102114,0.6133237171964454,0.30996303278742116
C14H-2017-0082,0,0.39406667888740493,0.35782145891494654,0.3768150430484394,0.46930521611864057,0.3818687646582165
