CASE_NUMBER,neighbor_tcad_id
C14-2008-0131,0252162002
C14-2008-0131,0252162003
C14-2008-0131,0252162005
C14-2008-0131,0252162007
C14-2008-0131,0252181411
C14-2008-0131,0252181412
C14-2008-0131,0252181413
C14-2008-0131,0252181414
C14-2008-0131,0252181415
C14-2008-0131,0252181416
C14-2008-0131,0252181801
C14-2008-0131,0252181802
C14-2008-0131,0252181803
C14-2008-0131,0250181801
C14-2008-0131,0252162006
C14-2008-0131,0248180202
C14-2008-0151,0164010946
C14-2008-0151,0164010947
C14-2008-0151,0164010948
C14-2008-0151,0164010950
C14-2008-0166,0209060502
C14-2008-0166,0209060503
C14-2008-0166,0209060504
C14-2008-0166,0209060506
C14-2008-0166,0209060507
C14-2008-0166,0209060509
C14-2008-0166,0209060606
C14-2008-0166,0209060607
C14-2008-0166,0209061001
C14-2008-0166,0209061010
C14-2008-0166,0209061011
C14-2008-0166,0209061013
C14-2008-0175,0222140234
C14-2008-0184,0114050627
C14-2008-0184,0114050630
C14-2008-0184,0114050631
C14-2008-0184,0114050632
C14-2008-0184,0114050801
C14-2008-0184,0114050804
C14-2008-0184,0114050805
C14-2008-0184,0115060809
C14-2008-0184,0115060810
C14-2008-0184,0115061107
C14-2008-0223,0218031504
C14-2008-0223,0218031505
C14-2008-0223,0218031509
C14-2008-0223,0218031512
C14-2008-0223,0218031521
C14-2008-0247,0202081004
C14-2008-0247,0202081005
C14-2008-0247,0202081503
C14-2008-0247,0202081509
C14-2008-0247,0202081511
C14-2009-0028,0409050605
C14-2009-0028,0409050610
C14-2009-0028,0409050618
C14-2009-0028,0409050704
C14-2009-0028,0409050705
C14-2009-0028,0409050706
C14-2009-0028,0409050707
C14-2009-0028,0409050710
C14-2009-0028,0409050711
C14-2009-0028,0409050713
C14-2009-0028,0411050102
C14-2009-0031,0415080309
C14-2009-0031,0415080310
C14-2009-0031,0416090102
C14-2009-0031,0416090210
C14-2009-0077,0129040504
C14-2009-0168,0151370436
C14-2010-0077,0409120422
C14-2010-0077,0409120423
C14-2010-0077,0410111804
C14-2010-0077,0410111819
C14-2010-0077,0410111821
C14-2010-0077,0410111822
C14-2010-0077,0410111823
C14-2010-0077,0410111824
C14-2010-0077,0410112120
C14-2010-0122,0401070613
C14-2010-0122,0401070614
C14-2010-0122,0401070615
C14-2010-0199,0424070206
C14-2010-0199,0424070211
C14-2010-0199,0424070229
C14-2010-0199,0424070225
C14-2010-0206,0211010709
C14-2010-0206,0211010710
C14-2010-0206,0211010712
C14H-2010-0006,0108010625
C14H-2010-0006,0108010405
C14H-2010-0006,0109010401
C14H-2010-0006,0108010509
C14H-2010-0006,0108010650
C14H-2010-0006,0108010626
C14H-2010-0006,0109010425
C14H-2010-0006,0108010511
C14H-2010-0006,0108031707
C14H-2010-0006,0108010510
C14H-2010-0006,0108010605
C14H-2010-0006,0108010506
C14H-2010-0006,0108031538
C14H-2010-0006,0108031535
C14H-2010-0006,0108010401
C14H-2010-0006,0108010507
C14H-2010-0006,0108010604
C14H-2010-0006,0108010603
C14H-2010-0006,0109010402
C14H-2010-0006,0108031705
C14H-2010-0006,0109010426
C14H-2010-0006,0108031525
C14H-2010-0006,0108031524
C14H-2010-0006,0108010501
C14H-2010-0006,0108031527
C14H-2010-0006,0108031706
C14H-2010-0006,0108010623
C14H-2010-0006,0108010503
C14H-2010-0006,0108031526
C14H-2010-0006,0109010110
C14H-2010-0006,0109010108
C14H-2010-0006,0109010403
C14H-2010-0006,0108010601
C14H-2010-0006,0108010502
C14H-2010-0006,0108031521
C14H-2010-0006,0109010107
C14H-2010-0006,0109010111
C14H-2010-0006,0108010405
C14H-2010-0006,0108010507
C14H-2010-0006,0108010601
C14H-2010-0006,0108010604
C14H-2010-0006,0108010605
C14H-2010-0006,0108010625
C14H-2010-0006,0108010650
C14H-2010-0006,0108010651
C14H-2010-0006,0108010652
C14H-2010-0006,0108010904
C14H-2010-0006,0109010104
C14H-2010-0006,0109010105
C14H-2010-0006,0109010106
C14H-2010-0006,0109010107
C14H-2010-0006,0109010108
C14H-2010-0006,0109010206
C14H-2010-0006,0109010209
C14H-2010-0006,0109010212
C14H-2010-0006,0109010314
C14H-2010-0006,0109010315
C14H-2010-0006,0109010316
C14H-2010-0006,0109010405
C14H-2010-0006,0109010407
C14H-2010-0006,0109010409
C14H-2010-0006,0109010410
C14H-2010-0006,0109010411
C14H-2010-0006,0109010413
C14H-2010-0006,0109010415
C14H-2010-0006,0109010416
C14H-2010-0006,0109010418
C14H-2010-0006,0109010419
C14H-2010-0006,0109010421
C14H-2010-0006,0109010422
C14H-2010-0006,0109010423
C14H-2010-0006,0109010424
C14H-2010-0006,0109010501
C14H-2010-0006,0109010510
C14H-2010-0006,0109010517
C14H-2010-0006,0109010518
C14H-2010-0006,0109010519
C14H-2010-0006,0109010601
C14H-2010-0006,0109010604
C14H-2010-0006,0109010606
C14H-2010-0006,0109010611
C14H-2010-0006,0109010616
C14H-2010-0006,0109010617
C14H-2010-0006,0109010704
C14H-2010-0006,0109010706
C14H-2010-0006,0109010707
C14H-2010-0006,0109010708
C14H-2010-0006,0109010719
C14H-2010-0006,0109010726
C14H-2010-0006,0109010803
C14H-2010-0006,0109010804
C14H-2010-0006,0109010805
C14H-2010-0006,0109010806
C14H-2010-0006,0109010807
C14H-2010-0006,0110011302
C14H-2010-0006,0110011303
C14H-2010-0006,0109010210
C14H-2010-0006,0109010503
C14H-2010-0006,0109010618
C14H-2010-0019,0220060908
C14H-2010-0019,0220060505
C14H-2010-0019,0220061510
C14H-2010-0019,0220060408
C14H-2010-0019,0218060104
C14H-2010-0019,0219050511
C14H-2010-0019,0220061113
C14H-2010-0019,0221051018
C14H-2010-0019,0220060709
C14H-2010-0019,0218060610
C14H-2010-0019,0221050911
C14H-2010-0019,0219051110
C14H-2010-0019,0220060403
C14H-2010-0019,0219050303
C14H-2010-0019,0221050114
C14H-2010-0019,0221050115
C14H-2010-0019,0218060612
C14H-2010-0019,0219050813
C14H-2010-0019,0221051305
C14H-2010-0019,0220060108
C14H-2010-0019,0220060706
C14H-2010-0019,0219051011
C14H-2010-0019,0218060303
C14H-2010-0019,0220061301
C14H-2010-0019,0220061302
C14H-2010-0019,0218061101
C14H-2010-0019,0221050503
C14H-2010-0019,0220061118
C14H-2010-0019,0218060210
C14H-2010-0019,0220061410
C14H-2010-0019,0219060904
C14H-2010-0019,0221051011
C14H-2010-0019,0219060407
C14H-2010-0019,0220061506
C14H-2010-0019,0219060411
C14H-2010-0019,0220060201
C14H-2010-0019,0221051310
C14H-2010-0019,0221051517
C14H-2010-0019,0218060215
C14H-2010-0019,0218060308
C14H-2010-0019,0218060103
C14H-2010-0019,0220061006
C14H-2010-0019,0220061010
C14H-2010-0019,0220061012
C14H-2010-0019,0221050513
C14H-2010-0019,0220060111
C14H-2010-0019,0218060207
C14H-2010-0019,0219060402
C14H-2010-0019,0219050904
C14H-2010-0019,0221051611
C14H-2010-0019,0219050815
C14H-2010-0019,0220060515
C14H-2010-0019,0220061201
C14H-2010-0019,0220060810
C14H-2010-0019,0220060811
C14H-2010-0019,0220060701
C14H-2010-0019,0220061601
C14H-2010-0019,0221051512
C14H-2010-0019,0219050514
C14H-2010-0019,0220060112
C14H-2010-0019,0220060711
C14H-2010-0019,0221051308
C14H-2010-0019,0220060409
C14H-2010-0019,0221050510
C14H-2010-0019,0220080211
C14H-2010-0019,0218060606
C14H-2010-0019,0220080105
C14H-2010-0019,0220060712
C14H-2010-0019,0220061114
C14H-2010-0019,0220080315
C14H-2010-0019,0220061013
C14H-2010-0019,0220061110
C14H-2010-0019,0221051301
C14H-2010-0019,0219060821
C14H-2010-0019,0219060822
C14H-2010-0019,0220061306
C14H-2010-0019,0221051410
C14H-2010-0019,0219051105
C14H-2010-0019,0219050906
C14H-2010-0019,0220060415
C14H-2010-0019,0221051608
C14H-2010-0019,0220060513
C14H-2010-0019,0220080104
C14H-2010-0019,0221051504
C14H-2010-0019,0218060202
C14H-2010-0019,0218060203
C14H-2010-0019,0221051311
C14H-2010-0019,0221051313
C14H-2010-0019,0220060611
C14H-2010-0019,0219050518
C14H-2010-0019,0219061012
C14H-2010-0019,0221050904
C14H-2010-0019,0219051012
C14H-2010-0019,0220061312
C14H-2010-0019,0220060412
C14H-2010-0019,0220061109
C14H-2010-0019,0218060411
C14H-2010-0019,0219061003
C14H-2010-0019,0219061007
C14H-2010-0019,0221051409
C14H-2010-0019,0218060113
C14H-2010-0019,0220061305
C14H-2010-0019,0219051013
C14H-2010-0019,0220080107
C14H-2010-0019,0219050905
C14H-2010-0019,0218060304
C14H-2010-0019,0219050519
C14H-2010-0019,0220080101
C14H-2010-0019,0221050514
C14H-2010-0019,0220061102
C14H-2010-0019,0219050805
C14H-2010-0019,0220060404
C14H-2010-0019,0219060807
C14H-2010-0019,0218060105
C14H-2010-0019,0219060512
C14H-2010-0019,0220060411
C14H-2010-0019,0218060208
C14H-2010-0019,0220061308
C14H-2010-0019,0221050914
C14H-2010-0019,0220061307
C14H-2010-0019,0219061011
C14H-2010-0019,0220060710
C14H-2010-0019,0221051412
C14H-2010-0019,0219060710
C14H-2010-0019,0219060708
C14H-2010-0019,0219050814
C14H-2010-0019,0219061001
C14H-2010-0019,0219060502
C14H-2010-0019,0219051015
C14H-2010-0019,0219060711
C14H-2010-0019,0219061013
C14H-2010-0019,0219060306
C14H-2010-0019,0219060308
C14H-2010-0019,0219060302
C14H-2010-0019,0219051014
C14H-2010-0019,0219051016
C14H-2010-0019,0219060902
C14H-2010-0019,0219060818
C14H-2010-0019,0219060819
C14H-2010-0019,0219060305
C14H-2010-0019,0219060413
C14H-2010-0019,0219060702
C14H-2010-0019,0218060209
C14H-2010-0019,0220080313
C14H-2010-0019,0221051511
C14H-2010-0019,0221050616
C14H-2010-0019,0220060913
C14H-2010-0019,0220060102
C14H-2010-0019,0218060106
C14H-2010-0019,0218060408
C14H-2010-0019,0219060814
C14H-2010-0019,0220060204
C14H-2010-0019,0219051101
C14H-2010-0019,0220080401
C14H-2010-0019,0220061004
C14H-2010-0019,0221051501
C14H-2010-0019,0221051503
C14H-2010-0019,0220080213
C14H-2010-0019,0218060102
C14H-2010-0019,0219060805
C14H-2010-0019,0221050602
C14H-2010-0019,0220080110
C14H-2010-0019,0220060514
C14H-2010-0019,0218060616
C14H-2010-0019,0221051114
C14H-2010-0019,0220060202
C14H-2010-0019,0218060301
C14H-2010-0019,0220080307
C14H-2010-0019,0220061115
C14H-2010-0019,0221051407
C14H-2010-0019,0221051306
C14H-2010-0019,0220061101
C14H-2010-0019,0218060107
C14H-2010-0019,0221050509
C14H-2010-0019,0221051507
C14H-2010-0019,0221051508
C14H-2010-0019,0220060607
C14H-2010-0019,0220060608
C14H-2010-0019,0219060905
C14H-2010-0019,0219060906
C14H-2010-0019,0219060509
C14H-2010-0019,0221050610
C14H-2010-0019,0220080214
C14H-2010-0019,0220060311
C14H-2010-0019,0221051304
C14H-2010-0019,0220080112
C14H-2010-0019,0220061313
C14H-2010-0019,0219050908
C14H-2010-0019,0218060114
C14H-2010-0019,0221051403
C14H-2010-0019,0220061117
C14H-2010-0019,0220060612
C14H-2010-0019,0221051113
C14H-2010-0019,0221051102
C14H-2010-0019,0219060707
C14H-2010-0019,0220060105
