Test_Year,Horizon,Model,Model_Family,ROC_AUC,PR_AUC,Naive_PR_AUC,Train_Samples,Test_Samples
2022,2_Years,CatBoost,Tree,0.6871584699453552,0.0007551733348030508,0.004654917542958389,190766,6224
2022,2_Years,RandomForest,Tree,0.8540662166505946,0.0016008044042131171,0.004654917542958389,190766,6224
2022,2_Years,LogisticL2,Linear,0.9423015107682418,0.004051414283481794,0.004654917542958389,190766,6224
2022,2_Years,LogisticL1,Linear,0.3715043394406943,0.00032133676092544985,0.004654917542958389,190766,6224
2022,2_Years,Linear,Linear,0.9433461909353905,0.004124388641506679,0.004654917542958389,190766,6224
2022,2_Years,MLP,Deep,0.26671488267438126,0.00032133676092544985,0.004654917542958389,190766,6224
2022,2_Years,LSTM,Deep,0.7522500803600128,0.0009500431187178175,0.004654917542958389,190766,6224
2023,1_Year,CatBoost,Tree,0.2930028913672036,0.001813543907700659,0.004289557845575918,196990,6743
2023,1_Year,RandomForest,Tree,0.31403139198678237,0.0023180201335781738,0.004289557845575918,196990,6743
2023,1_Year,LogisticL2,Linear,0.7903841387856256,0.015592848456895504,0.004289557845575918,196990,6743
2023,1_Year,LogisticL1,Linear,0.8665510119785212,0.011082047782219925,0.004289557845575918,196990,6743
2023,1_Year,Linear,Linear,0.7907971912432878,0.015693829050078163,0.004289557845575918,196990,6743
2023,1_Year,MLP,Deep,0.671908302354399,0.006900183899105405,0.004289557845575918,196990,6743
2023,1_Year,LSTM,Deep,0.6153655514250309,0.003933468380046238,0.004289557845575918,196990,6743
2023,2_Years,CatBoost,Tree,0.5940573133368967,0.01654524414487462,0.00451799583735215,196990,6743
2023,2_Years,RandomForest,Tree,0.5587596200537291,0.017762613815767273,0.00451799583735215,196990,6743
2023,2_Years,LogisticL2,Linear,0.8111727120603945,0.04792764451362281,0.00451799583735215,196990,6743
2023,2_Years,LogisticL1,Linear,0.65337238996545,0.017709332740606983,0.00451799583735215,196990,6743
2023,2_Years,Linear,Linear,0.8114137592532428,0.04808650848967555,0.00451799583735215,196990,6743
2023,2_Years,MLP,Deep,0.7225267335310618,0.030723286742712113,0.00451799583735215,196990,6743
2023,2_Years,LSTM,Deep,0.649573276599907,0.018532726667452135,0.00451799583735215,196990,6743
2024,14_Days,CatBoost,Tree,0.5536056480080687,0.001627860169315698,0.00038285402953866087,203733,7942
2024,14_Days,RandomForest,Tree,0.4962808875441251,0.0012591286829513977,0.00038285402953866087,203733,7942
2024,14_Days,LogisticL2,Linear,0.4622541603630862,0.0013957148223287055,0.00038285402953866087,203733,7942
2024,14_Days,LogisticL1,Linear,0.6974533535047907,0.002160170913847725,0.00038285402953866087,203733,7942
2024,14_Days,Linear,Linear,0.4641704488149268,0.0014085991320327814,0.00038285402953866087,203733,7942
2024,14_Days,MLP,Deep,0.5442196167423097,0.0019860106099031153,0.00038285402953866087,203733,7942
2024,14_Days,LSTM,Deep,0.7122667675239537,0.005972987497310037,0.00038285402953866087,203733,7942
2024,3_Months,CatBoost,Tree,0.5621796498350673,0.012626824586655469,0.0021253307024389767,203733,7942
2024,3_Months,RandomForest,Tree,0.6547481603653894,0.016534403562377106,0.0021253307024389767,203733,7942
2024,3_Months,LogisticL2,Linear,0.560610674109786,0.008265465536189256,0.0021253307024389767,203733,7942
2024,3_Months,LogisticL1,Linear,0.5853336716569398,0.009486673363841512,0.0021253307024389767,203733,7942
2024,3_Months,Linear,Linear,0.5586631988496997,0.008213736427499847,0.0021253307024389767,203733,7942
2024,3_Months,MLP,Deep,0.5776928444557219,0.008599323632143264,0.0021253307024389767,203733,7942
2024,3_Months,LSTM,Deep,0.5045504525078237,0.007266848619831056,0.0021253307024389767,203733,7942
2024,6_Months,CatBoost,Tree,0.5543584334782238,0.019315823097879124,0.00341132757088935,203733,7942
2024,6_Months,RandomForest,Tree,0.6046434202676211,0.019969492507001266,0.00341132757088935,203733,7942
2024,6_Months,LogisticL2,Linear,0.5109445580840366,0.014355909585191475,0.00341132757088935,203733,7942
