iter	Logloss
0	0.1879994382
1	0.07659122736
2	0.05862541153
3	0.05121219229
4	0.04770621205
5	0.04185374179
6	0.04088181891
7	0.03800237421
8	0.03655162023
9	0.03641551028
10	0.03568986097
11	0.03547253945
12	0.03539162867
13	0.03460170605
14	0.03439006099
15	0.03425013634
16	0.03420534897
17	0.03372824748
18	0.03351650671
19	0.03332190474
20	0.03318081107
21	0.03305312126
22	0.03283979446
23	0.0318236858
24	0.03174396911
25	0.03156104139
26	0.03152794194
27	0.03145013944
28	0.03136746715
29	0.03112904174
30	0.030856676
31	0.03044806131
32	0.03042273482
33	0.02962305668
34	0.02960391711
35	0.02941885416
36	0.02926707524
37	0.02905439789
38	0.02900921857
39	0.02899320322
40	0.02871357269
41	0.02782242386
42	0.02738332805
43	0.02726967104
44	0.02708135625
45	0.02700839846
46	0.02699022737
47	0.02627273159
48	0.02625421868
49	0.02622530309
