,CatBoost_YetiRank_Depth6_Base_Ranker,CatBoost_YetiRank_Depth6_Meta_Ranker,CatBoost_YetiRank_Depth10_Base_Ranker,CatBoost_YetiRank_Depth10_Meta_Ranker
gross_site_area_acres,19.813184746791183,8.067333871025955,25.74283899426075,10.216103011811288
delta_max_height_ft,1.0466686168700527,1.6006399734254075,1.0622542716135464,0.7146822514804722
delta_max_far,2.2232315632810766,1.5824595716023964,1.446027353804278,1.9269285676023447
delta_max_bldg_cov_pct,9.153906208114291,4.100398639534372,6.399212789245884,4.203030578424944
delta_min_lot_sqft,0.3863489258893938,2.4815001375071457,0.5785226328346572,1.322683739008172
latitude,9.74337731367231,4.708008188504021,18.68211535462423,15.643941025726523
longitude,5.413293309723875,4.025144164869468,13.214730321059115,10.851922978476921
lui_land_use,0.04112290363885766,0.0,0.15498075484224558,0.0
lui_shape_area,0.13405878539326685,0.1345651967027193,0.05877532469546613,0.07798043068805302
council_district_y,0.018576488780281696,0.2153717223479358,0.09621372129551997,0.2664950986441988
acs_total_population,0.10408596462743608,0.0,0.0,0.0
acs_race_hispanic,0.16369967503302438,0.0,0.04473543455564489,0.0
acs_median_household_income,0.4111306905129926,0.03994738338035008,0.21336554603213617,0.0
acs_owner_occupied_units,0.8035633589630405,0.0334473225247257,0.007281528817029221,0.0
acs_renter_occupied_units,0.171610372064603,0.03789952654760225,0.0,0.0
acs_vintage,0.28244769948379456,0.0,0.11843526444833985,0.014545967282812032
ldb_council_district,0.0,0.20153205959734924,0.009461243158044572,0.02925954484609339
ldb_far,0.0,0.0,0.10067523359749318,0.002349164912825606
ldb_yr_built,0.1317796143516219,0.05367426375662477,0.04450548509691574,0.0
ldb_land_acres,0.0073196077756625625,0.0,0.1401703027304632,0.0
ldb_imprv_sqft,0.44215755611664964,0.0,0.13246956792734382,0.0
ldb_appraised_val,0.10065326242075982,0.0,0.02982258867649259,0.04101661270054164
ldb_market_val,0.28531565493206856,0.0,0.07014673885688814,0.02613566719134477
ldb_constrained_area,0.3226787153538583,0.0,0.0,0.0
lui_land_use_tv,0.12581658974423318,0.0,0.24564317963282462,0.06294407947573123
median_appraised_value,1.4853187885695904,0.23605882053722915,0.601404520538531,0.4518085003653482
mean_appraised_value,1.717272970015587,0.3295688394443151,0.30097317617586206,0.6182618533798738
std_appraised_value,23.56352756851644,11.878332183723085,19.9022009781913,8.052124330017973
median_sqft,6.327183509496341,1.930902259872385,2.547036282411387,1.970242094528634
median_structure_age,3.0503118122155226,2.412750556530261,1.6360135552845558,2.4778776723185865
median_neighbor_acreage,0.21283018200485013,0.0,0.0,0.0
median_neighbor_far,0.2634308383321111,1.097513172310574,0.21896637819920736,2.413984593608449
owner_occupancy_share,2.3509647295072504,3.4946442572005085,2.2003320775493935,2.043097131237474
median_household_income,7.147423844779011,2.9204201987722302,3.1095917935317123,1.8599402153134448
renter_share,2.2739301536965693,0.8217871333247652,0.6654237827908565,0.9273615093020098
META_Probability_Discrete_Cliff,0.0,37.707145782217985,0.0,22.782384446985027
META_Regression_Continuous_Float,0.0,9.672159640581377,0.0,10.746290421927636
