,CatBoost_YetiRank_Depth6_Base_Ranker,CatBoost_YetiRank_Depth6_Meta_Ranker,CatBoost_YetiRank_Depth10_Base_Ranker,CatBoost_YetiRank_Depth10_Meta_Ranker
gross_site_area_acres,26.405935513541976,9.80675860426711,29.31604701774529,13.75982964411723
delta_max_height_ft,0.8204172101513694,1.9649872310453766,2.2346474752741674,1.8777478508146053
delta_max_far,1.8271108228248627,1.8038560150093534,2.5173969611904283,1.9892942779053475
delta_max_bldg_cov_pct,9.118855662386583,5.8702210240434844,6.479018718733358,5.972900578416981
delta_min_lot_sqft,0.8174872743576679,1.7515830524134075,0.3333070503575963,0.6562252937386894
latitude,11.79913653100755,5.230126545639329,20.199024496463807,14.428118881929572
longitude,6.509511906953512,7.047381913458387,10.03074879832642,10.29576133151794
lui_land_use,0.0,0.0,0.21572769711934395,0.0
lui_general_land_use,0.0,0.0,0.16542569646480243,0.062191016249542166
lui_shape_area,0.30583594896081706,0.006079163214478109,0.10705457887709537,0.052473189629142776
council_district_y,0.0,0.15191604310531676,0.06973826385239447,0.018112181520772725
nearby_GEOID,0.0,0.12481034659448875,0.07644431913169895,0.0
zoning_case_GEOID,0.02109874730460497,0.033431219640258775,0.08226829147033564,0.10330680028842758
acs_median_household_income,0.2575245031637029,0.0,0.10398371977393066,0.0
acs_owner_occupied_units,0.13630871710185935,0.0,0.008559981853831783,0.0
acs_vintage,0.47702382605738286,0.0,0.19336009442729032,0.0
ldb_imprv_sqft,1.2719365703276209,0.0,0.5212729138078032,0.0
ldb_market_val,0.11319222662555099,0.0,0.08771627217194282,0.03146036906397264
lui_land_use_tv,0.17430067848770728,0.0,0.0753743008368269,0.03842260311125068
median_appraised_value,0.9137169000991028,0.6756620405661826,1.2087753692442587,0.8803445555804215
mean_appraised_value,0.30898239706446473,1.428714852863719,0.848384639126454,1.2842859816422267
std_appraised_value,18.501086101178483,9.401591198682741,12.700908449000064,5.669655336517218
median_sqft,9.523502086174986,3.0028965089886346,6.270925819478307,2.9773565157500594
median_structure_age,2.158807098736409,1.2315124409660012,1.5450256570006042,1.3709654729086187
median_neighbor_far,0.9575558013808071,1.4155004080268108,0.7225310416680145,1.0403439953161964
owner_occupancy_share,2.4049755926361613,0.8844685943496136,1.3367150212638517,0.8178502090676745
median_household_income,4.392312544360634,2.694897741782198,1.648303954570332,1.709033375279378
renter_share,0.18725197887195916,0.7388254625131482,0.437891388588244,0.4866941216226942
META_Probability_Discrete_Cliff,0.0,34.0144597530991,0.0,23.155159678522885
META_Regression_Continuous_Float,0.0,10.547610928022833,0.0,11.247446174607392
