Seed,Anchor,Offset,Architecture,Topology,Score
42,2020,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2021,1,CatBoost YetiRank Depth6,Base LTR,0.30725691603400307
42,2021,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3146167240858233
42,2021,2,CatBoost YetiRank Depth6,Base LTR,0.736407519459612
42,2021,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6276952050185699
42,2021,3,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
42,2021,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9667470468041046
42,2021,4,CatBoost YetiRank Depth6,Base LTR,0.0
42,2021,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2021,5,CatBoost YetiRank Depth6,Base LTR,0.0
42,2021,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2021,1,CatBoost YetiRank Depth10,Base LTR,0.34025081292628245
42,2021,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.3063567546293766
42,2021,2,CatBoost YetiRank Depth10,Base LTR,0.552398323113564
42,2021,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5518723962453407
42,2021,3,CatBoost YetiRank Depth10,Base LTR,0.8192757378404147
42,2021,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9953687156174393
42,2021,4,CatBoost YetiRank Depth10,Base LTR,0.0
42,2021,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2021,5,CatBoost YetiRank Depth10,Base LTR,0.0
42,2021,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2022,1,CatBoost YetiRank Depth6,Base LTR,0.7199627666257056
42,2022,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6441399578524764
42,2022,2,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
42,2022,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.8694509009854676
42,2022,3,CatBoost YetiRank Depth6,Base LTR,0.0
42,2022,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2022,4,CatBoost YetiRank Depth6,Base LTR,0.0
42,2022,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2022,1,CatBoost YetiRank Depth10,Base LTR,0.6441399578524764
42,2022,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.6822863639920042
42,2022,2,CatBoost YetiRank Depth10,Base LTR,0.9780669352225935
42,2022,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.8393407179624802
42,2022,3,CatBoost YetiRank Depth10,Base LTR,0.0
42,2022,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2022,4,CatBoost YetiRank Depth10,Base LTR,0.0
42,2022,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2023,1,CatBoost YetiRank Depth6,Base LTR,0.9621157624215441
42,2023,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9490314953137005
42,2023,2,CatBoost YetiRank Depth6,Base LTR,0.0
42,2023,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2023,3,CatBoost YetiRank Depth6,Base LTR,0.0
42,2023,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2023,1,CatBoost YetiRank Depth10,Base LTR,0.9953687156174393
42,2023,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.940284484114084
42,2023,2,CatBoost YetiRank Depth10,Base LTR,0.0
42,2023,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2023,3,CatBoost YetiRank Depth10,Base LTR,0.0
42,2023,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2018,1,CatBoost YetiRank Depth6,Base LTR,0.6850449179742518
117,2018,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.7117751569310157
117,2018,2,CatBoost YetiRank Depth6,Base LTR,0.5904054600886932
117,2018,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5915031986113775
117,2018,3,CatBoost YetiRank Depth6,Base LTR,0.5233609220132238
117,2018,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.567730029592221
117,2018,4,CatBoost YetiRank Depth6,Base LTR,0.37490680644771546
117,2018,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.38663585830451247
117,2018,5,CatBoost YetiRank Depth6,Base LTR,0.6276952050185699
117,2018,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5518723962453407
117,2018,6,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
117,2018,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9667470468041046
117,2018,1,CatBoost YetiRank Depth10,Base LTR,0.7043243987074163
117,2018,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.6925979981171307
117,2018,2,CatBoost YetiRank Depth10,Base LTR,0.582339176857193
117,2018,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.6158942114948607
117,2018,3,CatBoost YetiRank Depth10,Base LTR,0.47142131657634306
117,2018,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5424760768157106
117,2018,4,CatBoost YetiRank Depth10,Base LTR,0.2854149560304674
117,2018,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.23455000675540094
117,2018,5,CatBoost YetiRank Depth10,Base LTR,0.6292144391049486
117,2018,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.536946877497813
117,2018,6,CatBoost YetiRank Depth10,Base LTR,0.85252869103631
117,2018,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.891478489340714
117,2019,1,CatBoost YetiRank Depth6,Base LTR,0.6019563573133793
117,2019,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5980724926444538
117,2019,2,CatBoost YetiRank Depth6,Base LTR,0.5403236835842923
117,2019,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5643757335509041
117,2019,3,CatBoost YetiRank Depth6,Base LTR,0.3740766404920722
117,2019,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.30566441448336434
117,2019,4,CatBoost YetiRank Depth6,Base LTR,0.6441399578524764
117,2019,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5518723962453407
117,2019,5,CatBoost YetiRank Depth6,Base LTR,0.8192757378404147
117,2019,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9073351385639234
117,2019,6,CatBoost YetiRank Depth6,Base LTR,0.0
117,2019,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2019,1,CatBoost YetiRank Depth10,Base LTR,0.6024896888000235
117,2019,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.6059492854094453
117,2019,2,CatBoost YetiRank Depth10,Base LTR,0.5017502694098787
117,2019,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.537784610249886
117,2019,3,CatBoost YetiRank Depth10,Base LTR,0.3077347114565989
117,2019,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.28142392614981265
117,2019,4,CatBoost YetiRank Depth10,Base LTR,0.6292144391049486
117,2019,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.552398323113564
117,2019,5,CatBoost YetiRank Depth10,Base LTR,0.7705047581372166
117,2019,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.8393407179624802
117,2019,6,CatBoost YetiRank Depth10,Base LTR,0.0
117,2019,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2020,1,CatBoost YetiRank Depth6,Base LTR,0.487813191568416
117,2020,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.4902316357256214
117,2020,2,CatBoost YetiRank Depth6,Base LTR,0.31709710850008976
117,2020,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3144606153449932
117,2020,3,CatBoost YetiRank Depth6,Base LTR,0.6441399578524764
117,2020,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6441399578524764
117,2020,4,CatBoost YetiRank Depth6,Base LTR,0.8192757378404147
117,2020,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9953687156174393
117,2020,5,CatBoost YetiRank Depth6,Base LTR,0.0
117,2020,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2020,6,CatBoost YetiRank Depth6,Base LTR,0.0
117,2020,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2020,1,CatBoost YetiRank Depth10,Base LTR,0.49275076141074775
117,2020,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.451539440469275
117,2020,2,CatBoost YetiRank Depth10,Base LTR,0.3058101239066957
117,2020,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.29283963249722955
117,2020,3,CatBoost YetiRank Depth10,Base LTR,0.5272465587946282
117,2020,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.6276952050185699
117,2020,4,CatBoost YetiRank Depth10,Base LTR,0.7973407535669685
117,2020,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9735374373099793
117,2020,5,CatBoost YetiRank Depth10,Base LTR,0.0
117,2020,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2020,6,CatBoost YetiRank Depth10,Base LTR,0.0
117,2020,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2021,1,CatBoost YetiRank Depth6,Base LTR,0.31560047561719307
117,2021,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3150396437788606
117,2021,2,CatBoost YetiRank Depth6,Base LTR,0.6441399578524764
117,2021,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6441399578524764
117,2021,3,CatBoost YetiRank Depth6,Base LTR,0.9027038541813628
117,2021,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9953687156174393
117,2021,4,CatBoost YetiRank Depth6,Base LTR,0.0
117,2021,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2021,5,CatBoost YetiRank Depth6,Base LTR,0.0
117,2021,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2021,1,CatBoost YetiRank Depth10,Base LTR,0.30579825169563835
117,2021,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.37139685611961093
117,2021,2,CatBoost YetiRank Depth10,Base LTR,0.552398323113564
117,2021,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5518723962453407
117,2021,3,CatBoost YetiRank Depth10,Base LTR,0.85252869103631
117,2021,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9953687156174393
117,2021,4,CatBoost YetiRank Depth10,Base LTR,0.0
117,2021,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2021,5,CatBoost YetiRank Depth10,Base LTR,0.0
117,2021,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2022,1,CatBoost YetiRank Depth6,Base LTR,0.7199627666257056
117,2022,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5282398660127837
117,2022,2,CatBoost YetiRank Depth6,Base LTR,0.9621157624215441
117,2022,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9999999999999999
117,2022,3,CatBoost YetiRank Depth6,Base LTR,0.0
117,2022,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2022,4,CatBoost YetiRank Depth6,Base LTR,0.0
117,2022,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2022,1,CatBoost YetiRank Depth10,Base LTR,0.6276952050185699
117,2022,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.536946877497813
117,2022,2,CatBoost YetiRank Depth10,Base LTR,0.9027038541813628
117,2022,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9027038541813628
117,2022,3,CatBoost YetiRank Depth10,Base LTR,0.0
117,2022,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2022,4,CatBoost YetiRank Depth10,Base LTR,0.0
117,2022,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2023,1,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
117,2023,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9621157624215441
117,2023,2,CatBoost YetiRank Depth6,Base LTR,0.0
117,2023,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2023,3,CatBoost YetiRank Depth6,Base LTR,0.0
117,2023,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
117,2023,1,CatBoost YetiRank Depth10,Base LTR,0.9448139820266983
117,2023,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9780669352225935
117,2023,2,CatBoost YetiRank Depth10,Base LTR,0.0
117,2023,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
117,2023,3,CatBoost YetiRank Depth10,Base LTR,0.0
117,2023,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2018,1,CatBoost YetiRank Depth6,Base LTR,0.7314623772582634
999,2018,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6695943345178326
999,2018,2,CatBoost YetiRank Depth6,Base LTR,0.6196487207944735
999,2018,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5856588689010999
999,2018,3,CatBoost YetiRank Depth6,Base LTR,0.5010405318552835
999,2018,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5528848586630584
999,2018,4,CatBoost YetiRank Depth6,Base LTR,0.3146506373177142
999,2018,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.30592262927333425
999,2018,5,CatBoost YetiRank Depth6,Base LTR,0.7369334463278353
999,2018,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.552398323113564
999,2018,6,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
999,2018,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.7973407535669685
999,2018,1,CatBoost YetiRank Depth10,Base LTR,0.6939136210472395
999,2018,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.6821011502828959
999,2018,2,CatBoost YetiRank Depth10,Base LTR,0.5802143194077406
999,2018,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5800507527603971
999,2018,3,CatBoost YetiRank Depth10,Base LTR,0.49502786912830427
999,2018,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5433995646081929
999,2018,4,CatBoost YetiRank Depth10,Base LTR,0.28156550063694297
999,2018,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.3017377470221988
999,2018,5,CatBoost YetiRank Depth10,Base LTR,0.7214820007120843
999,2018,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.536946877497813
999,2018,6,CatBoost YetiRank Depth10,Base LTR,0.8192757378404147
999,2018,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.8740821853680283
999,2019,1,CatBoost YetiRank Depth6,Base LTR,0.6274275521754128
999,2019,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.588115090965544
999,2019,2,CatBoost YetiRank Depth6,Base LTR,0.5354320174818261
999,2019,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5174520452223964
999,2019,3,CatBoost YetiRank Depth6,Base LTR,0.31445092874167435
999,2019,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3144318015366512
999,2019,4,CatBoost YetiRank Depth6,Base LTR,0.6446658847206996
999,2019,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.536946877497813
999,2019,5,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
999,2019,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.8694509009854676
999,2019,6,CatBoost YetiRank Depth6,Base LTR,0.0
999,2019,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2019,1,CatBoost YetiRank Depth10,Base LTR,0.5923944087019026
999,2019,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5848057532072625
999,2019,2,CatBoost YetiRank Depth10,Base LTR,0.49224157714909766
999,2019,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5343197376566247
