parcel_id,year,lr_score,diff_score,ensemble_score,lr_cal,diff_cal,ens_cal,actual,lat,lon
0212101229,2021,0.0,0.83115,0.41557,0.000142,0.984334,0.331349,1,30.282466,-97.715863
0212101230,2021,0.0,0.89625,0.44812,0.000142,0.996322,0.394406,1,30.28251,-97.716068
0212101232,2021,0.0,0.73666,0.36833,0.000142,0.935376,0.247759,1,30.282333,-97.716317
0212101233,2021,0.0,0.55724,0.27862,0.000142,0.645067,0.123601,1,30.282238,-97.716222
0212101301,2021,0.0,0.79761,0.39881,0.000142,0.972422,0.300468,1,30.282119,-97.716002
0212101302,2021,0.0,0.89664,0.44832,0.000142,0.996361,0.394804,1,30.282168,-97.715818
0212101303,2021,0.0,0.89648,0.44824,0.000142,0.996345,0.394645,1,30.282118,-97.715612
0212101304,2021,0.0,0.89639,0.44819,0.000142,0.996336,0.394546,1,30.28215,-97.715425
0212101305,2021,0.0,0.79717,0.39859,0.000142,0.972231,0.300071,1,30.282191,-97.715177
0212101306,2021,0.0,0.89683,0.44841,0.000142,0.996381,0.394983,1,30.282268,-97.714999
0212101307,2021,0.0,0.79233,0.39616,0.000142,0.970073,0.295702,1,30.28182,-97.7148
0212101308,2021,0.0,0.66487,0.33244,0.000142,0.855662,0.192247,1,30.281868,-97.715073
0212101309,2021,0.0,0.69928,0.34964,0.000142,0.899552,0.217914,1,30.2818,-97.715303
0212101310,2021,0.0,0.99623,0.49812,0.000142,0.999999,0.496129,1,30.281794,-97.715539
0212101311,2021,0.0,0.79868,0.39934,0.000142,0.972881,0.301426,1,30.28165,-97.715715
0212101312,2021,0.0,0.78763,0.39382,0.000142,0.967861,0.29152,1,30.281767,-97.716141
0212101313,2021,0.0,0.89585,0.44792,0.000142,0.99628,0.394009,1,30.281898,-97.716144
0212101314,2021,0.0,0.68809,0.34405,0.000142,0.886496,0.20938,1,30.282039,-97.716244
0212101316,2021,0.0,0.8965,0.44825,0.000142,0.996347,0.394665,1,30.281562,-97.716255
0212101317,2021,0.0,0.69743,0.34871,0.000142,0.897472,0.216482,1,30.281656,-97.715871
0212101401,2021,0.0,0.80651,0.40325,0.000142,0.97607,0.308528,1,30.281331,-97.715831
0212101402,2021,0.0,0.9236,0.4618,0.000142,0.99846,0.421839,1,30.281373,-97.715663
0212101404,2021,0.0,0.6973,0.34865,0.000142,0.897324,0.216389,1,30.281303,-97.715238
0212101405,2021,0.0,0.6977,0.34885,0.000142,0.897777,0.216697,1,30.28133,-97.715073
0212101407,2021,0.0,0.89672,0.44836,0.000142,0.996369,0.394884,1,30.28151,-97.714653
0212101408,2021,0.0,0.79552,0.39776,0.000142,0.971509,0.298576,1,30.281039,-97.714504
0212101410,2021,0.0,0.89474,0.44737,0.000142,0.996165,0.392916,1,30.281019,-97.715038
0212101414,2021,0.0,0.9955,0.49775,0.000142,0.999999,0.495367,1,30.280965,-97.715675
0212101415,2021,0.0,0.79686,0.39843,0.000142,0.972097,0.299783,1,30.280836,-97.715967
0212101416,2021,0.0,0.79417,0.39709,0.000142,0.970907,0.297371,1,30.281046,-97.716021
0212101417,2021,0.0,0.70847,0.35423,0.000142,0.909439,0.225059,1,30.281295,-97.716197
0212101504,2021,0.0,0.79731,0.39865,0.000142,0.972292,0.30018,1,30.282125,-97.716871
0212101505,2021,0.0,0.89663,0.44832,0.000142,0.99636,0.394804,1,30.281983,-97.716807
0212101506,2021,0.0,0.89645,0.44822,0.000142,0.996342,0.394605,1,30.281806,-97.716767
0212101507,2021,0.0,0.79196,0.39598,0.000142,0.969903,0.295379,1,30.281658,-97.716714
0212101514,2021,0.0,0.89204,0.44602,0.000142,0.995873,0.390236,1,30.281526,-97.7167
0212101515,2021,0.0,0.79668,0.39834,0.000142,0.972018,0.299621,1,30.281411,-97.716675
0212101516,2021,0.0,0.89603,0.44802,0.000142,0.996299,0.394207,1,30.281246,-97.716627
0212101517,2021,0.0,0.79283,0.39641,0.000142,0.970301,0.29615,1,30.281073,-97.7166
0212101518,2021,0.0,0.51751,0.25875,0.000142,0.545382,0.102749,1,30.280919,-97.716564
0212101519,2021,0.0,0.70308,0.35154,0.000142,0.90373,0.220857,1,30.280741,-97.716524
0212101521,2021,0.0,0.89655,0.44827,0.000142,0.996352,0.394705,1,30.28074,-97.716964
0212101522,2021,0.0,0.79589,0.39795,0.000142,0.971672,0.298918,1,30.280997,-97.717055
0212101523,2021,0.0,0.99606,0.49803,0.000142,0.999999,0.495944,1,30.28115,-97.71709
0212101524,2021,0.0,0.59827,0.29914,0.000142,0.737812,0.147666,1,30.281307,-97.717125
0212101525,2021,0.0,0.69655,0.34827,0.000142,0.896471,0.215806,1,30.281477,-97.717133
0212101801,2021,0.0,0.59954,0.29977,0.000142,0.74046,0.148446,1,30.281271,-97.715434
0212102001,2021,0.0,0.48231,0.24115,0.000142,0.454154,0.086242,1,30.280967,-97.715394
0212102101,2021,0.0,0.50779,0.25389,0.000142,0.520228,0.098009,1,30.281025,-97.715236
0218240101,2021,0.99645,0.79413,0.89529,0.956828,0.970889,0.988092,1,30.299272,-97.66661
0218240104,2021,0.99996,0.32296,0.66146,0.996189,0.127534,0.798852,1,30.299914,-97.671565
0219230403,2021,0.99941,0.99672,0.99806,0.983479,1.0,0.999997,1,30.303073,-97.672188
0219230404,2021,0.99941,0.99673,0.99807,0.983479,1.0,0.999997,1,30.302549,-97.67268
0219230405,2021,0.99692,0.79757,0.89724,0.95995,0.972404,0.988589,1,30.30209,-97.672892
0219230408,2021,0.99692,0.69262,0.84477,0.95995,0.891918,0.970352,1,30.301555,-97.673423
0219230409,2021,0.99097,0.49841,0.74469,0.929711,0.495869,0.900621,1,30.301725,-97.6739
0221240918,2021,0.98994,0.49697,0.74345,0.925692,0.492129,0.899414,1,30.303778,-97.672858
0221241401,2021,0.99936,0.579,0.78918,0.982736,0.695902,0.938072,1,30.30449,-97.671226
0242020461,2021,0.0,0.00088,0.00044,0.000142,0.0,0.0,1,30.369152,-97.746531
0242020463,2021,0.0,0.1021,0.05105,0.000142,0.003512,0.00243,1,30.367218,-97.744144
0243030103,2021,0.0,0.01213,0.00606,0.000142,1.1e-05,2.8e-05,1,30.369564,-97.743496
0303170519,2021,0.99635,0.99687,0.99661,0.956191,1.0,0.999992,1,30.240448,-97.691463
0303170520,2021,0.99635,0.89819,0.94727,0.956191,0.996517,0.997394,1,30.240282,-97.691279
0303170521,2021,0.99634,0.99681,0.99657,0.956128,1.0,0.999992,1,30.240184,-97.691155
0303170522,2021,0.99946,0.98217,0.99082,0.984252,0.99997,0.999935,1,30.239999,-97.690938
0303170523,2021,0.99632,0.99688,0.9966,0.956001,1.0,0.999992,1,30.239861,-97.690839
0303170524,2021,0.99636,0.99626,0.99631,0.956254,1.0,0.99999,1,30.23973,-97.69057
0303170529,2021,0.99634,0.99683,0.99659,0.956128,1.0,0.999992,1,30.239314,-97.691889
0303170530,2021,0.99632,0.99682,0.99657,0.956001,1.0,0.999992,1,30.239447,-97.691965
0303170531,2021,0.99635,0.89865,0.9475,0.956191,0.996562,0.997418,1,30.239549,-97.692088
0303170532,2021,0.99635,0.99681,0.99658,0.956191,1.0,0.999992,1,30.239642,-97.6922
0303170533,2021,0.99633,0.99682,0.99658,0.956064,1.0,0.999992,1,30.239736,-97.692309
0303170534,2021,0.99635,0.9967,0.99652,0.956191,1.0,0.999991,1,30.239832,-97.692422
0303170535,2021,0.99635,0.99687,0.99661,0.956191,1.0,0.999992,1,30.239931,-97.69254
0303170539,2021,0.99871,0.99547,0.99709,0.974817,0.999999,0.999994,1,30.240239,-97.692546
0303170547,2021,0.99636,0.99677,0.99657,0.956254,1.0,0.999992,1,30.24039,-97.692116
0303170548,2021,0.99633,0.99633,0.99633,0.956064,1.0,0.99999,1,30.240304,-97.691977
0303170549,2021,0.99634,0.99668,0.99651,0.956128,1.0,0.999991,1,30.240301,-97.69185
0303170550,2021,0.99632,0.90654,0.95143,0.956001,0.997275,0.997818,1,30.240184,-97.69173
0303170553,2021,0.99632,0.79761,0.89697,0.956001,0.972422,0.988521,1,30.239362,-97.690563
0303170557,2021,0.99634,0.99686,0.9966,0.956128,1.0,0.999992,1,30.239061,-97.691624
0303170560,2021,0.9993,0.99674,0.99802,0.981879,1.0,0.999997,1,30.239708,-97.690425
0303170561,2021,0.99634,0.89806,0.9472,0.956128,0.996504,0.997386,1,30.239575,-97.690431
0303170563,2021,0.99488,0.99652,0.9957,0.947663,1.0,0.999986,1,30.239752,-97.690298
0303170564,2021,0.98557,0.99685,0.99121,0.910652,1.0,0.99994,1,30.239636,-97.690291
0303170566,2021,0.99634,0.99686,0.9966,0.956128,1.0,0.999992,1,30.239471,-97.690485
0303170567,2021,0.99632,0.99685,0.99659,0.956001,1.0,0.999992,1,30.240087,-97.691032
0303170620,2021,0.99633,0.99686,0.99659,0.956064,1.0,0.999992,1,30.240769,-97.691667
0303170621,2021,0.99633,0.99598,0.99615,0.956064,0.999999,0.999989,1,30.240641,-97.691813
0303170701,2021,0.99901,0.3396,0.66931,0.978156,0.150872,0.810265,1,30.239209,-97.691757
0304160306,2021,0.99124,0.5487,0.76997,0.930804,0.624261,0.923266,1,30.239272,-97.692526
0304200402,2021,0.99947,0.997,0.99823,0.98441,1.0,0.999998,1,30.238667,-97.690317
0305180202,2021,0.99304,0.86555,0.9293,0.938574,0.992137,0.995053,1,30.237703,-97.689999
0305180406,2021,0.99635,0.92226,0.95931,0.956191,0.998383,0.998509,1,30.238114,-97.691337
0305180407,2021,0.9973,0.99649,0.99689,0.962649,1.0,0.999993,1,30.238235,-97.691531
0305180408,2021,0.99634,0.99659,0.99646,0.956128,1.0,0.999991,1,30.23837,-97.691705
0305180409,2021,0.99635,0.99684,0.9966,0.956191,1.0,0.999992,1,30.238514,-97.691855
0305180410,2021,0.99634,0.99414,0.99524,0.956128,0.999998,0.999983,1,30.238605,-97.692012
