"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"NPA-2008-0011.01","Vertical Mixed Use, North Loop","Amended Neighborhood Plan","01/16/2008","Closed","","999 - SEE COMMENTS","999 - SEE COMMENTS","","The applicant is proposing to amend the North Loop Neighborhood Plan.","",""
"C814-98-0004","WEST PARK PUD","Planned Unit Development (PUD)","12/17/1998","Closed","","999","999","","","",""
"C814-97-0001.08","Leander Rehabilitation Site- Administrative Land Use Plan PUD Amendment No.7","Planned Unit Development (PUD)","01/15/2010","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is requesting a land use plan PUD amendment.","",""
"C814-97-0001.15","Leander Rehabilitation PUD Amendment #16","Planned Unit Development (PUD)","09/10/2021","Closed","","PUD, planned unit development, to change conditions of zoning","PUD, planned unit development","","The PUD amendment applies to 29.9 acres and proposes to increase the allowed total number of dwelling units within the PUD from 3,500 dwelling units to 4,700 dwelling units, allocating the additional","",""
"NPA-2017-0005.04","2514 Thrasher","Amended Neighborhood Plan","09/26/2017","Closed","","","","0312130114","The applicant proposes to amend a currently approved neighborhood plan. 

Related case: C14-2017-0125","30.21780101","-97.70473619"
"C814-05-0213","LOOP 1 AT US 290 WEST PUD","Planned Unit Development (PUD)","12/22/2005","Closed","","PUD","GR","","","",""
"NPA-2012-0015.01","Street and Bridge Operations Central District Office","Amended Neighborhood Plan","07/27/2012","Withdrawn","","","GR-NP","","The applicant is requesting a future land use designation change from Mixed Use to Civic.","30.28857824","-97.69930063"
"NPA-2007-0022.02","Vertical Mixed Use","Amended Neighborhood Plan","11/26/2007","Closed","","","","","The applicant is requesting a neighborhood plan amendment.","",""
"C12M-2019-0002","Trail of Madrones Annexation to the WCID #10","Municipal Utility District (MUD)","07/17/2019","Closed","","None","","","The applicant is proposing to annex a property into the Travis County Water Control and Improvement District #10","",""
"NPA-2008-0015.01","MLK Jr. Blvd TOD Station Area Plan-Plan Amendment","Amended Neighborhood Plan","02/01/2008","Closed","","TOD - TRANSIT ORIENTED DEVELOPMENT ZONING","999 - SEE COMMENTS","","The applicant proposes to amend the East MLK Combined NP-MLK Planning Area","",""
"C12M-2015-0002","North Austin Municipal Utility District No. 1","Municipal Utility District (MUD)","10/12/2015","In Review","","999 - SEE COMMENTS","","","The applicant is proposing amendments to existing MUD agreement.","",""
"C12M-2018-0145","Senna Hills Municipal Utility District","Municipal Utility District (MUD)","11/20/2018","Closed","","N/A","","0121500301","The applicant is proposing an Amendment to existing MUD Agreement.","30.30963305","-97.90477981"
"C814-95-0002.14","FOUR POINTS CENTRE P.U.D. Ammendment 14","Planned Unit Development (PUD)","05/17/2019","Approved","","PUD","PUD","","The Applicant is proposing to amend a previously approved planned unit development. 

Case administratively approved by the staff on April 26, 2026. Please see memo in the Attachments section.","",""
"C814-06-0175.01","East Avenue PUD Amendment","Planned Unit Development (PUD)","04/25/2008","Withdrawn","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","0215080159","The applicant is proposing a planned unit development amendment.","30.29179450","-97.72237949"
