CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Swagit_URL,MP4_URL
C14-2015-0114,2016-11-10T00:00:00.000,35,Austin City Council,http://austintx.swagit.com/play/45722/0/,https://swagit-video.granicus.com/archive/2016/11/11/11112016-592.360.mp4
C14-2014-0070,2014-08-28T00:00:00.000,115,Austin City Council,http://austintx.swagit.com/play/45637/0/,https://swagit-video.granicus.com/archive/2014/08/28/08282014-592.360.mp4
C14H-2017-0107,2017-10-05T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45747/0/,https://swagit-video.granicus.com/archive/2017/10/05/10052017-521.360.mp4
NPA-2019-0027.02,2019-11-14T00:00:00.000,81,Austin City Council,http://austintx.swagit.com/play/45799/0/,https://swagit-video.granicus.com/archive/2019/11/15/11152019-507.360.mp4
C14-2016-0059,2016-09-22T00:00:00.000,52,Austin City Council,http://austintx.swagit.com/play/45717/0/,https://swagit-video.granicus.com/archive/2016/09/22/09222016-647.360.mp4
C14-2012-0028,2012-08-02T00:00:00.000,105,Austin City Council,http://austintx.swagit.com/play/45526/0/,https://swagit-video.granicus.com/archive/2012/08/02/08022012-554.h264.mp4
C14-2012-0046,2012-08-02T00:00:00.000,111,Austin City Council,http://austintx.swagit.com/play/45526/0/,https://swagit-video.granicus.com/archive/2012/08/02/08022012-554.h264.mp4
C14-2019-0106,2020-02-20T00:00:00.000,70,Austin City Council,http://austintx.swagit.com/play/45804/0/,https://swagit-video.granicus.com/archive/2020/02/20/02202020-566.360.mp4
C14-2017-0076,2017-10-05T00:00:00.000,43,Austin City Council,http://austintx.swagit.com/play/45747/0/,https://swagit-video.granicus.com/archive/2017/10/05/10052017-525.360.mp4
C14-2015-0127,2015-12-10T00:00:00.000,68,Austin City Council,http://austintx.swagit.com/play/45696/0/,https://swagit-video.granicus.com/archive/2015/12/10/12102015-643.360.mp4
C14-2014-0012,2014-05-15T00:00:00.000,51,Austin City Council,http://austintx.swagit.com/play/45624/0/,https://swagit-video.granicus.com/archive/2014/05/15/05152014-2779.h264.mp4
C14-2014-0009,2014-05-15T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45624/0/,https://swagit-video.granicus.com/archive/2014/05/15/05152014-2780.h264.mp4
C14-2012-0093,2013-01-17T00:00:00.000,82,Austin City Council,http://austintx.swagit.com/play/45555/0/,https://swagit-video.granicus.com/archive/2013/01/17/01172013-750.h264.mp4
C14-2013-0083,2014-05-01T00:00:00.000,57,Austin City Council,http://austintx.swagit.com/play/45622/0/,https://swagit-video.granicus.com/archive/2014/05/01/05012014-516.h264.mp4
C14-2011-0065,2013-01-31T00:00:00.000,61,Austin City Council,http://austintx.swagit.com/play/45557/0/,https://swagit-video.granicus.com/archive/2013/01/31/01312013-528.h264.mp4
NPA-2010-0021.02,2011-03-03T00:00:00.000,56,Austin City Council,http://austintx.swagit.com/play/45440/0/,https://swagit-video.granicus.com/archive/2011/03/03/03032011-20.h264.mp4
C14-2013-0023,2013-09-26T00:00:00.000,115,Austin City Council,http://austintx.swagit.com/play/45594/0/,https://swagit-video.granicus.com/archive/2013/09/26/09262013-568.h264.mp4
C14-2011-0165,2012-06-14T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45520/0/,https://swagit-video.granicus.com/archive/2012/06/14/06142012-524.h264.mp4
C14-2012-0115,2012-12-06T00:00:00.000,105,Austin City Council,http://austintx.swagit.com/play/45551/0/,https://swagit-video.granicus.com/archive/2012/12/06/12062012-519.h264.mp4
C14-2017-0137,2018-02-01T00:00:00.000,116,Austin City Council,http://austintx.swagit.com/play/02012018-524/0/,https://swagit-video.granicus.com/archive/2018/02/01/02012018-538.360.mp4
C14-2012-0007,2012-03-22T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/45502/0/,https://swagit-video.granicus.com/archive/2012/03/22/03222012-549.h264.mp4
C14-2016-0106,2017-01-26T00:00:00.000,82,Austin City Council,http://austintx.swagit.com/play/01262017-762/0/,https://swagit-video.granicus.com/archive/2017/01/27/01272017-517.360.mp4
C14-2011-0131,2012-09-27T00:00:00.000,122,Austin City Council,http://austintx.swagit.com/play/45539/0/,https://swagit-video.granicus.com/archive/2012/09/27/09272012-537.h264.mp4
C14-2019-0082,2020-01-23T00:00:00.000,74,Austin City Council,http://austintx.swagit.com/play/45802/0/,https://swagit-video.granicus.com/archive/2020/01/23/01232020-665.360.mp4
C14-2010-0090,2010-09-23T00:00:00.000,111,Austin City Council,http://austintx.swagit.com/play/45424/0/,https://swagit-video.granicus.com/archive/2010/09/23/09232010-18.h264.mp4
C14-2013-0062,2013-09-26T00:00:00.000,121,Austin City Council,http://austintx.swagit.com/play/45594/0/,https://swagit-video.granicus.com/archive/2013/09/26/09262013-568.h264.mp4
C14-2017-0114,2018-02-01T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/02012018-524/0/,https://swagit-video.granicus.com/archive/2018/02/02/02022018-537.360.mp4
C14-2013-0147,2014-03-27T00:00:00.000,51,Austin City Council,http://austintx.swagit.com/play/45616/0/,https://swagit-video.granicus.com/archive/2014/03/27/03272014-621.h264.mp4
NPA-2016-0005.04,2017-08-31T00:00:00.000,80,Austin City Council,http://austintx.swagit.com/play/45745/0/,https://swagit-video.granicus.com/archive/2017/08/31/08312017-570.360.mp4
C14H-2016-0099,2016-12-08T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45724/0/,https://swagit-video.granicus.com/archive/2016/12/08/12082016-615.360.mp4
NPA-2011-0016.01,2012-02-02T00:00:00.000,27,Austin City Council,http://austintx.swagit.com/play/45495/0/,https://swagit-video.granicus.com/archive/2012/02/02/02022012-515.h264.mp4
C14-2016-0105,2017-02-16T00:00:00.000,55,Austin City Council,http://austintx.swagit.com/play/02162017-598/0/,https://swagit-video.granicus.com/archive/2017/02/16/02162017-610.360.mp4
C14-2018-0146,2019-06-06T00:00:00.000,92,Austin City Council,http://austintx.swagit.com/play/45787/0/,https://swagit-video.granicus.com/archive/2019/06/06/06062019-650.360.mp4
C14-2014-0048,2014-06-12T00:00:00.000,112,Austin City Council,http://austintx.swagit.com/play/45629/0/,https://swagit-video.granicus.com/archive/2014/06/12/06122014-584.360.mp4
C14-2016-0111,2017-12-07T00:00:00.000,90,Austin City Council,http://austintx.swagit.com/play/45752/0/,https://swagit-video.granicus.com/archive/2017/12/07/12072017-587.360.mp4
C14H-2010-0027,2010-12-16T00:00:00.000,91,Austin City Council,http://austintx.swagit.com/play/45432/0/,https://swagit-video.granicus.com/archive/2010/12/16/12162010-17.h264.mp4
NPA-2012-0005.01,2012-09-27T00:00:00.000,106,Austin City Council,http://austintx.swagit.com/play/45539/0/,https://swagit-video.granicus.com/archive/2012/09/27/09272012-537.h264.mp4
C14-2018-0069,2018-09-20T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/45770/0/,https://swagit-video.granicus.com/archive/2018/09/20/09202018-885.360.mp4
C14H-2019-0077,2019-06-20T00:00:00.000,157,Austin City Council,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-654.360.mp4
C14-2014-0038,2014-06-12T00:00:00.000,107,Austin City Council,http://austintx.swagit.com/play/45629/0/,https://swagit-video.granicus.com/archive/2014/06/12/06122014-584.360.mp4
NPA-2017-0021.01,2020-02-20T00:00:00.000,71,Austin City Council,http://austintx.swagit.com/play/45804/0/,https://swagit-video.granicus.com/archive/2020/02/20/02202020-566.360.mp4
C14-2014-0038,2015-03-26T00:00:00.000,46,Austin City Council,http://austintx.swagit.com/play/45671/0/,https://swagit-video.granicus.com/archive/2015/03/26/03262015-1189.360.mp4
NPA-2015-0027.01,2015-10-08T00:00:00.000,22,Austin City Council,http://austintx.swagit.com/play/45691/0/,https://swagit-video.granicus.com/archive/2015/10/08/10082015-547.360.mp4
C14-2013-0158,2014-08-07T00:00:00.000,143,Austin City Council,http://austintx.swagit.com/play/45634/0/,https://swagit-video.granicus.com/archive/2014/08/07/08072014-787.360.mp4
C14-2011-0087,2011-12-08T00:00:00.000,115,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
C14-2016-0043,2017-01-26T00:00:00.000,55,Austin City Council,http://austintx.swagit.com/play/01262017-762/0/,https://swagit-video.granicus.com/archive/2017/01/26/01262017-769.360.mp4
C14-2017-0081,2017-09-28T00:00:00.000,90,Austin City Council,http://austintx.swagit.com/play/45746/0/,https://swagit-video.granicus.com/archive/2017/09/28/09282017-661.360.mp4
C14-2010-0015,2010-10-14T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45426/0/,https://swagit-video.granicus.com/archive/2010/10/14/10142010-13.h264.mp4
C14-2014-0025,2014-08-07T00:00:00.000,137,Austin City Council,http://austintx.swagit.com/play/45634/0/,https://swagit-video.granicus.com/archive/2014/08/07/08072014-787.360.mp4
C14-2014-0003,2014-05-22T00:00:00.000,68,Austin City Council,http://austintx.swagit.com/play/45626/0/,https://swagit-video.granicus.com/archive/2014/05/22/05222014-616.h264.mp4
C14-2014-0128,2014-10-16T00:00:00.000,58,Austin City Council,http://austintx.swagit.com/play/45643/0/,https://swagit-video.granicus.com/archive/2014/10/16/10162014-594.360.mp4
NPA-2017-0016.03,2019-02-21T00:00:00.000,44,Austin City Council,http://austintx.swagit.com/play/45780/0/,https://swagit-video.granicus.com/archive/2019/02/21/02212019-593.360.mp4
C14-2014-0036,2014-10-16T00:00:00.000,52,Austin City Council,http://austintx.swagit.com/play/45643/0/,https://swagit-video.granicus.com/archive/2014/10/16/10162014-1146.360.mp4
C14-2016-0079,2017-05-18T00:00:00.000,60,Austin City Council,http://austintx.swagit.com/play/45737/0/,https://swagit-video.granicus.com/archive/2017/05/18/05182017-624.360.mp4
C14-2011-0079,2011-12-08T00:00:00.000,106,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
C14-2011-0140,2012-04-05T00:00:00.000,80,Austin City Council,http://austintx.swagit.com/play/45503/0/,https://swagit-video.granicus.com/archive/2012/04/05/04052012-534.h264.mp4
NPA-2011-0009.01,2011-12-08T00:00:00.000,105,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
C14-2016-0132,2017-03-02T00:00:00.000,71,Austin City Council,http://austintx.swagit.com/play/03022017-539/0/,https://swagit-video.granicus.com/archive/2017/03/02/03022017-547.360.mp4
NPA-2011-0023.01,2012-04-05T00:00:00.000,88,Austin City Council,http://austintx.swagit.com/play/45503/0/,https://swagit-video.granicus.com/archive/2012/04/05/04052012-540.h264.mp4
NPA-2015-0014.01,2016-03-24T00:00:00.000,22,Austin City Council,http://austintx.swagit.com/play/45702/0/,https://swagit-video.granicus.com/archive/2016/03/24/03242016-685.360.mp4
C14-2014-0186,2015-12-10T00:00:00.000,44,Austin City Council,http://austintx.swagit.com/play/45696/0/,https://swagit-video.granicus.com/archive/2015/12/10/12102015-639.360.mp4
C14-2018-0141,2019-02-21T00:00:00.000,39,Austin City Council,http://austintx.swagit.com/play/45780/0/,https://swagit-video.granicus.com/archive/2019/02/21/02212019-593.360.mp4
C14-2014-0193,2015-10-15T00:00:00.000,63,Austin City Council,http://austintx.swagit.com/play/45692/0/,https://swagit-video.granicus.com/archive/2015/10/15/10152015-1007.360.mp4
C14H-2018-0014,2018-04-12T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45760/0/,https://swagit-video.granicus.com/archive/2018/04/13/04132018-674.360.mp4
C14-2010-0096,2010-09-30T00:00:00.000,40,Austin City Council,http://austintx.swagit.com/play/45425/0/,https://swagit-video.granicus.com/archive/2010/09/30/09302010-13.h264.mp4
C14H-2010-0006,2010-09-30T00:00:00.000,38,Austin City Council,http://austintx.swagit.com/play/45425/0/,https://swagit-video.granicus.com/archive/2010/09/30/09302010-13.h264.mp4
C14-2015-0160,2016-09-01T00:00:00.000,37,Austin City Council,http://austintx.swagit.com/play/45716/0/,https://swagit-video.granicus.com/archive/2016/09/01/09012016-556.360.mp4
C14-2019-0037,2019-06-20T00:00:00.000,143,Austin City Council,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-654.360.mp4
C14-2013-0097,2013-09-26T00:00:00.000,131,Austin City Council,http://austintx.swagit.com/play/45594/0/,https://swagit-video.granicus.com/archive/2013/09/26/09262013-568.h264.mp4
NPA-2011-0025.02,2012-10-11T00:00:00.000,91,Austin City Council,http://austintx.swagit.com/play/45541/0/,https://swagit-video.granicus.com/archive/2012/10/11/10112012-521.h264.mp4
NPA-2015-0005.01,2015-08-13T00:00:00.000,15,Austin City Council,http://austintx.swagit.com/play/45687/0/,https://swagit-video.granicus.com/archive/2015/08/13/08132015-593.360.mp4
C14-2012-0020,2012-03-22T00:00:00.000,87,Austin City Council,http://austintx.swagit.com/play/45502/0/,https://swagit-video.granicus.com/archive/2012/03/22/03222012-558.h264.mp4
C14-2019-0041,2019-08-08T00:00:00.000,123,Austin City Council,http://austintx.swagit.com/play/45789/0/,https://swagit-video.granicus.com/archive/2019/08/09/08092019-565.360.mp4
C14-2013-0038,2013-05-09T00:00:00.000,66,Austin City Council,http://austintx.swagit.com/play/45576/0/,https://swagit-video.granicus.com/archive/2013/05/09/05092013-552.h264.mp4
C14-2013-0048,2013-08-22T00:00:00.000,111,Austin City Council,http://austintx.swagit.com/play/45588/0/,https://swagit-video.granicus.com/archive/2013/08/22/08222013-687.h264.mp4
C14-2016-0011,2016-12-08T00:00:00.000,21,Austin City Council,http://austintx.swagit.com/play/45724/0/,https://swagit-video.granicus.com/archive/2016/12/08/12082016-615.360.mp4
NPA-2011-0019.02,2011-11-10T00:00:00.000,89,Austin City Council,http://austintx.swagit.com/play/45485/0/,https://swagit-video.granicus.com/archive/2011/11/10/11102011-516.h264.mp4
C14-2018-0004,2018-12-13T00:00:00.000,72,Austin City Council,http://austintx.swagit.com/play/45776/0/,https://swagit-video.granicus.com/archive/2018/12/13/12132018-973.360.mp4
C14-2015-0001,2015-10-08T00:00:00.000,25,Austin City Council,http://austintx.swagit.com/play/45691/0/,https://swagit-video.granicus.com/archive/2015/10/08/10082015-547.360.mp4
NPA-2012-0019.03,2012-09-27T00:00:00.000,126,Austin City Council,http://austintx.swagit.com/play/45539/0/,https://swagit-video.granicus.com/archive/2012/09/27/09272012-537.h264.mp4
C14-2015-0146,2016-08-11T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45714/0/,https://swagit-video.granicus.com/archive/2016/08/11/08112016-632.360.mp4
NPA-2019-0012.02,2019-12-05T00:00:00.000,94,Austin City Council,http://austintx.swagit.com/play/45800/0/,https://swagit-video.granicus.com/archive/2019/12/05/12052019-628.360.mp4
C14-2018-0138,2018-12-13T00:00:00.000,86,Austin City Council,http://austintx.swagit.com/play/45776/0/,https://swagit-video.granicus.com/archive/2018/12/13/12132018-973.360.mp4
C14-2019-0001,2019-05-23T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45786/0/,https://swagit-video.granicus.com/archive/2019/05/23/05232019-715.360.mp4
NPA-2011-0016.02,2011-12-08T00:00:00.000,112,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
NPA-2012-0013.02,2012-08-16T00:00:00.000,73,Austin City Council,http://austintx.swagit.com/play/45529/0/,https://swagit-video.granicus.com/archive/2012/08/16/08162012-552.h264.mp4
NPA-2013-0011.02,2013-12-12T00:00:00.000,100,Austin City Council,http://austintx.swagit.com/play/45604/0/,https://swagit-video.granicus.com/archive/2013/12/12/12122013-693.h264.mp4
C14-2018-0088,2019-03-28T00:00:00.000,56,Austin City Council,http://austintx.swagit.com/play/45782/0/,https://swagit-video.granicus.com/archive/2019/03/28/03282019-660.360.mp4
C814-2014-0120,2017-02-02T00:00:00.000,57,Austin City Council,http://austintx.swagit.com/play/02022017-503/0/,https://swagit-video.granicus.com/archive/2017/02/02/02022017-1027.360.mp4
C14-2017-0132,2018-02-01T00:00:00.000,112,Austin City Council,http://austintx.swagit.com/play/02012018-524/0/,https://swagit-video.granicus.com/archive/2018/02/01/02012018-538.360.mp4
C14-2018-0127,2019-01-31T00:00:00.000,74,Austin City Council,http://austintx.swagit.com/play/45778/0/,https://swagit-video.granicus.com/archive/2019/02/01/02012019-627.360.mp4
C814-2008-0145,2011-03-03T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45440/0/,https://swagit-video.granicus.com/archive/2011/03/03/03032011-20.h264.mp4
C14-2014-0077,2014-11-06T00:00:00.000,81,Austin City Council,http://austintx.swagit.com/play/45647/0/,https://swagit-video.granicus.com/archive/2014/11/06/11062014-519.360.mp4
C14-2013-0045,2013-11-21T00:00:00.000,83,Austin City Council,http://austintx.swagit.com/play/45603/0/,https://swagit-video.granicus.com/archive/2013/11/21/11212013-616.h264.mp4
C14-2010-0017,2010-08-19T00:00:00.000,56,Austin City Council,http://austintx.swagit.com/play/45422/0/,https://swagit-video.granicus.com/archive/2010/08/19/08192010-34.h264.mp4
C14-2015-0001,2015-10-15T00:00:00.000,64,Austin City Council,http://austintx.swagit.com/play/45692/0/,https://swagit-video.granicus.com/archive/2015/10/15/10152015-572.360.mp4
C14-05-0112,2011-12-08T00:00:00.000,116,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
C14-2014-0102,2014-08-07T00:00:00.000,160,Austin City Council,http://austintx.swagit.com/play/45634/0/,https://swagit-video.granicus.com/archive/2014/08/07/08072014-787.360.mp4
C14-2014-0018,2014-09-25T00:00:00.000,137,Austin City Council,http://austintx.swagit.com/play/44968/0/,https://swagit-video.granicus.com/archive/2014/09/25/09252014-591.360.mp4
C14-2014-0037,2014-11-20T00:00:00.000,162,Austin City Council,http://austintx.swagit.com/play/45649/0/,https://swagit-video.granicus.com/archive/2014/11/20/11202014-546.360.mp4
C14-2016-0090,2017-06-15T00:00:00.000,86,Austin City Council,http://austintx.swagit.com/play/45739/0/,https://swagit-video.granicus.com/archive/2017/06/15/06152017-1005.360.mp4
C14-2013-0107,2014-03-06T00:00:00.000,36,Austin City Council,http://austintx.swagit.com/play/45612/0/,https://swagit-video.granicus.com/archive/2014/03/06/03062014-520.h264.mp4
C14-2016-0124,2017-05-18T00:00:00.000,56,Austin City Council,http://austintx.swagit.com/play/45737/0/,https://swagit-video.granicus.com/archive/2017/05/18/05182017-624.360.mp4
C14-2010-0192,2011-02-17T00:00:00.000,62,Austin City Council,http://austintx.swagit.com/play/45438/0/,https://swagit-video.granicus.com/archive/2011/02/17/02172011-10.h264.mp4
NPA-2011-0015.02,2012-03-08T00:00:00.000,49,Austin City Council,http://austintx.swagit.com/play/45500/0/,https://swagit-video.granicus.com/archive/2012/03/08/03082012-518.h264.mp4
C14-2012-0070,2013-01-17T00:00:00.000,70,Austin City Council,http://austintx.swagit.com/play/45555/0/,https://swagit-video.granicus.com/archive/2013/01/17/01172013-750.h264.mp4
C14-2015-0083,2017-05-04T00:00:00.000,54,Austin City Council,http://austintx.swagit.com/play/45735/0/,https://swagit-video.granicus.com/archive/2017/05/04/05042017-545.360.mp4
C14-2014-0006,2014-03-20T00:00:00.000,69,Austin City Council,http://austintx.swagit.com/play/45614/0/,https://swagit-video.granicus.com/archive/2014/03/20/03202014-530.h264.mp4
NPA-2019-0027.01,2019-06-06T00:00:00.000,75,Austin City Council,http://austintx.swagit.com/play/45787/0/,https://swagit-video.granicus.com/archive/2019/06/06/06062019-1432.360.mp4
NPA-2015-0009.01,2015-11-12T00:00:00.000,45,Austin City Council,http://austintx.swagit.com/play/45694/0/,https://swagit-video.granicus.com/archive/2015/11/12/11122015-597.360.mp4
C14-2016-0079,2017-10-19T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45749/0/,https://swagit-video.granicus.com/archive/2017/10/19/10192017-639.360.mp4
C814-2007-0009,2014-05-22T00:00:00.000,72,Austin City Council,http://austintx.swagit.com/play/45626/0/,https://swagit-video.granicus.com/archive/2014/05/22/05222014-598.h264.mp4
NPA-2010-0021.02,2011-03-24T00:00:00.000,59,Austin City Council,http://austintx.swagit.com/play/45444/0/,https://swagit-video.granicus.com/archive/2011/03/24/03242011-95.h264.mp4
C14-2013-0145,2014-01-23T00:00:00.000,90,Austin City Council,http://austintx.swagit.com/play/45605/0/,https://swagit-video.granicus.com/archive/2014/01/23/01232014-586.h264.mp4
C14-2017-0033,2017-08-03T00:00:00.000,91,Austin City Council,http://austintx.swagit.com/play/45741/0/,https://swagit-video.granicus.com/archive/2017/08/03/08032017-532.360.mp4
C14-2009-0151,2010-04-22T00:00:00.000,53,Austin City Council,http://austintx.swagit.com/play/45414/0/,https://swagit-video.granicus.com/archive/2010/04/22/04222010-17.h264.mp4
C14-2016-0043,2016-11-10T00:00:00.000,26,Austin City Council,http://austintx.swagit.com/play/45722/0/,https://swagit-video.granicus.com/archive/2016/11/11/11112016-592.360.mp4
NPA-2012-0019.01,2013-01-31T00:00:00.000,56,Austin City Council,http://austintx.swagit.com/play/45557/0/,https://swagit-video.granicus.com/archive/2013/01/31/01312013-513.h264.mp4
C814-06-0106.02,2014-06-26T00:00:00.000,136,Austin City Council,http://austintx.swagit.com/play/45632/0/,https://swagit-video.granicus.com/archive/2014/06/26/06262014-1017.360.mp4
C14-2014-0101,2014-09-25T00:00:00.000,123,Austin City Council,http://austintx.swagit.com/play/44968/0/,https://swagit-video.granicus.com/archive/2014/09/25/09252014-591.360.mp4
C14-2016-0090,2017-03-23T00:00:00.000,90,Austin City Council,http://austintx.swagit.com/play/45731/0/,https://swagit-video.granicus.com/archive/2017/03/23/03232017-596.360.mp4
C14-2018-0035,2018-06-28T00:00:00.000,109,Austin City Council,http://austintx.swagit.com/play/45765/0/,https://swagit-video.granicus.com/archive/2018/06/28/06282018-725.360.mp4
C14H-2010-0032,2011-03-24T00:00:00.000,58,Austin City Council,http://austintx.swagit.com/play/45444/0/,https://swagit-video.granicus.com/archive/2011/03/24/03242011-95.h264.mp4
C14-2017-0087,2017-09-28T00:00:00.000,93,Austin City Council,http://austintx.swagit.com/play/45746/0/,https://swagit-video.granicus.com/archive/2017/09/28/09282017-661.360.mp4
