CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
C14-2013-0086,2013-11-07T00:00:00.000,68,Austin City Council,C14-2013-0086 - RKS Springfield Zoning - Approve second and third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 6605 and 6801 East William Cannon Drive,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131107-REG.htm#068
NPA-2019-0016.01,2020-06-11T00:00:00.000,82,Austin City Council,"NPA-2019-0016.01 - Shady Lane Mixed Use -Conduct a public hearing and approve an ordinance amending Ordinance No. 20030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of th",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200611-REG.htm#082
C14-2013-0103,2013-10-24T00:00:00.000,79,Austin City Council,C14-2013-0103 - 4845 Spicewood Springs Rezone - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 4845 Spicewood Springs Road (Bull ,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131024-REG.htm#079
C14-06-0230,2007-04-05T00:00:00.000,41,Austin City Council,C14-06-0230 - Nomad Wine and Cheese - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1213 - 1215 Corona Drive (Tanneh,akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070405-REG.htm#041
C14H-05-0017,2006-12-14T00:00:00.000,73,Austin City Council,C14H-05-0017 - Baugh-Colby House - Approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1102 Enfield Road (Shoal Creek Watershed) from multi-family ,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20061214-REG.htm#073
NPA-2007-0005.01,2008-01-31T00:00:00.000,126,Austin City Council,"NPA-2007-0005.01 - Jockey Tract - Conduct a public hearing and approve an ordinance amending Ordinance No. 010927-05, the Montopolis Neighborhood Plan, an element of the Austin Tomorrow Comprehensive ",akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080131-REG.htm#126
C14H-2017-0112,2017-12-14T00:00:00.000,84,Austin City Council,"C14H-2017-0112 - Driskill Hotel - District 9 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as the Driskill Hotel, 604 Brazos Street",akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171214-REG.htm#084
C14-06-0225,2007-02-15T00:00:00.000,57,Austin City Council,C14-06-0225 - San Felipe Market - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 7701 San Felipe Boulevard (Ratta,akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070215-REG.htm#057
C14-2012-0112,2013-05-09T00:00:00.000,44,Austin City Council,C14-2012-0112 - East Riverside Corridor Regulating Plan (Montopolis Neighborhood Planning Area) - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning 11 tra,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130509-REG.htm#044
C14-2008-0220,2010-03-11T00:00:00.000,54,Austin City Council,C14-2008-0220 - Double Creek Village - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 10200 - 10614 South IH-35 S,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20100311-REG.htm#054
C814-2018-0121,2020-06-04T00:00:00.000,28,Austin City Council,C814-2018-0121 - 218 S. Lamar -Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 218 South Lamar Boulevard ( Lady Bird Lake Watershed),akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200604-REG.htm#028
C14-2008-0031,2009-02-12T00:00:00.000,49,Austin City Council,C14-2008-0031 - MLK Jr. Blvd. Station Area Plan (2900 Manor Road) - Conduct a public hearing and approve third reading of an ordinance adopting the MLK Jr. Blvd. Station Area Plan and transit oriented,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090212-REG.htm#049
C14-2015-0049,2015-08-13T00:00:00.000,32,Austin City Council,C14-2015-0049 � Davis Rezoning � District 10 � Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 8115 Two Coves Drive (West Bull C,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20150813-REG.htm#032
NPA-07-0017.01,2007-11-29T00:00:00.000,79,Austin City Council,"NPA-07-0017.01 - Austin Energy & Crestview Station - Conduct a public hearing and approve an ordinance amending Ordinance No. 041401-Z-2, the Crestview/Wooten Combined Neighborhood Plan, an element of",akgy-tbxy,http://austintexas.gov/department/city-council/2007/20071129-REG.htm#079
C14-2016-0097,2016-12-08T00:00:00.000,39,Austin City Council,C14-2016-0097 � South Congress Residences � District 3 � Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 4714 South Congress Avenue ,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161208-REG.htm#039
C14-2012-0130,2013-02-14T00:00:00.000,70,Austin City Council,"C14-2012-0130 - 4th & Guadalupe Rezoning - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 401 Guadalupe Street, 3",akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130214-REG.htm#070
C14-2008-0031,2008-12-11T00:00:00.000,90,Austin City Council,C14-2008-0031 - MLK Jr. Blvd. Station Area Plan (Alternative Compliance) - Approve second/third readings of an ordinance adopting the alternative compliance provision of the MLK Jr. Blvd. Station Area,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081211-REG.htm#090
C14-97-0102,2011-11-10T00:00:00.000,93,Austin City Council,C14-97-0102(RCT) - Dreyfus Rezoning - Conduct a public hearing to approve termination of a restrictive covenant for the property locally known as 1901 North Lamar Boulevard (Shoal Creek Watershed). St,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20111110-REG.htm#093
C14-2008-0133,2008-10-23T00:00:00.000,82,Austin City Council,C14-2008-0133 - TSM Ventures Zoning - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 11810 N. SH 130 SB (Gilleland ,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081023-REG.htm#082
C14-2016-0127,2017-01-26T00:00:00.000,88,Austin City Council,C14-2016-0127 - Harris Tract Rezoning - District 8 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 1608 Barclay Drive (Eanes Creek,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170126-REG.htm#088
