CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
C14-2016-0121,2018-03-01T00:00:00.000,34,Austin City Council,C14-2016-0121 - 7700 Parmer Lane - District 6 - Approve third reading of an ordinance amending City Code Title 25 by zoning property locally known as 7700 West Parmer Lane (Lake Creek Watershed). Appl,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180301-REG.htm#034
C14-2013-0092,2013-12-12T00:00:00.000,108,Austin City Council,C14-2013-0092 - Eastside Lumber Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2915 and 3013 East Cesar Chavez Stree,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131212-REG.htm#108
C14H-2009-0053,2009-12-10T00:00:00.000,81,Austin City Council,C14H-2009-0053 - Sol and Anne Ginsburg House - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1404 Preston Avenue,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20091210-REG.htm#081
C14-2020-0065,2020-10-15T00:00:00.000,64,Austin City Council,C14-2020-0065 - Rainey Street GIS Substation - Conduct a public hearing and approve an ordinance amending City Code Title 25 by zoning and rezoning property locally known as 806-� Lambie Street (Lady ,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201015-REG.htm#064
C814-2012-0160,2013-06-20T00:00:00.000,78,Austin City Council,C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130620-REG.htm#078
C14-04-0150,2005-11-03T00:00:00.000,26,Austin City Council,C14-04-0150 - Manchaca Mixed Use (formerly known as Neighbor's Stop & Go) - Approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 6008 Manchaca Road ,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20051103-REG.htm#026
C14-06-0065,2006-08-24T00:00:00.000,72,Austin City Council,C14-06-0065 - 2923 and 2933 Pecan Springs Road - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2923 and 2933 Pec,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060824-REG.htm#072
C14-2017-0139,2018-03-22T00:00:00.000,87,Austin City Council,C14-2017-0139 - Ferguson Crossing- District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3207 Ferguson Lane (Walnut Creek Wat,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180322-REG.htm#087
C14H-2017-0082,2017-10-05T00:00:00.000,49,Austin City Council,C14H-2017-0082 - McDonald-Doughtie House - District 10 - Conduct a public hearing and approve an ordinance amending City Code Title 25 of the Austin City Code by rezoning property locally known as 161,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171005-REG.htm#049
C14-2019-0162,2020-08-27T00:00:00.000,129,Austin City Council,C14-2019-0162 - Slaughter and Cullen - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 166 West Slaughter Lane and 9012 Cullen Lane ,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#129
C14-2019-0108,2020-09-17T00:00:00.000,88,Austin City Council,C14-2019-0108 - Parker House - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2404 Rio Grande Street (Shoal Creek Watershed). Appli,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#088
C14-2018-0002,2018-06-14T00:00:00.000,105,Austin City Council,C14-2018-0002 - Delwau Campgrounds - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7715 Delwau Lane (Colorado River W,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180614-REG.htm#105
C14-2009-0063,2009-08-27T00:00:00.000,76,Austin City Council,C14-2009-0063 - Patton Avenue - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 822 and 824 Patton Avenue (Carson Cree,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090827-REG.htm#076
C14-2014-0136,2015-08-25T00:00:00.000,3,Austin City Council,C14-2014-0136 - Cameron Apartments - District 1 - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known 9201 Cameron Road (Little Walnut Creek Waters,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20150825-SPEC.htm#003
C14-2014-0093,2014-08-28T00:00:00.000,125,Austin City Council,C14-2014-0093 - Airport Commerce Zoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 1507 Airport Commerce Drive (Carson Cr,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140828-REG.htm#125
C14-2019-0133,2020-01-23T00:00:00.000,92,Austin City Council,"C14-2019-0133 - The Bridge at Turtle Creek Apartments - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 735 Turtle Creek Boulevard, ",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200123-REG.htm#092
C14-2020-0016,2020-08-27T00:00:00.000,109,Austin City Council,C14-2020-0016 - 7113 Burnet Rd - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7113 Burnet Road (Shoal Creek Watershed). Applicant,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#109
C14-2008-0185,2008-11-20T00:00:00.000,88,Austin City Council,C14-2008-0185 - Victory Medical and Family Care - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2110 West Ben Wh,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081120-REG.htm#088
C14-06-0023,2006-06-08T00:00:00.000,108,Austin City Council,C14-06-0023 - Marks-4 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2301 Riverside Drive (Town Lake Watershed),akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060608-REG.htm#108
C14-2007-0050,2007-06-07T00:00:00.000,84,Austin City Council,"C14-2007-0050 - Austin Diagnostic Clinic - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 12201, 12203 and 12301 ",akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070607-REG.htm#084
C814-2012-0085.01,2014-06-26T00:00:00.000,137,Austin City Council,C814-2012-0085.01 - Estancia Hill Country PUD-First Amendment - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 12814 Interstate,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140626-REG.htm#137
NPA-2019-0021.02,2020-02-20T00:00:00.000,75,Austin City Council,"NPA-2019-0021.02 - 6101 E. Oltorf Street -To approve an ordinance amending Ordinance No. 20061116-055, the East Riverside/Oltorf Combined Neighborhood Plan, an element of the Imagine Austin Comprehens",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200220-REG.htm#075
C14-03-0154.SH,2004-04-22T00:00:00.000,Z007,Austin City Council,C14-03-0154.SH - Steiner Tract - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 7300-7320 Riverside Drive and 900,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20040422-REG.htm#Z007
C14-06-0031,2006-06-22T00:00:00.000,101,Austin City Council,C14-06-0031 - Austin Commons - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2618 Kramer Lane (Walnut Creek Wate,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060622-REG.htm#101
NPA-2020-0021.02,2020-12-10T00:00:00.000,85,Austin City Council,"NPA-2020-0021.02 - 1100 Manlove Street -Conduct a public hearing and approve an ordinance amending Ordinance No. 20061116-055, the East Riverside/Oltorf Combined Neighborhood Plan, an element of the I",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201210-REG.htm#085
C14-2009-0013,2009-06-18T00:00:00.000,68,Austin City Council,C14-2009-0013 - Northgate - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 9117 Northgate Boulevard (Little Walnu,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090618-REG.htm#068
C14-2016-0041,2016-08-11T00:00:00.000,47,Austin City Council,C14-2016-0041 � East Sixth Street Village South � District 3 � Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2416 East Sixth S,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160811-REG.htm#047
C14-2020-0055,2020-09-17T00:00:00.000,77,Austin City Council,C14-2020-0055 - Cooper Tract Commercial -Conduct a public hearing and approve an ordinance amending City Code Title 25 by zoning property locally known as 10001 East US Highway 290 (Decker Creek and G,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#077
C14-2015-0163,2016-08-11T00:00:00.000,51,Austin City Council,C14-2015-0163 � Wey Tract Rezoning � District 5 � Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 900 West Slaughter Lane (Slaug,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160811-REG.htm#051
C14-2011-0043,2011-08-18T00:00:00.000,96,Austin City Council,C14-2011-0043 - 753 Montopolis - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 753 Montopolis Drive (Country Clu,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110818-REG.htm#096
C14-2008-0074,2008-07-24T00:00:00.000,133,Austin City Council,C14-2008-0074 - Fort Magruder 3C - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 207 Dunlap Street (East Bouldin,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080724-REG.htm#133
C14-2019-0048,2019-06-20T00:00:00.000,152,Austin City Council,"C14-2019-0048 - The Avalon N Holdings, LLC - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 9606 Swansons Ranch Road (Slaughter Cre",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190620-REG.htm#152
C14-2019-0123,2019-12-05T00:00:00.000,98,Austin City Council,"C14-2019-0123 1408 E. 51st Street - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 1408, 1410, 1414, 1416 and 1418 East 51st Street",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20191205-REG.htm#098
C14-2019-0167,2020-04-09T00:00:00.000,49,Austin City Council,C14-2019-0167 - 4530 E. Ben White Blvd - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 4530 E. Ben White Blvd (Country Club West W,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200409-REG.htm#049
C14-2014-0134,2014-12-11T00:00:00.000,163,Austin City Council,C14-2014-0134 - 1301 W. 5th Street - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 1301 West 5th Street (Lady Bird Lake Waters,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141211-REG.htm#163
C14-05-0066,2005-09-01T00:00:00.000,63,Austin City Council,C14-05-0066 - Trans - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 11704-11706 North Lamar Blvd. (Walnut Creek Wate,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050901-REG.htm#063
C14-2017-0022,2017-12-07T00:00:00.000,85,Austin City Council,C14-2017-0022 - Bluff Springs Commercial - District 2 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 6901 and 7001 Bluff Springs ,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171207-REG.htm#085
C14-05-0151,2006-07-27T00:00:00.000,118,Austin City Council,C14-05-0151 - Flex 15 - Approve second reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8420 Longview Road (Williamson Creek Watershed- Barto,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060727-REG.htm#118
C14-2015-0118,2015-12-17T00:00:00.000,84,Austin City Council,C14-2015-0118 � Emerald Forest @ William Cannon Rezoning � District 2 � Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 6707 Emerald Forest ,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20151217-REG.htm#084
C14-2013-0064,2013-10-03T00:00:00.000,77,Austin City Council,C14-2013-0064 - Limerick Center - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 12412 Limerick Avenue (Walnut Creek Watershed),akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131003-REG.htm#077
C14-04-0149.14,2005-03-03T00:00:00.000,Z005,Austin City Council,C14-04-0149.14 Old West Austin Neighborhood Plan rezoning for 1505 Palma Plaza - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property lo,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050303-REG.htm#Z005
C814-88-0001.08,2005-05-26T00:00:00.000,Z006,Austin City Council,C814-88-0001.08 - Gables at Westlake - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3100-3320 North Capital of ,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050526-REG.htm#Z006
C14-05-0015,2005-04-14T00:00:00.000,Z007,Austin City Council,C14-05-0015 - Jelson Commercial Development - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 6941 West U.S. Highw,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050414-REG.htm#Z007
C14-2018-0030,2018-06-28T00:00:00.000,108,Austin City Council,C14-2018-0030 - Pure Yoga - District 9 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 506 Oakland Avenue (Lady Bird Lake Watershe,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180628-REG.htm#108
C14-06-0061,2006-07-27T00:00:00.000,113,Austin City Council,C14-06-0061 - 8509 Southwest Parkway - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8509 Southwest Parkway (Barton ,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060727-REG.htm#113
C14-2007-0067,2007-09-27T00:00:00.000,100,Austin City Council,C14-2007-0067 - Clawson - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3608 and 3706 Clawson Road (West Bouldin,akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070927-REG.htm#100
C14-2011-0103,2011-10-20T00:00:00.000,83,Austin City Council,"C14-2011-0103 - IBC Mueller View - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1206, 1208, 1210, 1212, 1216 an",akgy-tbxy,http://austintexas.gov/department/city-council/2011/20111020-REG.htm#083
C14-06-0168,2006-11-02T00:00:00.000,47,Austin City Council,C14-06-0168 - Clawson South Eight - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3504 Clawson Road (West Bouldi,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20061102-REG.htm#047
C14-2013-0141,2014-02-13T00:00:00.000,68,Austin City Council,C14-2013-0141 - Montopolis Reclaimed Water Tank - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2801 Montopolis Drive (Carson ,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140213-REG.htm#068
C14-2008-0162,2009-03-05T00:00:00.000,40,Austin City Council,"C14-2008-0162 - 1406 Parker - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1406, 1408, 1504 and 1506 Parker Lan",akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090305-REG.htm#040
C14-03-0120,2004-04-15T00:00:00.000,47,Austin City Council,"C14-03-0120 - Centrum - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3413 North Hills Drive, 6415 Hart Lane and 6426 Mopac ",akgy-tbxy,http://austintexas.gov/department/city-council/2004/20040415-REG.htm#047
C14H-2009-0001,2009-04-23T00:00:00.000,84,Austin City Council,C14H-2009-0001 - McMillen-Falk House - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 4213 Avenue D (Waller Creek,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090423-REG.htm#084
NPA-2017-0016.05,2018-08-09T00:00:00.000,84,Austin City Council,"NPA-2017-0016.05 -Tillery MF-District 3-Conduct a public hearing and approve an ordinance amending Ordinance No. 030327-12, the Govalle/Johnston Terrace Combined Neighborhood Plan, an element of the I",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180809-REG.htm#084
C14-2016-0121,2018-02-01T00:00:00.000,86,Austin City Council,C14-2016-0121 - 7700 Parmer Lane - District 6 - Approve second and third readings of an ordinance amending City Code Title 25 by zoning property locally known as 7700 West Parmer Lane (Lake Creek Wate,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180201-REG.htm#086
C14-2011-0043,2011-08-04T00:00:00.000,45,Austin City Council,C14-2011-0043 - 753 Montopolis - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 753 Montopolis Drive (Country Clu,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110804-REG.htm#045
C14-2010-0195,2011-01-27T00:00:00.000,48,Austin City Council,C14-2010-0195 - Loop 360 Storage - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2631 South Capital of Texas Highway,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110127-REG.htm#048
C14H-2017-0055,2018-08-09T00:00:00.000,81,Austin City Council,C14H-2017-0055 - 500 Montopolis - District 3 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 500 Montopolis Drive (Country Club Ea,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180809-REG.htm#081
C14-2012-0099,2012-10-18T00:00:00.000,89,Austin City Council,C14-2012-0099 - Myers Zoning Change - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 6810 McNeil Drive (Rattan Cree,akgy-tbxy,http://austintexas.gov/department/city-council/2012/20121018-REG.htm#089
C14-2008-0221,2009-02-26T00:00:00.000,38,Austin City Council,C14-2008-0221 - Conn Tract - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 11821-12124 South IH-35 Service Road No,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090226-REG.htm#038
C14-04-0181.SH,2005-01-27T00:00:00.000,62,Austin City Council,"C14-04-0181.SH - Shire's Court - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2610, 2626, 2700 and 2902 Metcalfe Ro",akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050127-REG.htm#062
C14-05-0209,2006-03-23T00:00:00.000,54,Austin City Council,C14-05-0209 - Big 4 - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 221 Ralph Ablanedo Drive (Onion Creek Watershed),akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060323-REG.htm#054
C14-06-0066,2006-10-19T00:00:00.000,61,Austin City Council,C14-06-0066 - Furrows North - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 13427 Pond Springs Road (Lake Creek ,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20061019-REG.htm#061
C14-2015-0114,2016-11-10T00:00:00.000,35,Austin City Council,C14-2015-0114 - 5010 & 5012 Heflin Lane - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 5010 and 5012 Heflin Lane (Fo,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161110-REG.htm#035
C14-2014-0012,2014-05-15T00:00:00.000,51,Austin City Council,C14-2014-0012 - Merritt Lakeline Station - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 9829-1/2 North Lake Creek Parkway (La,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140515-REG.htm#051
C14-04-0096,2004-10-21T00:00:00.000,Z007,Austin City Council,C14-04-0096 - Rainey Street Neighborhood Rezoning (Tract G) - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property bounded by IH-35 to t,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20041021-REG.htm#Z007
C14-2012-0093,2013-01-17T00:00:00.000,82,Austin City Council,C14-2012-0093 - Legends Way - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 10925 Bradshaw Road (Onion Creek Water,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130117-REG.htm#082
C14-2016-0059,2016-09-22T00:00:00.000,52,Austin City Council,C14-2016-0059 � KKG1 Rezoning � District 9 � Approve second and third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2001 University Avenue (Waller Cree,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160922-REG.htm#052
C814-2012-0085.01,2014-12-11T00:00:00.000,177,Austin City Council,C814-2012-0085.01 - Estancia Hill Country PUD-First Amendment - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 12814 Interstate,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141211-REG.htm#177
NPA-2019-0027.02,2019-11-14T00:00:00.000,81,Austin City Council,"NPA-2019-0027.02- 2410 Winsted Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20100923-102, the Central West Austin Combined Neighborhood Plan, an element of the Imagi",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20191114-REG.htm#081
C14-2013-0083,2014-05-01T00:00:00.000,57,Austin City Council,C14-2013-0083 - 2416 E. 6th Street - Approve second/third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2416 East 6th Street (Lady Bird Lake Watershed),akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140501-REG.htm#057
C14-2012-0028,2012-08-02T00:00:00.000,105,Austin City Council,"C14-2012-0028 - 3rd & Colorado - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 301 and 311 Colorado Street, and ",akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120802-REG.htm#105
C14-2014-0009,2014-05-15T00:00:00.000,50,Austin City Council,C14-2014-0009 - All Saints Episcopal Church - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 209 West 27th Street (Waller Creek,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140515-REG.htm#050
C14-2015-0127,2015-12-10T00:00:00.000,68,Austin City Council,C14-2015-0127 - Lexington Parke II - District 2 - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as the northwest quadrant of Ross,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20151210-REG.htm#068
C14H-2009-0061,2009-12-17T00:00:00.000,130,Austin City Council,C14H-2009-0061 - Arthur Pope and Eleanor Covert Watson House - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 11 ,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20091217-REG.htm#130
NPA-2010-0021.02,2011-03-03T00:00:00.000,56,Austin City Council,"NPA-2010-0021.02 - Parker Lane - Conduct a public hearing and approve an ordinance amending Ordinance No. 20061116-055, the East Riverside/Oltorf Combined Neighborhood Plan, an element of the Austin T",akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110303-REG.htm#056
C14-2011-0065,2013-01-31T00:00:00.000,61,Austin City Council,C14-2011-0065 - The Austin Hotel  - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 800 and 804 Congress Avenue (T,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130131-REG.htm#061
C14-2007-0232,2008-09-25T00:00:00.000,101,Austin City Council,C14-2007-0232 - Rundberg Business Park - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 320 E. Rundberg Lane (Little ,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080925-REG.htm#101
C14-2013-0023,2013-09-26T00:00:00.000,115,Austin City Council,C14-2013-0023 - 6.11 Acre Tract - Westgate and Davis Lane - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2901 D,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130926-REG.htm#115
C14-04-0134,2004-12-16T00:00:00.000,Z004,Austin City Council,C14-04-0134 - Kingdom Hall Zoning 2 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 801 West St. Elmo Road (Will,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20041216-REG.htm#Z004
C14-2014-0070,2014-08-28T00:00:00.000,115,Austin City Council,C14-2014-0070  - Brown-Valdez - Approve second/third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2309 Montopolis Drive and 6500 Carson Ridge (Country,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140828-REG.htm#115
C14H-2017-0107,2017-10-05T00:00:00.000,50,Austin City Council,C14H-2017-0107 - Tucker-Winfield Apartment House - District 9 - Conduct a public hearing and approve an ordinance amending City Code Title 25 of the Austin City Code by rezoning property locally known,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171005-REG.htm#050
C14-2012-0046,2012-08-02T00:00:00.000,111,Austin City Council,C14-2012-0046 - 135 W. Slaughter Lane - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 135 West Slaughter Lane (S,akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120802-REG.htm#111
C14-2008-0150,2008-11-06T00:00:00.000,89,Austin City Council,C14-2008-0150 - 808 Nueces - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 808 Nueces Street (Shoal Creek Waters,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081106-REG.htm#089
NPA-2008-0018.01,2008-04-24T00:00:00.000,99,Austin City Council,"NPA-2008-0018.01 - Brentwood/Highland Neighborhood Plan Amendment - Conduct a public hearing and approve an ordinance amending Ordinance No. 040513-30, the Brentwood/Highland Combined Neighborhood Pla",akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080424-REG.htm#099
C14-2012-0115,2012-12-06T00:00:00.000,105,Austin City Council,C14-2012-0115 - Landscape Resources - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 7401 Old Bee Caves Road (Wil,akgy-tbxy,http://austintexas.gov/department/city-council/2012/20121206-REG.htm#105
C14-04-0037,2004-08-26T00:00:00.000,Z001,Austin City Council,C14-04-0037 - Slaughter @ Cullen Commercial - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 9200 Cullen Lane (On,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20040826-REG.htm#Z001
C14-2010-0054,2010-06-24T00:00:00.000,126,Austin City Council,C14-2010-0054 - 2nd & Congress - West - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 209 Congress Avenue (Town ,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20100624-REG.htm#126
C14-2019-0106,2020-02-20T00:00:00.000,70,Austin City Council,C14-2019-0106 - 3201 and 3203 Merrie Lynn - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2804 Manor Road (formerly 3201 Merrie Ly,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200220-REG.htm#070
