case_number,nlp_svd_0,nlp_svd_1,nlp_svd_2,nlp_svd_3,nlp_svd_4,nlp_svd_5,nlp_svd_6,nlp_svd_7,nlp_svd_8,nlp_svd_9,nlp_svd_10,nlp_svd_11,nlp_svd_12,nlp_svd_13,nlp_svd_14,nlp_svd_15,nlp_svd_16,nlp_svd_17,nlp_svd_18,nlp_svd_19
C14-2018-0002,0.5756389630900318,-0.051459790401489805,-0.3041491805809222,-0.19470375349366262,0.15706954994684538,0.09124209054959985,-0.2179065286973133,-0.0011816025720659596,-0.07297617628153244,-0.16024311800821592,0.012851693987445607,0.03573628877692615,-0.03310337028188512,-0.012907622262661615,0.036315811659534826,0.13799735722984977,0.06733968311459297,-0.05586772654174029,-4.4293590361340696e-05,-0.03964987203347461
C14-2016-0121,0.2972166883273364,-0.08480164902794236,0.06060913195754058,-0.12645806484372468,-0.1683034300344843,0.12518730712290693,0.2613430796813398,-0.3326667360107538,-0.19279159976592622,0.23696541013914427,-0.28556421383006103,0.12398261142016175,0.1490644682705139,0.13412782347456736,-0.232963501646916,0.200775694142983,0.03067302910690363,0.0507523529981011,0.06482108248067851,-0.09813396015349177
C14-2013-0092,0.7112755685942223,-0.021400137295956686,-0.23595666981395147,0.2431193543397272,-0.08025394477753266,-0.0436475487744051,-0.17274681057097763,-0.004983547256308841,0.007102590192347419,-0.13531170942293572,0.0784183291747577,-0.024227014430607013,-0.07617345361369936,0.10496905371487641,-0.10558940808925968,0.00040921596122280105,0.2139917023127033,-0.02098959624995211,0.0200708027479879,0.009118390302583072
C14-2017-0139,0.5209253796362191,-0.15414630092530554,0.059146020322820965,-0.10657351224386653,0.03932979515698826,-0.16058186375941502,0.2244321749575377,0.13789901842520286,-0.22014528704136493,-0.0077886609329933885,-0.04931059479574932,-0.17243574510038245,0.11169615239506824,0.0014397171327448245,-0.042463307761324134,0.09107196402410593,0.2050069632271765,-0.012144581877886135,-0.0033119304108493023,-0.014390668416430701
C814-2012-0160,0.25690399280507503,-0.03205710644117221,-0.03409377386210356,-0.1758837189347476,-0.23432910843367322,0.41851821122900595,0.06289913502490982,-0.038636768041289675,0.11728322250380852,-0.10772871314327573,-0.10168535796220533,0.02449804887494287,-0.26173104417255466,0.08852907218046911,0.1394797851879631,-0.0618948628237457,0.011834176713191757,0.11665373954686155,-0.12493844644863712,-0.14831581817451728
C14H-2017-0082,0.5084343024079031,-0.14987477690774684,0.3163725071584008,0.5453364513314634,0.3030600964165446,0.2760797922997103,-0.0016311614241862986,-0.021114047074513257,0.10689790960177985,-0.028537826339305263,-0.13538352680836227,-0.043849924949157404,0.032858847958522217,-0.048386364565190534,-0.03304212198459414,-0.00964034087449069,0.02245927553721426,0.018461498386136612,-0.029093170380701187,0.024895553981945706
C14-2014-0093,0.5310896958915258,-0.11244778185074546,-0.2859659795980237,0.030348775422471927,-0.061547965268629504,0.0793562965205351,-0.17620795655926963,-0.14879655010215606,-0.09751691081795448,0.03735299441333967,0.024749538487716383,-0.1856933167613907,0.05345075980758303,0.06827453344609698,0.051420534141227,-0.12451034436881335,0.012016158569208207,0.004089309189657337,-0.060847241078395176,0.07239916761513379
C14-2019-0133,0.5440818700975102,0.028885761149190812,-0.15918766107891796,0.20309101395345006,-0.10088252388430421,-0.06917274056020217,0.07833525589148138,0.02110722267834679,0.032505691870354875,-0.1441597110814786,-0.04657566676605822,0.13780483069165972,-0.10809141631440305,-0.024170428096434694,0.0002404919106139958,0.17284854502127342,-0.1217688552033319,-0.047482224946720025,0.03561409515902105,0.06253696288362284
NPA-2019-0021.02,0.2833846693119628,0.5049337137218565,0.042461367384413216,-0.00913326927905493,-0.018199014765660822,0.025327147738891276,0.01759713848356742,-0.05709291959930412,-0.00397546965756643,0.06548095389196154,0.01963130208992315,0.013311199877370644,0.10467601762841729,-0.011632059079303701,0.008436176321474056,-0.07059919216302406,0.047782068885485376,0.10332581186179068,0.10801319923596941,0.007671282449801305
C14-2016-0041,0.3884868189569455,-0.002098356475859615,-0.155516309830782,0.0372449541517315,-0.23959081023103942,0.24008222235011797,0.021341816459809797,0.05226023575009757,0.061790019461435086,-0.07855190626817674,-0.023249175749784162,-0.019834323596141203,0.08760619490890735,0.0754871685031125,-0.2029053531642271,-0.027651097251344556,-0.02118635343258796,0.04335018999932988,0.03372298724730547,-0.20698054513598987
