CASE_NUMBER,Meeting_Date,backup_links,document_count
C814-2012-0085.01,2014-06-26T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=224286""}, {""title"": ""Ordinance No. 20141211-177"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=224286""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223175""}, {""title"": ""20141211-177, Agenda Backup: Ordinance (C814-2012-0085.01)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223175""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223174""}, {""title"": ""20141211-177, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223174""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223176""}, {""title"": ""20141211-177, Agenda Backup: Staff Report (C814 2012-0085.01)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223176""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223618""}, {""title"": ""20141211-177, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223618""}]",10
C14-2015-0163,2016-08-11T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=262017""}, {""title"": ""Ordinance No. 20160811-051"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=262017""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260901""}, {""title"": ""20160811-051, Agenda Backup: Draft Ordinance (C14-2015-0163)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260901""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260899""}, {""title"": ""20160811-051, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260899""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260902""}, {""title"": ""20160811-051, Agenda Backup: Restrictive Covenant (C14-2015-0163)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260902""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260900""}, {""title"": ""20160811-051, Agenda Backup: Staff Report (C14-2015-0163)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=260900""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=266801""}, {""title"": ""20160811-051, Agenda Late Backup: Restrictive Covenant"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=266801""}]",12
C14-2019-0123,2019-12-05T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332011""}, {""title"": ""20191205-098, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332011""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332010""}, {""title"": ""20191205-098, Agenda Backup: Staff Postponement Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332010""}]",4
C14-2019-0048,2019-06-20T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=323141""}, {""title"": ""Ordinance No. 20190620-152"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=323141""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=321508""}, {""title"": ""20190620-152, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=321508""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=321510""}, {""title"": ""20190620-152, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=321510""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=321509""}, {""title"": ""20190620-152, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=321509""}]",8
C14-2019-0167,2020-04-09T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=343743""}, {""title"": ""20200730-045, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=343743""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=343742""}, {""title"": ""20200730-045, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=343742""}]",4
C14-2014-0134,2014-12-11T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=224103""}, {""title"": ""Ordinance No. 20141211-163"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=224103""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223134""}, {""title"": ""20141211-163, Agenda Backup: Ordinance (C14-2014-0134)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223134""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223133""}, {""title"": ""20141211-163, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223133""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223136""}, {""title"": ""20141211-163, Agenda Backup: Revised Restrictive Covenant (C14-2014-0134)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223136""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223135""}, {""title"": ""20141211-163, Agenda Backup: Staff Report (C14-2014-0134)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223135""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223616""}, {""title"": ""20141211-163, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223616""}]",12
C14-2011-0043,2011-08-18T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156881""}, {""title"": ""20110818-096, Agenda Backup: Ordinance (c14 2011 0043)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156881""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156882""}, {""title"": ""20110818-096, Agenda Backup: Petition (c14 2011 0043)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156882""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156879""}, {""title"": ""20110818-096, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156879""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156880""}, {""title"": ""20110818-096, Agenda Backup: Staff Report (c14 2011 0043)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156880""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157017""}, {""title"": ""20110818-096, Agenda Late Backup Part 1 of 2"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157017""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157018""}, {""title"": ""20110818-096, Agenda Late Backup Part 2 of 2"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157018""}]",12
C14-2017-0022,2017-12-07T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288671""}, {""title"": ""20171207-085, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288671""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288564""}, {""title"": ""20171207-085, Agenda Backup: Staff Postponement Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288564""}]",4
C14-2015-0118,2015-12-17T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245299""}, {""title"": ""20151217-084, Agenda Backup: Draft Ordinance (C14-2015-0118)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245299""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245298""}, {""title"": ""20151217-084, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245298""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245301""}, {""title"": ""20151217-084, Agenda Backup: Restrictive Covenant (C14-2015-0118)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245301""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245300""}, {""title"": ""20151217-084, Agenda Backup: Staff Report (C14-2015-0118)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=245300""}]",8
C14-2013-0064,2013-10-03T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201953""}, {""title"": ""Ordinance No. 20131121-086"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201953""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201331""}, {""title"": ""20131121-086, Agenda Backup: Ordinance (C14 2013 0064)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201331""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201329""}, {""title"": ""20131121-086, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201329""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201330""}, {""title"": ""20131121-086, Agenda Backup: Staff Report (C14 2013 0064)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=201330""}]",8
