CASE_NUMBER,Meeting_Date,backup_links,document_count
C14-2014-0077,2014-08-07T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=222546""}, {""title"": ""Ordinance No. 20141106-081"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=222546""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=220782""}, {""title"": ""20141106-081, Agenda Backup: Ordinance (C14 2014 0077)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=220782""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=220763""}, {""title"": ""20141106-081, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=220763""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=220783""}, {""title"": ""20141106-081, Agenda Backup: Staff Report (C14 2014 0077)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=220783""}]",8
C14-2018-0002,2018-08-23T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304385""}, {""title"": ""20180823-068, Agenda Backup: Backup (Link to video)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304385""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304383""}, {""title"": ""20180823-068, Agenda Backup: Feasibility Study"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304383""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304384""}, {""title"": ""20180823-068, Agenda Backup: Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304384""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303695""}, {""title"": ""20180823-068, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303695""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303619""}, {""title"": ""20180823-068, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303619""}]",10
C14-2018-0075,2018-11-15T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311213""}, {""title"": ""Ordinance No. 20181115-068"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311213""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=309960""}, {""title"": ""20181115-068, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=309960""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=310043""}, {""title"": ""20181115-068, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=310043""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=309959""}, {""title"": ""20181115-068, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=309959""}]",8
C14-2014-0186,2015-11-12T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244118""}, {""title"": ""20151210-044, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244118""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244122""}, {""title"": ""20151210-044, Agenda Backup: Memorandum Transportation and Natural Resources (C14-2014-0186)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244122""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244120""}, {""title"": ""20151210-044, Agenda Backup: Neighborhood Petition (C14-2014-0186)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244120""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244117""}, {""title"": ""20151210-044, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244117""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244119""}, {""title"": ""20151210-044, Agenda Backup: Staff Report (C14-2014-0186)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244119""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244121""}, {""title"": ""20151210-044, Agenda Backup: Traffic Impact Analysis (C14-2014-0186)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244121""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244914""}, {""title"": ""20151210-044, Agenda Late Backup: Motion Sheet - CM Pool"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244914""}]",14
C14-2017-0138,2018-06-28T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311511""}, {""title"": ""20181213-067, Agenda Backup: Postponement Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311511""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311635""}, {""title"": ""20181213-067, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311635""}]",4
C14-2013-0020,2013-05-23T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=192275""}, {""title"": ""Ordinance No. 20130627-093"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=192275""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=191961""}, {""title"": ""20130627-093, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=191961""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=191963""}, {""title"": ""20130627-093, Agenda Backup: Revised Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=191963""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=191962""}, {""title"": ""20130627-093, Agenda Backup: Staff Report (c14 2013 0020)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=191962""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=192122""}, {""title"": ""20130627-093, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=192122""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=193490""}, {""title"": ""20130627-093, Restrictive Covenant"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=193490""}]",12
C14-2012-0064,2012-10-18T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=178285""}, {""title"": ""Ordinance No. 20121018-083"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=178285""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177959""}, {""title"": ""20121018-083, Agenda Backup: Ordinance (c14 2012 0064)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177959""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177958""}, {""title"": ""20121018-083, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177958""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177961""}, {""title"": ""20121018-083, Agenda Backup: Staff Memo (postponement memo C14 2012 0064 )"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177961""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177960""}, {""title"": ""20121018-083, Agenda Backup: Staff Report (c14 2012 0064)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=177960""}]",10
NPA-2016-0021.01,2017-03-23T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=267846""}, {""title"": ""20161208-032, Agenda Backup: Draft Ordinance (NPA-2016-0021.01)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=267846""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=267844""}, {""title"": ""20161208-032, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=267844""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=267845""}, {""title"": ""20161208-032, Agenda Backup: Staff Report (NPA-2016-0021.01)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=267845""}]",6
NPA-2017-0016.02,2019-03-28T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=306481""}, {""title"": ""20181004-055, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=306481""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=306546""}, {""title"": ""20181004-055, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=306546""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=306482""}, {""title"": ""20181004-055, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=306482""}]",6
C14-2015-0064,2015-08-13T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=237051""}, {""title"": ""Ordinance No. 20150813-038"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=237051""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=236155""}, {""title"": ""20150813-038, Agenda Backup: Ordinance (C14-2015-0064)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=236155""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=236153""}, {""title"": ""20150813-038, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=236153""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=236154""}, {""title"": ""20150813-038, Agenda Backup: Staff Report (C14-2015-0064)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=236154""}]",8
C14-2011-0098,2011-12-08T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161455""}, {""title"": ""20111208-118, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161455""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161453""}, {""title"": ""20111208-118, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161453""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161454""}, {""title"": ""20111208-118, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161454""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161456""}, {""title"": ""20111208-118, Agenda Backup: Withdraw Letter"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161456""}]",8
C14-2014-0038,2014-05-15T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=214257""}, {""title"": ""20140807-146, Agenda Backup: Ordinance (C14 2014 0038)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=214257""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=214255""}, {""title"": ""20140807-146, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=214255""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=214256""}, {""title"": ""20140807-146, Agenda Backup: Staff Report (C14 2014 0038)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=214256""}]",6
C14-2010-0136,2010-12-16T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=146561""}, {""title"": ""20101216-087, Agenda Backup (Recommendation for Council Action)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=146561""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=146562""}, {""title"": ""20101216-087, Agenda Backup (Staff Memorandum)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=146562""}]",4
C14-2008-0155,2010-07-29T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140536""}, {""title"": ""Ordinance No. 20100729-106"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140536""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140043""}, {""title"": ""20100729-106, Agenda Backup (Draft Ordinance)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140043""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140042""}, {""title"": ""20100729-106, Agenda Backup (Recommendation for Council Action)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140042""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140041""}, {""title"": ""20100729-106, Agenda Backup (Staff Report)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140041""}]",8
C14-2019-0098,2020-02-06T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=348617""}, {""title"": ""Ordinance No. 20201001-066"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=348617""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347592""}, {""title"": ""20201001-066, Agenda Backup: Draft Ordinances"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347592""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347593""}, {""title"": ""20201001-066, Agenda Backup: Private Restrictive Covenant"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347593""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347594""}, {""title"": ""20201001-066, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347594""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347591""}, {""title"": ""20201001-066, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=347591""}]",10
C14-2011-0069,2011-09-22T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158466""}, {""title"": ""Ordinance No. 20110922-071"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158466""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158154""}, {""title"": ""20110922-071, Agenda Backup: Ordinance (C14 2011 0069)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158154""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158152""}, {""title"": ""20110922-071, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158152""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158153""}, {""title"": ""20110922-071, Agenda Backup: Staff Report (C14 2011 0069)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=158153""}]",8
C14-2010-0076,2010-07-29T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140541""}, {""title"": ""Ordinance No. 20100729-118"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140541""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140008""}, {""title"": ""20100729-118, Agenda Backup (Draft Ordinance)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140008""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140007""}, {""title"": ""20100729-118, Agenda Backup (Recommendation for Council Action)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140007""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140006""}, {""title"": ""20100729-118, Agenda Backup (Staff Report)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=140006""}]",8
C14-2017-0067,2018-03-22T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289223""}, {""title"": ""20171214-083, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289223""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289136""}, {""title"": ""20171214-083, Agenda Backup: Staff Postponement Request"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289136""}]",4
C14-2015-0136,2015-12-10T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244193""}, {""title"": ""20151210-070, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244193""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244194""}, {""title"": ""20151210-070, Agenda Backup: Request for Postponment (C14-2015-0136)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=244194""}]",4
C14-2019-0053,2020-01-23T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332027""}, {""title"": ""20191205-105, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332027""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332026""}, {""title"": ""20191205-105, Agenda Backup: Staff Postponement Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=332026""}]",4
C14-2012-0109,2013-05-23T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=197573""}, {""title"": ""20130926-114, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=197573""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=197574""}, {""title"": ""20130926-114, Agenda Backup: Staff Memo (Applicant Request for idefinite postponement C14 2012 0109)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=197574""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=197575""}, {""title"": ""20130926-114, Agenda Backup: Staff Report (C14 2012 0109)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=197575""}]",6
C14-2016-0049,2016-11-10T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268568""}, {""title"": ""20161215-082, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268568""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268569""}, {""title"": ""20161215-082, Agenda Backup: Staff Report (C14-2016-0049)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268569""}]",4
C14-2017-0086,2017-11-09T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289219""}, {""title"": ""20171214-079, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289219""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289131""}, {""title"": ""20171214-079, Agenda Backup: Staff Postponement Request"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=289131""}]",4
C14-2010-0106,2010-11-18T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145818""}, {""title"": ""Ordinance No. 20101118-083"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145818""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145600""}, {""title"": ""20101118-083, Agenda Backup (Draft Ordinance)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145600""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145601""}, {""title"": ""20101118-083, Agenda Backup (Recommendation for Council Action)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145601""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145602""}, {""title"": ""20101118-083, Agenda Backup (Staff Report)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145602""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145819""}, {""title"": ""20101118-083, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=145819""}]",10
C14-2008-0242,2009-10-22T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=132903""}, {""title"": ""20091217-131, Agenda Backup (Recommendation for Council Action)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=132903""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=132904""}, {""title"": ""20091217-131, Agenda Backup (Staff Report - Part A)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=132904""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=132905""}, {""title"": ""20091217-131, Agenda Backup (Staff Report - Part B)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=132905""}]",6
C14-2016-0079,2017-01-26T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288662""}, {""title"": ""20171207-076, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288662""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288553""}, {""title"": ""20171207-076, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288553""}]",4
C14-2013-0149,2014-02-27T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206759""}, {""title"": ""Ordinance No. 20140227-064"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206759""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206150""}, {""title"": ""20140227-064, Agenda Backup: Ordinance (C14 2013 0149)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206150""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206148""}, {""title"": ""20140227-064, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206148""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206149""}, {""title"": ""20140227-064, Agenda Backup: Staff Report (C14 2013 0149)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206149""}]",8
C814-88-0001.10,2014-02-27T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202603""}, {""title"": ""20131212-123, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202603""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202604""}, {""title"": ""20131212-123, Agenda Backup: Staff Report (C814 88 0001.10)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202604""}]",4
C14-2014-0153,2015-02-12T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223088""}, {""title"": ""20141211-148, Agenda Backup: Ordinance (C14-2014-0153)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223088""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223087""}, {""title"": ""20141211-148, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223087""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223089""}, {""title"": ""20141211-148, Agenda Backup: Restrictive Covenant (C14-2014-0153)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223089""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223090""}, {""title"": ""20141211-148, Agenda Backup: Staff Report (C14-2014-0153)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223090""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223612""}, {""title"": ""20141211-148, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223612""}]",10
C14-2018-0043,2018-11-01T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=312809""}, {""title"": ""Ordinance No. 20181213-060"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=312809""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311707""}, {""title"": ""20181213-060, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311707""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311628""}, {""title"": ""20181213-060, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311628""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311502""}, {""title"": ""20181213-060, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=311502""}]",8
C14H-2016-0120,2017-03-02T00:00:00.000,"[{""title"": """", ""url"": ""http://www.austintexas.gov/edims/document.cfm?id=272691""}, {""title"": ""20170302-074, Agenda Backup: Draft Ordinance"", ""url"": ""http://www.austintexas.gov/edims/document.cfm?id=272691""}, {""title"": """", ""url"": ""http://www.austintexas.gov/edims/document.cfm?id=272689""}, {""title"": ""20170302-074, Agenda Backup: Recommendation for Council Action"", ""url"": ""http://www.austintexas.gov/edims/document.cfm?id=272689""}, {""title"": """", ""url"": ""http://www.austintexas.gov/edims/document.cfm?id=272690""}, {""title"": ""20170302-074, Agenda Backup: Staff Report"", ""url"": ""http://www.austintexas.gov/edims/document.cfm?id=272690""}]",6
C14-2015-0157,2016-03-24T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=251633""}, {""title"": ""Ordinance No. 20160324-039"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=251633""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=250662""}, {""title"": ""20160324-039, Agenda Backup: Draft Ordinance (C14-2015-0157)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=250662""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=250660""}, {""title"": ""20160324-039, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=250660""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=250661""}, {""title"": ""20160324-039, Agenda Backup: Staff Report (C14-2015-0157)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=250661""}]",8
C14-2011-0087,2012-04-05T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161442""}, {""title"": ""20111208-115, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161442""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161443""}, {""title"": ""20111208-115, Agenda Backup: Staff Report (C14 2011 0087)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161443""}]",4
