standardized_tcad_id,CASE_NUMBER,SUB_TYPE,APPLICATION_START_DATE,env_id,LATITUDE,LONGITUDE,zoning_delta_intensity
0229150503,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150502,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150501,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150312,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150311,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150308,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150307,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150304,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150303,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228173301,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170604,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0229150310,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170602,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170214,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170103,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170211,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170210,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170209,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170208,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170206,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170104,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170204,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170203,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170202,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170201,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170118,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170116,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170115,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170114,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170113,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170112,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
